document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"This is a materials engineering study on wood plastic composites using kenaf fibre and polypropylene, examining mechanical properties (tensile, flexural, fatigue). There is no substantive climate-related component and no human-health connection stated.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_06-59-13_opus
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The document concerns composite material mechanical properties with no climate-related element and no health, mitigation, or adaptation dimension.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_06-59-13_opus
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"No climate-related element (no climate variable, GHG, fossil fuel, or particulate matter as climate agent) and no health/mitigation/adaptation element. It is a materials science study.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_06-59-13_opus
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,No explicit climate element and no human-health connection. This is a materials engineering study on composite mechanical properties.,A tensile test was carried out to determine the tensile stress of the material.,0.00,100.00,2026-09-01_06-59-13_opus
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"This study concerns asbestos exposure and lung cancer risk among crocidolite miners and residents. There is no climate-related component: no climate change, climate variable, extreme event, fossil fuel, or climate-forcing agent is addressed. Asbestos is not a climate-forcing agent.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_06-59-13_opus
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"No climate-related component is present. The study addresses asbestos exposure, pleural plaque, asbestosis, and lung cancer risk, with tobacco smoking as a risk factor. None of these constitute a climate factor, agent, event, or fossil-fuel/emissions matter.",We followed 2218 subjects exposed to crocidolite asbestos as miners,0.00,100.00,2026-09-01_06-59-13_opus
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"Even under the high-recall screen, there is no climate-related element at all: no climate factor, climate-forcing agent, fossil fuel, particulate matter of a climate-relevant kind, extreme event, or climate policy. Asbestos is not a climate-forcing agent.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_06-59-13_opus
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"The study has a human-health component (lung cancer) but no climate-related component. Asbestos exposure is not a climate factor or climate-forcing agent, so criterion 1 is not met.",the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer,0.00,100.00,2026-09-01_06-59-13_opus
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"This is a molecular/genetics study on allopolyploid yeast hybrids. There is no climate-related component (no climate change, weather variables, extreme events, fossil fuels, or climate-forcing agents) and no human-health connection. The 'adapt' refers to biological adaptation of organisms, not climate adaptation.",We constructed six-species synthetic hybrids and showed that they were chromosomally unstable but able to adapt rapidly.,0.00,100.00,2026-09-01_06-59-13_opus
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,No climate-related component and no qualifying human-health pathway. This is basic genetics/synthetic biology research on yeast allopolyploidy with no climate element.,we develop an iterative method to combine the genomes of multiple budding yeast species,0.00,100.00,2026-09-01_06-59-13_opus
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"There is no climate-related element (no climate factor, agent, event, fossil fuel, particulate matter, or climate policy). The record concerns yeast genome engineering, so it fails the core decision rule.",generating Saccharomyces allopolyploids of an unprecedented scale,0.00,100.00,2026-09-01_06-59-13_opus
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,7,include - max precision,True,,,,,False,False,"No substantive climate element and no explicit human-health connection. Mentions of cancer and bioenergy are only listed as potential future applications, not studied, and there is no climate component.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_06-59-13_opus
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"This is a remote-sensing deep-learning study for extracting water body information from high-resolution images. It has no climate-related component (no climate change, weather variable as hazard, climate-forcing agent, mitigation, or adaptation) and no human-health connection. The water body is studied as an environmental/technical object, not a climate hazard or human resource.",this paper proposes a neural network method incorporating an attention mechanism for water body extraction,0.00,100.00,2026-09-01_06-59-13_opus
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"No substantive climate-related component and no health, mitigation, or adaptation element. It is a computer-vision method for water extraction from satellite imagery.",a neural network method incorporating an attention mechanism for water body extraction,0.00,100.00,2026-09-01_06-59-13_opus
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"No climate-related element (no climate variable, hazard, forcing agent, mitigation, or adaptation) and no health element. It is an image-segmentation/deep-learning methods paper.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images,0.00,100.00,2026-09-01_06-59-13_opus
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,7,include - max precision,True,,,,,False,False,Lacks both an explicit climate element and a human-health connection; it is a technical remote-sensing water extraction study.,a neural network method incorporating an attention mechanism for water body extraction,0.00,100.00,2026-09-01_06-59-13_opus
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"This is a political economy study of apparel manufacturing and electricity access via urban infrastructure in Kyrgyzstan. It concerns electricity access, privatization, and owner-tenant relations, not any climate-related component (no climate change, weather variables, extreme events, fossil fuels, or climate-forcing agents studied as such) nor any human-health connection. It fails both criteria.",how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability,0.00,100.00,2026-09-01_06-59-13_opus
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"No substantive climate-related element and no health/mitigation/adaptation element. The study addresses infrastructure access and market economy dynamics, not climate change, climate-forcing agents, or fossil-fuel emissions.","despite the challenges associated working in these spaces, including poor infrastructure and exploitative relationships with owners",0.00,100.00,2026-09-01_06-59-13_opus
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,6,include - high recall,True,,,,,False,False,"Electricity access here is treated as an infrastructure/economic matter, not as fossil fuels, emissions, or a climate-related element. There is no climate factor, agent, event, or climate-policy engagement, and no health, mitigation, or adaptation element. Excluded even under high-recall criteria.","we focus on how myriad shop owners gain access to elite-controlled, privatized urban infrastructure through owner–tenant relations in a new market economy",0.00,100.00,2026-09-01_06-59-13_opus
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,7,include - max precision,True,,,,,False,False,"The record has no substantive climate-related component and no human-health connection. It concerns apparel manufacturing, urban infrastructure, and post-Soviet privatization.",the constant provision of electricity and convenient location,0.00,100.00,2026-09-01_06-59-13_opus
