document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,"The context discusses policies and methods for transitioning to a healthier and more sustainable food system, but does not address coal or its use or combustion.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,The context does not discuss fossil fuel use or combustion in general; its focus is food-system policy and collaborative methods.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,"The context does not mention petroleum, petrol, diesel, jet fuel, or liquid fossil fuel use.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,"The context does not mention natural gas, methane, gas combustion, heating, electricity generation, or related methane leakage.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,17,(Unspecified) greenhouse gases,True,,,,,False,False,"The guide concerns policies and methods for transitioning to a healthier and more sustainable food system, but it does not address greenhouse gases collectively.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,18,Carbon dioxide (CO₂),True,,,,,False,False,"Carbon dioxide is not discussed as a subject, exposure, outcome, or policy focus in the context.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,True,,,,,False,False,The context does not address ozone-depleting compounds regulated under the Montreal Protocol.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,True,,,,,False,False,Synthetic industrial greenhouse gases are not mentioned or studied in this policy guide.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,20,Methane (CH₄),True,,,,,False,False,"Although food systems can involve livestock and agriculture, methane is not identified as a topic or focus of the guide.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,21,Nitrous oxide (N₂O),True,,,,,False,False,Nitrous oxide and its agricultural sources are not discussed in the context.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,True,,,,,False,False,Particulate matter and its effects on climate or human health are not addressed.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,24,Tropospheric ozone (O₃),True,,,,,False,False,Ground-level ozone or its precursor emissions are not mentioned or treated as a focus of the guide.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,26,Extreme cold,True,,,,,False,False,"The guide concerns policies and methods for transitioning to a healthier and more sustainable food system, not abnormally low temperatures or cold-related health risks.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,27,Extreme heat,True,,,,,False,False,"The study does not address heatwaves, unusually high temperatures, or heat-related health outcomes.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,28,Extreme precipitation,True,,,,,False,False,"There is no focus on unusually intense or prolonged precipitation, rainfall, snowfall, or related hazards.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,30,Floods,True,,,,,False,False,"Flooding or temporary inundation is not discussed as a subject, exposure, or outcome.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,33,Wildfires,True,,,,,False,False,"The guide does not concern uncontrolled vegetation fires, wildfire smoke, or associated health impacts.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,25,Droughts,True,,,,,False,False,"Although the guide addresses food-system sustainability, it does not focus on prolonged water deficits, drought, or water scarcity impacts.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,29,Extreme snow/ice events,True,,,,,False,False,Severe snow or ice conditions and their impacts are not part of the guide's subject matter.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,31,Sand and dust storms,True,,,,,False,False,The context contains no discussion of wind-driven sand or dust events.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,32,Storms and severe wind,True,,,,,False,False,"Tropical cyclones, severe thunderstorms, hailstorms, and other intense meteorological events are not addressed.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,34,Z_(Unspecified) extreme weather events,True,,,,,False,False,The guide does not discuss climate extremes in general or any unspecified extreme weather events.,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,493,Attribution,True,,,,,False,False,No annotation with this attribute found: reverting to default,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,487,Adaptation,True,,,,,True,False,"The guide concerns policy innovation and methods for transitioning to a healthier, more sustainable food system, but it does not address adapting to climate variables, climate-related hazards, or climate impacts.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,490,Maladaptation,True,,,,,False,False,No annotation with this attribute found: reverting to default,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,495,Loss and damage,True,,,,,False,False,No annotation with this attribute found: reverting to default,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,492,Resilience,True,,,,,True,False,No annotation with this attribute found: reverting to default,,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,489,Mitigation,True,,,,,True,False,"Although the guide discusses a sustainable food system, the abstract does not mention greenhouse-gas emissions, fossil fuels, or strategies specifically aimed at reducing emissions.",,0.00,0.00,2026-09-09_09-59-56_pruned_taxonomy_topdown
