document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record focuses on alkaline treatment, mechanical strength, fatigue, and morphology of kenaf fibre/polypropylene composites. It does not substantively address climate, climate-forcing agents, emissions, human health, or health-linked mitigation/adaptation.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-01_13-25-41_luna_shortened_human_relatedness
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns asbestos exposure, pleural plaques, asbestosis, smoking, and lung cancer, but does not substantively address climate change, weather or climate variables, climate-related extremes, fossil fuels, greenhouse gases, particulate matter, or emissions-reduction/adaptation actions.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_13-25-41_luna_shortened_human_relatedness
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE. The abstract concerns synthetic allopolyploid yeast hybrids, chromosomal instability, adaptation to novel environments, and bioenergy applications, but it does not substantively address climate change, climate variables, emissions, fossil fuels, or a qualifying human-health connection.",,0.00,0.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns remote-sensing water-body extraction and shadow reduction, but it does not substantively address climate change, climate variables, climate hazards, emissions, or a qualifying human-health connection.","""Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction""",0.00,98.77,2026-09-01_13-25-41_luna_shortened_human_relatedness
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but does not substantively address climate change, climate variables, emissions, fossil-fuel use, or climate-related mitigation/adaptation. It also lacks a qualifying human-health connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns isolating and testing an antimicrobial protein from rabbit intestine and does not substantively address climate, weather, climate-forcing agents, mitigation, adaptation, or a qualifying climate-health connection.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The document concerns industrial pipeline failures, emergency gas releases, ignition, shock waves, and thermal effects on people. Although it mentions hydrocarbon energy carriers, they are discussed as accident hazards rather than as a climate, emissions, air-quality, or fossil-fuel-use issue, and no substantive climate component is present.","""The reasons of emergency situations for the long-term operated industrial pipelines were presented.""",0.00,99.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in DNA and does not substantively address climate, climate variables, climate-forcing agents, emissions, or any qualifying human-health, mitigation, or adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns shrimp growth, feed dosage, and water quality, but does not substantively address climate change or variability, climate/weather variables, climate extremes, fossil fuels, greenhouse gases, climate-forcing agents, or emissions-reduction actions.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"The record concerns medicinal plant extracts, anticancer activity, and antioxidant assays. It does not substantively address climate change or variability, climate/weather variables, climate-related extremes, fossil fuels, greenhouse gases, particulate matter, emissions, mitigation, or adaptation. Therefore, it does not meet the required climate-health criteria.",The aim of this study was to screen for anticancer and antioxidative properties of selected medicinal plants from this area of North-West of Morocco.,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,False,"EXCLUDE. The abstract discusses the Sendai Framework, disaster risk reduction, and broad synergies with climate policy, but it does not substantively study a climate variable, climate hazard, emissions, or a health-protective climate adaptation/mitigation action. Health is mentioned only generally, without a qualifying climate-health connection.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document describes professional development, training networks, and digital research infrastructure. It does not substantively address climate change, climate/weather variables, climate-forcing agents, mitigation, adaptation, or a qualifying human-health connection.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document discusses implicit bias, healthcare inequities, and geriatric mental health care, but it does not substantively address climate change, climate variables, climate-related extremes, fossil fuels, greenhouse gases, or climate mitigation/adaptation.","This workshop will address why fairness, inclusiveness and cultural competence are important for success in geriatric mental health care.",0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,5,include - best balance,True,,,,,False,False,"The record concerns aviation digital transformation and catering customer satisfaction, but does not substantively address climate, weather, emissions, fossil fuels, or any qualifying human-health connection.",The study contributed to the literature by proposing a new fuzzy control system for catering customer evaluation,0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
51819537,15da3de6-7714-4814-bea4-ad28756d1569,Implications of increasing demand for freshwater use from the water footprint of irrigated potato production in Alberta.,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document mentions climate change only as background context. The stated study assesses the water footprint of irrigated potato production and freshwater use, without substantively analyzing climate change, climate variability, or a climate-related hazard, and without a qualifying climate-health, mitigation, or adaptation connection.","This is due to rising food demand, rapid urbanization, industrial development and climate change which are significantly increasing pressure on freshwater resources",0.00,100.00,2026-09-01_13-25-41_luna_shortened_human_relatedness
