document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record discusses alkaline-treated kenaf fibre/polypropylene composites and their mechanical properties. It does not explicitly address a climate component or a human-health/health-system component, so it should be excluded.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not explicitly address climate change, weather, climate mitigation/adaptation, or human health or health systems.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre polypropylene composites. It does not substantively address climate change, climate hazards, greenhouse-gas emissions, mitigation, or adaptation, and it contains no human-health or health-system outcome or exposure pathway.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation, and it contains no human-health or health-system outcome.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood-plastic composites. It contains no climate factor, climate-health connection, greenhouse-gas or fossil-fuel mitigation action, or climate adaptation component.
(EXCLUDE) The document concerns improving the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not mention climate change, climate-related hazards, health, greenhouse-gas emissions, fossil-fuel reduction, or climate adaptation.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses human health, including lung cancer and asbestos-related disease, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record has a human-health component because it examines lung cancer risk, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation. Therefore, it does not meet both required components.","Conclusions: In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns asbestos exposure, smoking, pleural plaques, asbestosis, and lung cancer. It contains no plausible connection to climate change, climate factors, mitigation, or adaptation.
(EXCLUDE) The record concerns asbestos exposure, pleural disease, lung cancer, smoking, and asbestosis, but contains no plausible connection to climate change, climate factors, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record does not explicitly address climate change, weather or climate factors, greenhouse gases, fossil fuels, mitigation, or climate adaptation. Although it mentions adaptation to a novel environment and potential applications related to cancer and bioenergy, these are not presented as climate or human-health components meeting the screening criteria.
(EXCLUDE) The record does not explicitly address a climate component such as climate change, weather, emissions, mitigation, or climate adaptation. Although it mentions bioenergy and cancer, it does not substantively connect the study to human health or health systems.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_20-06-02_luna_sync_precision
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record does not substantively address climate change, climate variables, mitigation, or climate-risk adaptation. Although cancer is mentioned as a potential application, no human-health outcome or health-system connection is studied; the work concerns synthetic yeast hybrids.
(EXCLUDE) The record does not substantively address climate change, weather, climate hazards, greenhouse-gas emissions, fossil fuels, or a climate mitigation/adaptation action. Although it mentions potential applications to cancer and bioenergy, it does not report a human-health outcome or a clear climate-health connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_20-06-02_luna_sync_precision
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The abstract focuses on synthetic yeast hybrids, polyploidy, genome stability, cancer, and bioenergy. It does not mention climate change, climate factors, greenhouse-gas or fossil-fuel mitigation, climate adaptation, or a plausible climate-health connection.
(EXCLUDE) The abstract concerns synthetic yeast hybrids, genome stability, adaptation, and potential bioenergy applications, but it does not address climate factors, climate-related health impacts, greenhouse-gas mitigation, or climate adaptation actions.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_20-06-02_luna_sync_precision
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on improving remote-sensing image segmentation of water bodies and does not explicitly address a climate component or human health/health systems.
(EXCLUDE) The record focuses on a deep-learning method for extracting water bodies from remote-sensing images and does not explicitly address climate factors, climate change mitigation/adaptation, or human health and health systems.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-09-01_20-06-02_luna_sync_precision
