document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate variables, climate-forcing emissions, fossil-fuel reduction, adaptation, or any qualifying human-health pathway.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study examines asbestos exposure, pleural disease, and lung-cancer risk. Although it has a clear human-health component, it contains no substantive climate-related factor, climate-forcing agent, mitigation action, or adaptation component.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns synthetic allopolyploid yeast and biological adaptation to a novel environment. It does not substantively address climate change, climate variables, climate hazards, greenhouse-gas emissions, fossil-fuel reduction, or a qualifying climate adaptation action. The brief mention of potential bioenergy applications is incidental and does not establish a studied mitigation action or climate-health connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The study develops an image-segmentation method for identifying water bodies and overcoming building-shadow interference. It does not substantively address climate change, climate/weather variables, climate hazards, mitigation, or adaptation, and it provides no qualifying human-health or human-resource connection.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The record examines electricity access, privatized urban infrastructure, and apparel production, but it does not substantively address climate change, climate variables, fossil fuels, greenhouse-gas emissions, mitigation, or adaptation. It also provides no qualifying human-health connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns isolation and antibacterial activity of a rabbit intestinal protein. It contains no substantive climate-related component, climate mitigation or adaptation action, or qualifying climate–human-health connection.",An antimicrobial protein has been isolated and purified from the small intestine of rabbits.,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns gas-pipeline rupture, emergency gas loss, ignition, and accident effects on people solely as industrial-safety hazards. It does not address fossil gas as a climate, energy, emissions, or air-quality matter and therefore lacks a substantive climate-related component.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in Z-form DNA and provides no substantive climate-related component, human-health outcome, climate mitigation action, or climate adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates shrimp feed dosage, growth, and total ammonia nitrogen in aquaculture. It does not substantively address climate change, climate/weather variables, climate-forcing emissions, mitigation, or adaptation, and animal growth or aquaculture water quality alone does not establish a qualifying climate-health connection.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"EXCLUDE. The Mediterranean climate is mentioned only as background describing the study region; no climate variable, climate change, hazard, mitigation, or adaptation is substantively measured or analyzed. The study instead evaluates the anticancer and antioxidant properties of medicinal-plant extracts.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-08-31_19-19-28_human_facing_indirect_requirement
