document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"EXCLUDE: The record discusses policies for a healthier and more sustainable food system, but it does not explicitly address climate change, weather, climate-related hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Although ""healthier"" is mentioned, the required climate component is absent.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-14-52_MODELCMP_luna
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"The record addresses food-system policy and health, but it does not substantively mention or directly address climate change, weather factors, climate hazards, emissions, fossil fuels, mitigation, or climate adaptation. Therefore, it lacks the required climate component.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-14-52_MODELCMP_luna
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,False,"The document discusses policies for a healthier and more sustainable food system, establishing a health-related component, but it does not substantively address climate change, weather, climate hazards, emissions, fossil fuels, mitigation, or adaptation.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-14-52_MODELCMP_luna
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,True,The record explicitly addresses a climate-related mitigation component by evaluating environmental impacts and reducing greenhouse-gas emissions (EGES) through vegetarian meals and dietary changes. It also substantively addresses human health through the nutritional quality and adequacy of meals for children.,"""would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality""",0.00,98.73,2026-09-07_07-14-52_MODELCMP_luna
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,"The record has a health component through nutritional quality and adequate nutrition for children in school catering. It also has a climate component because it evaluates environmental impacts and identifies dietary changes that reduce greenhouse-gas emissions (EGES), constituting a mitigation action.","""would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality""",0.00,98.73,2026-09-07_07-14-52_MODELCMP_luna
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,The record substantively addresses a climate-related mitigation component through reducing meal-related greenhouse-gas emissions (EGES) by increasing vegetarian meals and changing meat choices. It also addresses human health through the nutritional quality and adequacy of meals for children.,"""would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality""",0.00,98.73,2026-09-07_07-14-52_MODELCMP_luna
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"The record addresses road conditions, traffic, and accident-prone zones, but it does not substantively address climate, weather, climate hazards, mitigation, or adaptation. Although road safety and accidents are discussed, no explicit human-health outcome is stated. Therefore, it lacks the required climate and health components.",the bad road surface conditions are increasing the road accidents,0.00,100.00,2026-09-07_07-14-52_MODELCMP_luna
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"The record addresses road-surface defects, traffic density, and road accidents, providing a human safety/health component. However, it does not substantively address climate, weather, climate change, climate hazards, mitigation, or adaptation, so it lacks the required climate component.","""the bad road surface conditions are increasing the road accidents""",0.00,97.01,2026-09-07_07-14-52_MODELCMP_luna
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"The record addresses road-surface defects, traffic density, and road-accident risk, but it does not substantively address climate change, weather/climate factors, climate hazards, mitigation, or adaptation. Although road accidents may relate to injury, the required climate component is absent.","""the bad road surface conditions are increasing the road accidents""",0.00,97.01,2026-09-07_07-14-52_MODELCMP_luna
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The record has an explicit climate component through its focus on urban carbon emission reductions. However, it does not substantively address human health, healthcare systems, or protection of people from climate-related harms; its focus is urban planning and sustainability.","""identify barriers to achieving urban carbon emission reductions that are meaningful in the local context""",0.00,98.11,2026-09-07_07-14-52_MODELCMP_luna
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",5,include - best balance,True,,,,,True,False,"The record has a climate component through its focus on urban carbon-emission reductions and sustainable urban forms. However, it does not substantively address human health, health outcomes, healthcare systems, or a recognized climate-health pathway; its focus is urban planning and sustainability generally.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_07-14-52_MODELCMP_luna
