document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record is a materials-engineering study of the mechanical properties of kenaf-fibre/polypropylene composites. It does not explicitly address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, climate mitigation or adaptation, or any human-health outcome or risk.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_20-06-34_very_high_precision
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record substantively addresses asbestos exposure and lung cancer risk but contains no explicit climate-related factor, climate-forcing agent, mitigation action, or adaptation component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_20-06-34_very_high_precision
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns synthetic yeast allopolyploids and biological adaptation to a novel environment. It does not explicitly study a climate factor, climate mitigation or societal adaptation, nor does it connect any climate-related factor to a human-health outcome or risk. The mentions of cancer and bioenergy are only potential applications and are not substantively linked.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_20-06-34_very_high_precision
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns remote-sensing extraction of water bodies and reducing interference from building shadows. It does not explicitly address climate change, climate variables or hazards, mitigation, adaptation, or any human-health outcome or risk.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-08-31_20-06-34_very_high_precision
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns electricity access, privatized urban infrastructure, and apparel manufacturing, but it does not explicitly address climate change, climate-related hazards, fossil fuels, greenhouse-gas mitigation, or adaptation. It also contains no explicit human-health outcome, risk, exposure pathway, or health-system connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_20-06-34_very_high_precision
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record is an animal laboratory study of an antimicrobial protein and its antibacterial activity. It contains no explicit climate-related factor, climate mitigation or adaptation action, or substantive human-health outcome arising from a climate factor.",An antimicrobial protein has been isolated and purified from the small intestine of rabbits.,0.00,100.00,2026-08-31_20-06-34_very_high_precision
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record addresses human safety risks from an industrial gas-pipeline rupture, including shock waves and thermal effects, but it studies fossil-fuel infrastructure solely as an industrial-accident hazard. It does not substantively address climate change, greenhouse-gas mitigation, climate adaptation, or gas emissions as a climate, energy, emissions, or air-quality issue.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_20-06-34_very_high_precision
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,0,include - high precision,True,,,,,False,False,"The record concerns radical cation migration in DNA and provides no explicit climate-related component or human-health outcome, risk, mitigation, or adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-08-31_20-06-34_very_high_precision
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns shrimp feeding, growth, and aquaculture water quality. It does not explicitly address climate change, a climate variable or forcing agent, climate mitigation or adaptation, or any human-health outcome or risk.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-08-31_20-06-34_very_high_precision
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record studies anticancer and antioxidant properties of medicinal-plant extracts. Although it mentions the region's Mediterranean climate, this is only background context and is not analyzed or explicitly connected to human health, climate mitigation, or adaptation.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-08-31_20-06-34_very_high_precision
