document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment of kenaf-fibre/polypropylene wood-plastic composites and reports mechanical properties. It does not explicitly address any climate factor, mitigation/adaptation action, or human health outcome/exposure pathway.
(EXCLUDE) The record concerns mechanical and morphological properties of kenaf fibre/polypropylene wood-plastic composites. It does not explicitly address a climate factor, mitigation or adaptation action, nor any human health outcome or exposure pathway.
(EXCLUDE) The record concerns mechanical and morphological properties of kenaf fibre/polypropylene wood-plastic composites. It does not explicitly address a climate factor, mitigation or adaptation action, nor any human health outcome or exposure pathway.",,0.00,0.00,2026-09-01_20-22-45_terra
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record studies alkaline treatment and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address a climate factor, mitigation or adaptation action, nor any human health outcome or recognised climate-health exposure pathway.
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address a climate factor, mitigation or adaptation action, nor any human health outcome or recognised climate-health exposure pathway.
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address a climate factor, mitigation or adaptation action, nor any human health outcome or recognised climate-health exposure pathway.",“The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system”,0.00,98.11,2026-09-01_20-22-45_terra
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record studies mechanical and morphological properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address climate factors, emissions mitigation, climate adaptation, or any human-health outcome or recognised climate-health exposure pathway.
(EXCLUDE) The record concerns mechanical properties and chemical treatment of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address a climate factor, climate mitigation or adaptation, or any human-health outcome or recognised climate-health pathway.
(EXCLUDE) The document concerns mechanical properties and treatment of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate factors, mitigation or adaptation, nor human health outcomes or a recognised climate-health exposure pathway.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-09-01_20-22-45_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes (lung cancer and other asbestos-related disease), but it does not explicitly address a climate or weather factor, climate mitigation, or climate adaptation. Asbestos is studied as an occupational/environmental toxicant rather than a specified climate-forcing agent.
(EXCLUDE) The record substantively concerns occupational asbestos exposure and lung cancer risk in humans, satisfying the health component. However, it does not explicitly address climate, weather, climate-forcing particulate matter, fossil fuels, mitigation, or adaptation; asbestos is studied as an occupational toxicant rather than a climate-related exposure.
(EXCLUDE) The record substantively addresses human health outcomes from occupational/environmental asbestos exposure, including lung cancer. However, it does not explicitly address climate change, weather, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation; asbestos is studied as a toxic occupational exposure rather than a climate component.","“Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.”",0.00,98.26,2026-09-01_20-22-45_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns occupational asbestos exposure and subsequent lung cancer risk, which is a human health outcome, but it does not substantively address climate/weather factors, climate-forcing agents, fossil fuels, mitigation, or adaptation.
(EXCLUDE) The record substantively concerns occupational asbestos exposure and lung cancer risk, which is a human-health outcome, but it does not address a climate/weather factor, climate-forcing agent, fossil fuels, mitigation, or climate adaptation.
(EXCLUDE) The record substantively concerns human health outcomes (lung cancer and asbestos-related disease), but it does not address a climate/weather factor, fossil-fuel activity, climate mitigation, or climate adaptation. Asbestos is studied as an occupational/environmental toxicant rather than a climate-forcing agent.",“We followed 2218 subjects exposed to crocidolite asbestos as miners”,0.00,97.10,2026-09-01_20-22-45_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record addresses occupational asbestos exposure and subsequent lung cancer risk, which is a human-health outcome, but it contains no substantive climate/weather factor, climate-forcing agent, fossil-fuel activity, mitigation, or adaptation component.
(EXCLUDE) The record addresses asbestos exposure and lung cancer, which is a human-health outcome, but it contains no substantive climate/weather factor, climate-related hazard, mitigation action, or adaptation action. Asbestos is studied as an occupational toxicant rather than a climate component.
(EXCLUDE) The record addresses occupational asbestos exposure and lung cancer risk, which is a human-health topic, but it contains no substantive climate/weather factor, climate-forcing agent, fossil-fuel activity, mitigation, or adaptation component.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-09-01_20-22-45_terra
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns synthetic yeast allopolyploids and adaptation to a novel, unspecified environment. It does not explicitly address a climate or weather factor, climate mitigation/adaptation, or human health outcomes/exposure pathways. Mention of cancer is only a potential application and does not establish a substantive human-health component.
(EXCLUDE) The record concerns synthetic yeast allopolyploids and adaptation to an unspecified novel environment. It does not explicitly address any climate/weather factor, mitigation or climate adaptation action, nor a substantive human-health outcome or human exposure pathway.
(EXCLUDE) The record concerns synthetic budding-yeast allopolyploids and adaptation to an unspecified novel environment. It does not explicitly address a climate factor, mitigation, or adaptation action, and it does not substantively examine human health outcomes or exposures; cancer is only listed as a potential application.","“These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.”",0.00,98.73,2026-09-01_20-22-45_terra
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The study concerns synthetic yeast allopolyploids and their adaptation to a novel experimental environment. It does not substantively address a climate factor, mitigation/adaptation action, or human health outcome/pathway. Cancer is mentioned only as a potential application, not as a human-health investigation.
(EXCLUDE) The study concerns synthetic Saccharomyces allopolyploids, chromosome stability, and adaptation in a novel laboratory environment. It does not substantively address a climate factor, climate mitigation/adaptation, or human health outcome or health-related exposure pathway.
(EXCLUDE) The study concerns synthetic Saccharomyces allopolyploids, genome stability, and laboratory adaptation to an unspecified novel environment. It does not substantively address a climate factor, mitigation/adaptation action related to climate hazards, or any human health outcome/pathway.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_20-22-45_terra
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The study concerns synthetic allopolyploid budding yeast and their adaptation under selection to an unspecified novel environment. It does not substantively address a climate factor, climate mitigation/adaptation, or human health outcome/pathway; the mention of cancer is only a potential application and not a human-health study.
(EXCLUDE) The record concerns synthetic allopolyploid budding yeasts and their adaptation to a novel laboratory environment. It does not substantively address climate factors, climate mitigation/adaptation, or human health outcomes; the mention of bioenergy is only a potential application and does not establish a climate-health connection.
(EXCLUDE) The study concerns synthetic yeast allopolyploids and their adaptation to an unspecified novel environment. It does not substantively address a climate factor, mitigation/adaptation action, or human health outcome/exposure pathway; bioenergy is only mentioned as a potential application.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_20-22-45_terra
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record describes a remote-sensing deep-learning method for mapping water bodies and reducing building-shadow interference. It does not explicitly address a climate factor, mitigation or adaptation, nor any human health outcome or human water-use/health pathway.
(EXCLUDE) The record concerns a remote-sensing neural-network method for mapping water bodies and mitigating building-shadow effects. It does not explicitly address a climate factor, mitigation/adaptation, or any human-health outcome, exposure, or health system.
(EXCLUDE) The record concerns remote-sensing image segmentation for water-body extraction and mitigating building-shadow interference. It does not explicitly address a climate factor, mitigation or adaptation, nor any human health outcome or human exposure pathway.",“Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.”,0.00,99.08,2026-09-01_20-22-45_terra
