document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"The record does not explicitly state a climate component. It refers to a 'sustainable' food system and 'Global Challenges', but never mentions climate change, weather variables, greenhouse gases, fossil fuels, mitigation, or adaptation. Under the high-precision screen, both components must be explicitly stated, so the record is excluded.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"While 'healthier' plausibly connects to human nutrition and health, the record lacks a directly inferable climate component. It discusses food policy and sustainability without referencing climate factors, emissions, fossil fuels, or climate adaptation/mitigation, so it does not meet the inclusion criteria.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,False,"Even under a high-recall screen, the record does not plausibly contain a climate component. It focuses on policy methods for sustainable food systems but never indicates any link to climate change, greenhouse-gas mitigation, weather, or fossil-fuel use, so it does not qualify for inclusion.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,True,"The record explicitly names EGES (greenhouse gas emissions), a climate-forcing agent, as a measured outcome, satisfying the climate component. It also explicitly addresses the nutritional adequacy and quality of school meals for children, which is a direct human health/nutrition outcome, satisfying the health component.",reduction of EGES by 50% ... nutritionally adequate for children,0.00,68.75,2026-09-07_09-41-04_MODELCMP_kimi26
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,"Both components are explicitly stated or directly inferable: EGES refers to greenhouse gas emissions (climate component), and the study substantively evaluates child nutrition and nutritional quality (health component).",reduction of EGES by 50% ... nutritionally adequate for children,0.00,68.75,2026-09-07_09-41-04_MODELCMP_kimi26
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,The record evaluates a mitigation action—reducing greenhouse gas emissions (EGES) by 50% through changes in school meal composition—which alone qualifies under the high-recall rule. It also substantively connects to human health via child nutrition.,reduction of EGES by 50% ... nutritionally adequate for children,0.00,68.75,2026-09-07_09-41-04_MODELCMP_kimi26
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"The document is about road defect detection, traffic density extraction, and mapping accident-prone zones. It does not explicitly state any climate component—there is no mention of climate change, weather variables, extreme events, greenhouse gases, fossil fuels, mitigation, or adaptation. While road accidents relate to injury and mortality, the required explicitly stated climate component is entirely absent, so the record fails the high-precision screen.",This work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones or accident affinities of the roads.,0.00,99.53,2026-09-07_09-41-04_MODELCMP_kimi26
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"The record focuses on road infrastructure monitoring and accident risk mapping. No climate or weather factor, mitigation action, or adaptation action is stated or directly inferable from the content. The discussion of transport industries and road networks does not imply fossil-fuel use or climate-related hazards, and there is no health component linked to a recognised climate-health exposure pathway. Therefore, it does not meet the inclusion criteria.","This work deploys a self-adjusting parametric coefficient-based regression model for detection of the risk factors of the road defects and in the other hand, extracts the traffic density of the road regions and further maps the accident affinities.",0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"Even under high-recall screening, the record contains no plausible climate component. It addresses road surface defects and traffic density for accident prevention, with no connection to climate change, weather, greenhouse gases, fossil fuels, mitigation, or adaptation. Because no climate-and-health connection is present, the record should be excluded.","The growth in the road networks in India and other developing countries have influenced the growth in transport industry and other industries, which depends on the road network for operations.",0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The record explicitly addresses climate mitigation (urban carbon emission reductions), but it does not explicitly state any health component. There is no mention of human health, disease, health systems, or recognized climate-health exposure pathways.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_09-41-04_MODELCMP_kimi26
