document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on material fabrication, tensile/flexural strength, fatigue, and morphology of kenaf fibre/polypropylene composites. It does not substantively address climate change, weather, climate mitigation/adaptation, or human health.
(EXCLUDE) The record concerns material treatment and mechanical properties of kenaf fibre/wood-plastic composites. It does not explicitly address climate change, weather, greenhouse gases, mitigation, or adaptation, nor does it substantively connect to human health or health systems.
(EXCLUDE) The document discusses wood-plastic composite materials, tensile and flexural strength, fatigue testing, and microscopy. It does not explicitly address climate change, weather, emissions, mitigation, adaptation, or human health/health systems.","The study concerns alkaline treatment of kenaf fibre in wood plastic composites and reports mechanical properties, with no explicit climate or human-health component.",0.00,56.63,2026-09-02_09-22-10_climate_action_general_health_protection
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns material fabrication and mechanical properties of kenaf fibre/polypropylene composites. It does not substantively address climate change, climate factors, mitigation, or adaptation, nor does it connect the study to human health or health systems.
(EXCLUDE) The record concerns material fabrication and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address climate change, climate hazards, mitigation, adaptation, or human health or health systems.
(EXCLUDE) The document describes alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate variables, mitigation, or adaptation, and it contains no human-health or health-system component.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-02_09-22-10_climate_action_general_health_protection
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not substantively address climate factors, climate mitigation or adaptation, nor human health or a recognized climate-health pathway.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate factors, climate change, mitigation, adaptation, or human health.
(EXCLUDE) The record concerns alkaline treatment and mechanical testing of kenaf-fibre/polypropylene composites. It does not substantively address climate change, weather, climate-forcing agents, mitigation, or adaptation, nor does it address human health or healthcare.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-02_09-22-10_climate_action_general_health_protection
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health, including asbestos exposure and lung cancer risk, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation.
(EXCLUDE) The record substantively addresses human health through asbestos exposure and lung cancer risk, but it does not explicitly address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation. Because both climate and health components are required, the record should be excluded.
(EXCLUDE) The record has a human-health component involving asbestos exposure and lung disease, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation. Therefore, it does not meet both required components.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-02_09-22-10_climate_action_general_health_protection
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health, including asbestos exposure, asbestosis, lung cancer, and mortality. However, it does not address climate change, weather or climate variables, climate-forcing agents in a climate context, fossil fuels, or mitigation/adaptation actions. Crocidolite asbestos is studied as an occupational toxicant rather than as a climate component.
(EXCLUDE) The record substantively addresses human health outcomes associated with asbestos exposure, but it does not address climate change, weather or climate variables, climate extremes, greenhouse gases, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including asbestos exposure, pleural disease, lung cancer, and mesothelioma. However, it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-09-02_09-22-10_climate_action_general_health_protection
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record addresses asbestos exposure and human lung-health outcomes, but it does not substantively address climate, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses asbestos exposure, pleural disease, lung cancer, and mesothelioma in human subjects, so it has a health component. However, it does not address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation; asbestos is studied as an occupational toxicant rather than a climate component.
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure, but it does not address climate, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it does not meet the required climate-and-health criteria.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-02_09-22-10_climate_action_general_health_protection
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses addiction, mental states, and physical ill health, but it does not explicitly address climate change, weather/climate factors, climate-forcing agents, or climate mitigation/adaptation. Therefore, it lacks the required climate component even though health-related content is present.
(EXCLUDE) The document discusses culture, consumerism, hatred, addiction, and mental/physical ill health, but it does not explicitly address climate change, weather or climate factors, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Although health-related effects are mentioned, the required climate component is absent.
(EXCLUDE) The document mentions physical and mental ill health, but it does not substantively address climate change, weather or climate hazards, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.","""developing pharmacological addiction, developing cosmic escapism, getting used to and not resisting artificial food and laziness""",0.00,98.46,2026-09-02_09-22-10_climate_action_general_health_protection
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE. The document discusses mental and physical ill health, but it does not substantively address climate change, weather or climate variables, climate hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses mental and physical ill health, but it does not substantively address climate, weather, climate-forcing agents, mitigation, or climate adaptation. Because both climate and health components are required, the record should be excluded.
(EXCLUDE) EXCLUDE. The document discusses social, cultural, psychological, and general health-related conditions, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, mitigation, or climate adaptation. Therefore, it lacks the required climate component despite mentioning health-related effects.","""impoverishment of not only the mind, but also physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,98.20,2026-09-02_09-22-10_climate_action_general_health_protection
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses cultural criticism, consumerism, hatred, and general physical or mental ill health, but it does not substantively address climate, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses mental and physical ill health, addiction, and wellbeing, but it does not substantively address climate change, weather or climate hazards, greenhouse gases, fossil fuels, mitigation, or climate adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses social criticism, addiction, mental and physical ill health, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-02_09-22-10_climate_action_general_health_protection
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on synthetic yeast hybrids, polyploidy, and genome stability. It does not substantively address climate change, weather, climate-forcing agents, mitigation, or adaptation, and its brief mention of potential applications to cancer does not establish a human-health component.
(EXCLUDE) The record concerns synthetic yeast hybrids, genome stability, and adaptation to a novel environment. It does not explicitly address climate change, weather, climate-related hazards, mitigation, or climate adaptation, nor does it substantively connect to human health or health systems.
(EXCLUDE) The record does not substantively address climate change, weather or climate factors, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Although it mentions adaptation to a novel environment and potential study of cancer and bioenergy, these do not establish the required explicit climate and human-health components.",,0.00,0.00,2026-09-02_09-22-10_climate_action_general_health_protection
