document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE. This is a materials-engineering study of kenaf-fibre/polypropylene composites. It contains no explicit substantive climate element and no human-health, climate mitigation, or climate adaptation connection.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. Although the study uses polypropylene, the record does not discuss fossil-fuel use, emissions, climate change, weather hazards, mitigation, adaptation, or human health. A climate-health connection is therefore neither explicit nor directly inferable from the research evaluated.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"EXCLUDE. Even under the high-recall criteria, the abstract does not clearly signal a climate-related factor, climate mitigation, climate adaptation, or a health-related pathway. The proposed composite-product replacement is based on mechanical performance, not stated emissions or fossil-fuel reduction.",Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result and it is worth to replace the current kenaf fibre polymer composites product.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"EXCLUDE. The record focuses on mechanical properties, fatigue performance, and morphology of a wood-plastic composite. It explicitly addresses neither climate change or climate-related agents nor human health, health-relevant mitigation, or adaptation.",A tensile test was carried out to determine the tensile stress of the material.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record substantively addresses asbestos exposure and human lung disease, but it contains no climate-related factor, climate-forcing agent, fossil-fuel issue, mitigation action, or adaptation component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. Although the study has an explicit occupational human-health focus, crocidolite asbestos exposure is not a climate-related element, and no climate, mitigation, or adaptation relationship is stated or directly inferable.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"EXCLUDE. Even under the high-recall criteria, the abstract contains no climate-related element. It studies asbestos, pleural disease, smoking, and lung cancer without mentioning climate, weather, extreme events, fossil fuels, climate-forcing emissions, particulate air pollution, mitigation, or adaptation.","In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"EXCLUDE. The human-health relationship is explicit, but the required explicit and substantive climate component is absent. Asbestos exposure and tobacco smoking are examined as lung-cancer risk factors without a climate, mitigation, or adaptation connection.","As we have demonstrated previously, the presence of asbestosis and cumulative asbestos exposure both contribute to increased subsequent lung cancer risk, although previous tobacco smoke exposure remains the strongest risk factor.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns synthetic yeast hybrids and biological adaptation to a novel environment. It does not explicitly address climate change, weather, climate hazards, greenhouse-gas emissions, fossil-fuel replacement, or a qualifying climate-health pathway. The brief mention of potential bioenergy applications is not a substantive mitigation action.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE. “Adapted” refers to biological evolution under laboratory selection, not societal climate adaptation. No substantive climate-related component or qualifying human-health connection is presented.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied, even as they retained traits from multiple species.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"EXCLUDE. Even under the high-recall criteria, the record does not clearly present a climate-related element. Bioenergy is mentioned only as a possible future application, without fossil-fuel replacement, emissions reduction, or another mitigation action; the biological adaptation studied is not climate adaptation.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,7,include - max precision,True,,,,,False,False,"EXCLUDE. The adaptation described is organismal adaptation, not climate adaptation, and the record contains no explicit substantive climate element or climate-related human-health route. Cancer and bioenergy appear only as possible applications.",One sentence summary We constructed six-species synthetic hybrids and showed that they were chromosomally unstable but able to adapt rapidly.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns remote-sensing extraction of water bodies and correction for building shadows, but it contains no substantive climate-related element and no explicit human-health, mitigation, or adaptation connection.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. Water-body mapping alone does not establish a climate-health exposure pathway. The record does not address climate, weather hazards, health, mitigation, or adaptation.","In this paper, a water extraction network SE-CU-Net model is presented to overcome the shadowing effect from buildings and other features.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"EXCLUDE. Even under the high-recall criteria, there is no climate-related factor, event, agent, policy, or mitigation action. The mere study of water-body image extraction is insufficient.","Using GF-2 images of Jiangsu province as the data source, the recognition results of this paper are compared with Dense-Net, Res-Net, Seg-Net, U-net, SVM, and RF.",0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,7,include - max precision,True,,,,,False,False,"EXCLUDE. The abstract explicitly presents a technical image-segmentation method, not climate-related research, and states no human-health outcome, climate-health exposure route, mitigation action, or adaptation purpose.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-08-31_20-39-11_all_modes_resample_5
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns electricity access and industrial infrastructure but contains no explicit climate-related component and no human-health, mitigation, or climate-adaptation connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_20-39-11_all_modes_resample_5
