document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical and morphological properties of a kenaf-fibre/polypropylene composite. It contains no explicit substantive climate-related component and no human-health, health-relevant mitigation, or climate-adaptation connection.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_19-52-13_high_precision
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The record examines asbestos exposure, pleural disease, and lung cancer but contains no substantive climate-related component, climate mitigation action, or climate adaptation element. It therefore does not meet the inclusion criteria.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-08-31_19-52-13_high_precision
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns biological adaptation of synthetic yeast hybrids, not climate adaptation. It contains no explicit substantive climate-related component and no explicit connection between climate and human health. The mentions of cancer and bioenergy are only potential applications and do not establish the required connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_19-52-13_high_precision
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"The study develops a remote-sensing method for extracting water bodies from images and addressing interference from building shadows. It contains no explicit substantive climate-related component and no human-health, health-relevant mitigation, or climate-adaptation connection.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_19-52-13_high_precision
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns electricity access, privatized urban infrastructure, and apparel manufacturing. It does not explicitly address climate change, climate variables, fossil fuels, greenhouse-gas emissions, mitigation, adaptation, or any qualifying human-health outcome or exposure pathway.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_19-52-13_high_precision
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns isolation and antibacterial testing of a rabbit intestinal protein. It contains no substantive climate-related component and no explicit climate–human-health, mitigation, or adaptation connection.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-08-31_19-52-13_high_precision
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record examines industrial gas-pipeline rupture, ignition, shock waves, thermal effects on people, and emergency gas losses solely as accident and safety hazards. It does not substantively address climate change, greenhouse-gas emissions as a climate or air-quality matter, mitigation, or climate adaptation.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_19-52-13_high_precision
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,0,include - high precision,True,,,,,False,False,"The record concerns radical cation migration in Z-form DNA and contains no explicit substantive climate-related component or qualifying human-health, mitigation, or adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-08-31_19-52-13_high_precision
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns shrimp feeding, growth, and aquarium water quality. It contains no explicit substantive climate-related component and no explicit human-health, climate-mitigation, or climate-adaptation connection.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-08-31_19-52-13_high_precision
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record addresses anticancer and antioxidant properties of medicinal plants. Although it mentions the region's Mediterranean climate, climate is only incidental background and is not measured, analyzed, or explicitly connected to human health, mitigation, or adaptation.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-08-31_19-52-13_high_precision
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",0,include - high precision,True,,,,,True,False,"EXCLUDE. Climate change is mentioned only as the name of a separate global agreement; the article substantively concerns disaster-risk-reduction science and policy. It does not explicitly establish a substantive climate element connected to human health, health-relevant mitigation, or qualifying climate adaptation.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-08-31_19-52-13_high_precision
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns professional networks, training, skills, and careers for digital research technical professionals. It contains no explicit substantive climate-related component and no qualifying human-health connection.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-08-31_19-52-13_high_precision
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns implicit bias, inclusiveness, and inequities in healthcare. Its use of “climate” refers to the professional or institutional environment, not climate change, weather, climate hazards, fossil fuels, or climate-forcing emissions; therefore, it lacks a substantive climate-related component.","Last, this workshop will discuss strategies of what we can do individually and institutionally to reduce unintended negative consequences of implicit attitudes and improve our professional interactions and climate.",0.00,100.00,2026-08-31_19-52-13_high_precision
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns a fuzzy-logic system for evaluating airline catering service and customer satisfaction. It contains no explicit substantive climate-related component and no qualifying human-health, climate-mitigation, or climate-adaptation connection.","In this study, the catering service evaluation system for customers is designed and an interface is developed to be used in the aviation 4.0 industry.",0.00,100.00,2026-08-31_19-52-13_high_precision
51819537,15da3de6-7714-4814-bea4-ad28756d1569,Implications of increasing demand for freshwater use from the water footprint of irrigated potato production in Alberta.,0,include - high precision,True,,,,,False,False,"EXCLUDE. Climate change is mentioned only as background, while the study itself focuses on irrigation water use and the water footprint of potato production. The available text does not explicitly establish a substantive climate analysis or a climate-linked human-health, mitigation, or adaptation pathway.",The study aims to assess the water footprint of irrigated potato production in Alberta for two scenarios,0.00,100.00,2026-08-31_19-52-13_high_precision
3745,16bd12e4-e34b-47fd-bc1f-a435da5498d5,Sedimentological and mineralogical-petrographic characteristics of Miocene evaporitic deposits (SW Erzincan),0,include - high precision,True,,,,,False,False,"The record discusses past climatic conditions only as factors in gypsum diagenesis. It contains no explicit human-health outcome, climate-health exposure pathway, health-relevant mitigation action, or adaptation action protecting people or human-important ecosystems.",gypsum lithofacies were exposed to diagenetic processes under the influence of a hot-humid and semi-arid climate,0.00,100.00,2026-08-31_19-52-13_high_precision
257505781,1b957fc5-736f-4608-ad81-9861e3266a13,Social Forestry and Dairy Farming Practices in West Java With Special Emphasis on the Examination of Conflict Identification and Resolution,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study addresses land-use and stakeholder conflicts involving dairy farming and social forestry, but it contains no explicit, substantive climate-related component and no qualifying human-health connection.","The objective of this study was to determine the types of conflicts between dairy farming and social forestry programs in two selected villages in Lembang, West Java, Indonesia, and make recommendation on how to resolve it.",0.00,100.00,2026-08-31_19-52-13_high_precision
7338834,1d1526ba-04b9-4b07-9e2f-bb420a444f73,Phenanthraquinone inhibits eNOS activity and suppresses vasorelaxation,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study examines the vascular toxicology of a single diesel-exhaust chemical but does not substantively address climate change, fossil-fuel use, greenhouse-gas or climate-forcing emissions, mitigation, or adaptation. The explicit health findings therefore lack a qualifying climate-related component.","phenanthraquinone, an environmental chemical contained in diesel exhaust particles",0.00,100.00,2026-08-31_19-52-13_high_precision
