document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not substantively address climate change, weather, climate hazards, mitigation, or adaptation, and it contains no human-health or health-system outcome or exposure pathway.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The record substantively addresses asbestos exposure and lung-cancer risk, but it does not address climate, weather, climate change, mitigation, or adaptation. Therefore, the climate component required for inclusion is absent.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The record does not substantively address a climate component such as climate change, weather, emissions, mitigation, or adaptation. Although it mentions possible applications to cancer, this is speculative and does not establish a substantive connection to human health or health systems.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The record focuses on improving remote-sensing image segmentation of water bodies and does not substantively address climate factors, climate change, adaptation, or mitigation. It also does not connect the work to human health or a recognized climate-health pathway.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The document addresses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but it does not substantively address climate change, weather/climate factors, mitigation, or adaptation. It also does not connect the topic to human health or health systems.",This article adopts a political economy approach ... to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,86.92,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"The record addresses antimicrobial activity and bacterial diseases, providing a health-related topic, but it contains no substantive climate, weather, mitigation, or adaptation component.","""Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.""",0.00,99.16,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,True,"The record substantively addresses fossil-fuel-based hydrocarbon gas pipelines and emergency emissions, providing a climate component under the fossil-fuel criterion. It also evaluates human health and safety impacts, including shock waves, ignition, and thermal effects on people, satisfying the health component.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors. The probit-functions by the thermal effect on people were determined.",0.00,82.03,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in DNA and does not substantively address a climate or weather factor, climate mitigation/adaptation, or a human-health outcome or pathway.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"The record addresses shrimp growth, feed dosage, and water quality, but it does not substantively address climate change, climate/weather factors, climate forcing agents, mitigation, or climate adaptation. Therefore, it lacks the required climate component, even though it concerns aquaculture and water quality.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"The record has a health component through its anticancer and antioxidant testing, but it does not substantively address climate change, climate variability, weather factors, mitigation, or adaptation. The Mediterranean climate is only a regional background descriptor.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-09-01_14-26-21_luna_reshortened_resimplified_positive_health_2
