document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE: The record concerns alkaline treatment, mechanical strength, fatigue, and morphology of kenaf-fibre/polypropylene composites. It contains no substantive climate-related component and no human-health, mitigation, or adaptation connection.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_08-25-12_luna
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE: The study is focused exclusively on materials processing and mechanical properties. No climate element or qualifying health, mitigation, or adaptation element is stated or directly inferable.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-09-01_08-25-12_luna
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"EXCLUDE: Although the record describes a materials technology, it does not mention climate change, weather, emissions, fossil fuels, climate-forcing agents, health, mitigation, or adaptation.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_08-25-12_luna
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"EXCLUDE: The record evaluates replacement of a polymer-composite product for improved material performance, not replacement of fossil fuels or an emissions-reduction intervention. It has no explicit substantive climate or human-health connection.",Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result and it is worth to replace the current kenaf fibre polymer composites product.,0.00,100.00,2026-09-01_08-25-12_luna
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE: The record concerns asbestos exposure, pleural plaques, asbestosis, smoking, and lung cancer, but contains no substantive climate-related component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_08-25-12_luna
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE: The study substantively addresses occupational asbestos exposure and lung-cancer risk, but does not mention or analyze climate change, weather, climate-forcing agents, mitigation, or adaptation.","Hazard ratios for lung cancer were estimated by Cox regression, with age as the underlying matching time variable, for sex, tobacco smoking, asbestos exposure estimates",0.00,100.00,2026-09-01_08-25-12_luna
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"EXCLUDE: Although the record clearly concerns human health, it contains no climate-related element such as climate change, weather, fossil fuels, greenhouse gases, or climate-relevant air pollutants.","Conclusions: In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-09-01_08-25-12_luna
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"EXCLUDE: The abstract focuses on asbestos-related disease and lung-cancer risk and provides no explicit substantive climate element or climate-health, mitigation, or adaptation connection.",While an association between asbestosis and lung cancer (even after adjustment for asbestos exposure) is well established,0.00,100.00,2026-09-01_08-25-12_luna
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract concerns synthetic yeast hybrids, genome stability, and biological adaptation to a novel environment. It contains no substantive climate-related factor, climate hazard, greenhouse gas, mitigation action, or human-health connection.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_08-25-12_luna
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"Although the abstract mentions adaptation, this is biological adaptation of yeast, not climate adaptation. No climate element or qualifying human-health connection is explicitly stated.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_08-25-12_luna
