document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document focuses on alkaline treatment, mechanical properties, fatigue testing, and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate, climate-forcing agents, emissions, human health, or health-related mitigation/adaptation.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record addresses asbestos exposure and lung cancer risk, but does not substantively address climate change, climate/weather variables, climate-related extremes, fossil fuels, greenhouse gases, particulate matter, emissions, mitigation, or adaptation.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE: The abstract concerns synthetic allopolyploid yeast hybrids, chromosomal instability, adaptation to novel environments, and potential bioenergy applications. It does not substantively address climate change or variability, climate hazards, emissions, fossil fuels, or climate-forcing agents, nor does it establish a qualifying human-health connection.",Allopolyploidy generates diversity by increasing the number of copies and sources of chromosomes.,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. The paper concerns water-body extraction from remote-sensing images and does not substantively address climate change or variability, climate hazards, emissions, or a qualifying human-health connection.","""Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction""",0.00,98.77,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document does not substantively address climate change, climate variables, climate-forcing agents, emissions, or mitigation/adaptation. It also does not present a qualifying human-health connection.","The article focuses on ""how the apparel manufacturing sector in Kyrgyzstan has thrived"" and ""access to elite-controlled, privatized urban infrastructure""",0.00,63.40,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns isolating and testing an antimicrobial protein in rabbit intestinal tissue. It does not substantively address climate, weather, climate-forcing agents, mitigation, adaptation, or a qualifying human-health connection.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The document addresses industrial gas pipeline rupture, ignition, shock waves, and thermal effects on people as accident hazards. It does not substantively address climate change, climate variability, climate hazards, emissions as a climate issue, or a health-relevant mitigation/adaptation action.",Industrial gas pipelines are objects of high danger.,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in DNA and does not substantively address climate, weather, climate-forcing agents, emissions, or any qualifying human-health connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns shrimp feed dosage, shrimp growth, and aquaculture water quality, but does not substantively address climate change or variability, climate hazards, climate-forcing agents, mitigation, adaptation, or a qualifying human-health connection.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record studies anticancer and antioxidant properties of medicinal plant extracts, but it does not substantively address climate, weather, climate-related hazards, fossil fuels, greenhouse gases, emissions, mitigation, or adaptation.",The aim of this study was to screen for anticancer and antioxidative properties of selected medicinal plants from this area of North-West of Morocco.,0.00,100.00,2026-09-01_13-01-14_luna_shortened_menatalhealth_2
