document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record evaluates alkaline treatment, mechanical strength, fatigue, and morphology of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, weather, greenhouse gases, mitigation, adaptation, or human health.
(EXCLUDE) The record discusses alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood plastic composites, but it does not substantively address a climate factor, mitigation/adaptation action, or human health outcome.
(EXCLUDE) The record studies alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood-plastic composites. It does not explicitly address climate change, weather, emissions, fossil fuels, mitigation, or adaptation, and it does not substantively address human health or health systems.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document focuses on improving the mechanical properties and morphology of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, weather, climate mitigation/adaptation, or health outcomes or health systems.
(EXCLUDE) The record concerns alkaline treatment and mechanical testing of kenaf-fibre polypropylene wood-plastic composites. It does not substantively address climate change, weather, climate mitigation/adaptation, or a climate-forcing agent, and it contains no human-health or health-system component.
(EXCLUDE) The document concerns mechanical treatment and testing of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, climate variables, emissions, mitigation, adaptation, or human health.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document concerns alkaline treatment and mechanical testing of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, climate variables, emissions, fossil-fuel reduction, or climate adaptation, nor does it address human health or health systems.
(EXCLUDE) The document focuses on alkaline treatment, mechanical strength, fatigue life, and morphology of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, weather, emissions, fossil-fuel reduction, or climate adaptation, nor does it address human health or a recognized climate-health pathway.
(EXCLUDE) The document focuses on mechanical properties and morphology of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, weather, climate-forcing agents, fossil-fuel use, mitigation, or adaptation, and it reports no human-health or health-system outcome.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through lung cancer, mesothelioma, and pleural disease, but it does not address climate change, weather, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Asbestos exposure is discussed as an occupational/environmental health exposure rather than a climate component.
(EXCLUDE) False. The record substantively addresses human health, including lung cancer, mesothelioma, and asbestos-related disease, but it does not explicitly address climate change, weather, climate hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation.
(EXCLUDE) False. The record substantively addresses human health through lung cancer, mesothelioma, and asbestos exposure, but it does not address climate change, weather/climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through lung cancer, mesothelioma, and asbestos exposure, but it does not address climate change, weather, climate-related hazards, climate mitigation/adaptation, fossil fuels, or a climate-forcing agent. Asbestos is studied as a non-climate toxic exposure.
(EXCLUDE) False. The document substantively addresses asbestos exposure and lung cancer, providing a health component, but it contains no climate, weather, climate-forcing agent, fossil-fuel, mitigation, or adaptation component.
(EXCLUDE) The record substantively addresses human health, including lung cancer, mesothelioma, and asbestos-related disease, but it does not address climate change, weather/climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record addresses human health, including lung cancer, mesothelioma, asbestosis, and asbestos exposure, but it does not substantively address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation.
(EXCLUDE) The record substantively addresses human health, including asbestos exposure and lung cancer, but it does not address climate change, weather, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The record substantively addresses human health, including lung cancer and asbestos exposure, but it does not address climate change, weather/climate factors, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate-and-health connection.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) False — EXCLUDE. The document discusses social, cultural, psychological, and physical ill health, but it does not substantively address climate change, weather or climate factors, climate hazards, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical rather than a climate component.
(EXCLUDE) The record does not substantively address climate change, weather, climate hazards, emissions, mitigation, or adaptation. Although it mentions physical ill health and conditions such as anemia and panic, it lacks an explicit climate component, so it should be excluded.
(EXCLUDE) The document mentions human physical ill health, including anemia, apathy, panic, melancholy, and despair, so a health component is present. However, it does not substantively address climate change, weather or climate factors, climate-related hazards, mitigation, or adaptation. Therefore, it lacks the required climate component and should be excluded.",“storm and onslaught” (according to Darwin and Schiller) was important (and remains) — emotions and violence — those spears that lead their colonus (holder) to success in a ‘primitive way’ — likening among similar ones.,0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE: The document discusses culture, consumerism, addiction, and mental and physical ill health, but it does not substantively address climate change, weather, climate hazards, mitigation, or adaptation.
(EXCLUDE) The document discusses social, cultural, psychological, and physical ill health, but it does not substantively address climate change, weather, climate-related hazards, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses cultural, social, psychological, and physical-health issues, but it does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. Therefore, it lacks the required climate component despite mentioning ill health.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-03_11-55-06_reasoning_before_output
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses social, cultural, psychological, and physical-health themes, including addiction and ill health, but it does not substantively address climate change, weather, climate hazards, emissions, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical rather than a climate component.
(EXCLUDE) The document discusses culture, consumerism, ideology, education, addiction, and general physical or mental ill health, but it does not substantively address climate change, weather, climate hazards, emissions, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document mentions physical ill health and mental states, but it does not substantively address climate change, weather or climate hazards, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-03_11-55-06_reasoning_before_output
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record does not substantively address a climate or weather factor, climate mitigation/adaptation, or a climate-related hazard. Although it mentions adaptation to a novel environment and potential study of cancer, it does not establish a substantive human-health component either.
(EXCLUDE) False. The document does not substantively address a climate component; bioenergy is mentioned only as a potential application, without analysis of emissions, fossil fuels, climate change, or mitigation. It also does not substantively connect the research to human health; cancer is listed only as a possible area of study.
(EXCLUDE) The record describes synthetic yeast hybrids, genome instability, adaptation, and potential applications in cancer and bioenergy. It does not substantively address a climate factor, climate mitigation/adaptation action, or climate-related hazard, and the health-related mention of cancer is only a potential application in a yeast study rather than a human-health outcome.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-03_11-55-06_reasoning_before_output
