document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment, mechanical properties, fatigue testing, and morphology of kenaf-fibre/polypropylene composites. It does not explicitly address climate change, weather, climate hazards, greenhouse gases, mitigation, or adaptation, nor does it substantively address human health or health systems.
(EXCLUDE) The record addresses material strength, flexural performance, fatigue life, and morphology of WPCs. It does not explicitly discuss climate change, weather, climate mitigation/adaptation, or human health and health systems; therefore it lacks both required components.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on alkaline treatment of kenaf fibre and the mechanical properties of wood plastic composites. It does not substantively address climate change, climate hazards, mitigation, adaptation, or human health.
(EXCLUDE) The study focuses on the mechanical properties, treatment, fatigue performance, and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate-related hazards, greenhouse gases, mitigation, or adaptation, and it contains no human-health or health-system outcome.","""Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.""",0.00,99.48,2026-09-01_19-27-57_luna_separate_prompts
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns mechanical properties, alkaline treatment, and morphology of kenaf-fibre/polypropylene composites. It does not mention climate change, climate-related hazards, health, greenhouse-gas emissions, fossil-fuel reduction, or climate adaptation, so none of the inclusion routes is plausibly present.
(EXCLUDE) The document focuses on the mechanical properties, treatment, fatigue life, and morphology of kenaf fibre/polypropylene composites. It contains no plausible connection to climate change, climate-related hazards, human health, mitigation of greenhouse-gas emissions, fossil-fuel reduction, or climate adaptation.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses human health through lung cancer and asbestos-related disease, but it does not explicitly address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Asbestos is studied as an occupational toxicant rather than as a climate component.
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not explicitly address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate component.","""Conclusions: In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.""",0.00,98.48,2026-09-01_19-27-57_luna_separate_prompts
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including asbestos exposure, lung cancer, mesothelioma, and mortality. However, it contains no climate or weather factor, climate-forcing agent, fossil-fuel/climate mitigation, or adaptation component. Therefore, it does not meet the requirement for both climate and health components.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns asbestos exposure, pleural plaques, asbestosis, smoking, and lung cancer risk. It contains no plausible connection to climate change, climate factors, mitigation, or adaptation.
(EXCLUDE) The record concerns asbestos exposure, pleural plaques, asbestosis, smoking, and lung cancer. It contains no plausible connection to climate change, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on synthetic yeast hybrids, polyploidy, chromosome instability, and adaptation to a novel environment. It does not explicitly address climate change, weather/climate factors, mitigation, or climate adaptation, nor does it substantively connect the work to human health or health systems.
(EXCLUDE) The record concerns synthetic allopolyploid yeast, genome stability, and adaptation to a novel environment. It does not explicitly address climate change, weather, climate hazards, mitigation, or climate adaptation, nor does it substantively connect the work to human health or health systems.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_19-27-57_luna_separate_prompts
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record does not substantively address climate change, climate hazards, mitigation, or adaptation, nor does it study a human-health outcome or health system. Cancer and bioenergy are mentioned only as potential applications.
(EXCLUDE) The document discusses synthetic yeast hybrids, genome stability, adaptation to a novel environment, cancer, and bioenergy, but it does not substantively address climate change, weather, climate hazards, mitigation, or climate adaptation. Although cancer is mentioned as a potential application, no human-health outcome or health-system connection is studied.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The abstract focuses on synthetic yeast hybrids, polyploidy, genome stability, and adaptation to a novel environment. Although it mentions potential applications in bioenergy, it does not study climate change, climate factors, greenhouse-gas mitigation, fossil-fuel replacement, climate-health impacts, or climate adaptation.
(EXCLUDE) The abstract concerns synthetic yeast hybrids, polyploidy, genome stability, and possible bioenergy applications, but it does not describe climate change, a climate factor, climate-related health impacts, emissions reduction, fossil-fuel substitution, or climate adaptation.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_19-27-57_luna_separate_prompts
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record describes a remote-sensing neural network for water-body extraction and building-shadow reduction. It does not explicitly address climate change, weather or climate hazards, mitigation, adaptation, or human health/health systems.
(EXCLUDE) The record describes a remote-sensing and image-segmentation method for extracting water bodies. It does not explicitly address climate change, weather or climate hazards, mitigation, or adaptation, and it does not substantively connect the work to human health or health systems.","""Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction""",0.00,98.77,2026-09-01_19-27-57_luna_separate_prompts
