document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The study concerns materials treatment and mechanical properties of kenaf-fibre wood-plastic composites. It contains no substantive climate-related component and no human-health, mitigation, or adaptation connection.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-01_08-28-00_luna_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The record focuses on tensile, flexural, fatigue, and morphological testing of composite materials, without climate or health content. Therefore it does not meet the inclusion criteria.","""A tensile test was carried out to determine the tensile stress of the material.""",0.00,97.53,2026-09-01_08-28-00_luna_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"Although the study involves a material potentially relevant to products, it does not mention climate change, climate agents, emissions, health, mitigation, or adaptation. It is therefore excluded under the high-recall screen.","""Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.""",0.00,98.60,2026-09-01_08-28-00_luna_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,The abstract reports optimization of composite formulation and mechanical performance only. No explicit substantive climate element or qualifying human-health connection is present.,"""Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result""",0.00,97.44,2026-09-01_08-28-00_luna_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE: The record concerns asbestos exposure, pleural plaques, asbestosis, smoking, and lung cancer, but contains no substantive climate-related component or climate-health pathway.","Introduction/Aim: Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_08-28-00_luna_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE: The study addresses asbestos-related occupational health and lung cancer, but does not explicitly address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation.","Conclusions: In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-09-01_08-28-00_luna_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"EXCLUDE: Although the record includes a human-health outcome, it has no climate-related element; asbestos is studied as an occupational exposure rather than in a climate, emissions, or air-quality context.",Methods: We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-09-01_08-28-00_luna_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"EXCLUDE: The abstract reports asbestos exposure and lung cancer risk, but neither a substantive climate component nor an explicit climate-related health, mitigation, or adaptation connection is present.","Conclusions: In our population, the presence of asbestosis and cumulative asbestos exposure both contribute to increased subsequent lung cancer risk",0.00,85.81,2026-09-01_08-28-00_luna_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract contains no substantive climate-related component and no explicit human-health, climate-mitigation, or climate-adaptation connection. The term adaptation refers to biological adaptation, and the bioenergy mention is only a potential application.","""Allopolyploidy promotes differentiation and facilitates adaptation to new environments""",0.00,97.73,2026-09-01_08-28-00_luna_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The record does not explicitly or directly inferably address climate change, climate variables, emissions, human health, mitigation, or climate-risk adaptation. Biological adaptation to a novel environment does not qualify.","""Allopolyploidy promotes differentiation and facilitates adaptation to new environments""",0.00,97.73,2026-09-01_08-28-00_luna_s2
