document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns mechanical, flexural, fatigue, and morphological properties of kenaf fibre wood-plastic composites. It does not explicitly address a climate/weather factor, mitigation or adaptation action, or any human health outcome or exposure pathway.
(EXCLUDE) The record studies alkaline treatment and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not substantively address a climate or weather factor, mitigation/adaptation action, or any human-health outcome or exposure pathway.
(EXCLUDE) The record concerns material engineering of kenaf-fibre wood plastic composites and mechanical properties. It does not explicitly address a substantive climate factor, mitigation/adaptation action, or any human health outcome or exposure pathway.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC""",0.00,98.99,2026-09-03_18-26-00_terra
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address a climate/weather factor, mitigation or adaptation action, nor any human-health outcome or recognised climate-health exposure pathway.
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address a climate/weather factor, mitigation or adaptation action, nor any human health outcome or recognised climate-health exposure pathway.
(EXCLUDE) The record concerns mechanical properties and morphology of wood-plastic composites. It does not substantively address a climate/weather factor, climate mitigation or adaptation, or a human health outcome or pathway.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-03_18-26-00_terra
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood-plastic composites. It does not substantively address a climate factor, mitigation/adaptation action, or human health outcome/pathway.
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood-plastic composites treated with sodium hydroxide. It does not substantively address climate/weather, mitigation or adaptation, nor human health or a recognised climate-health pathway.
(EXCLUDE) The record concerns material engineering of kenaf fibre/polypropylene wood-plastic composites and mechanical properties. It does not substantively address a climate factor, mitigation or adaptation action, nor human health or a recognised climate-health exposure pathway.","“The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics”",0.00,99.19,2026-09-03_18-26-00_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record explicitly concerns human respiratory disease and lung-cancer risk from occupational/residential asbestos exposure, but it does not substantively address climate change, climate/weather factors, climate mitigation/adaptation, greenhouse gases, or fossil-fuel use.
(EXCLUDE) The record explicitly concerns human health outcomes (lung cancer and asbestos-related disease), but it contains no explicit climate or weather factor, greenhouse-gas/combustion particulate climate-forcing agent, climate mitigation, or climate adaptation component. Asbestos is studied as an occupational/environmental carcinogen rather than a climate-related exposure.
(EXCLUDE) The record explicitly addresses human health outcomes, including lung cancer and mesothelioma, but its exposure is occupational/environmental asbestos rather than a stated climate or weather factor, climate mitigation/adaptation action, or climate-related hazard.","“Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.”",0.00,98.26,2026-09-03_18-26-00_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively concerns occupational/environmental asbestos exposure and lung cancer, but it does not address a climate or weather factor, climate mitigation, or climate adaptation. Asbestos is not presented as a climate-forcing agent or climate-related exposure.
(EXCLUDE) The record substantively addresses occupational asbestos exposure and lung cancer, but it does not address a climate or weather factor, climate mitigation, or climate adaptation. Asbestos is considered here as an occupational toxicant rather than a climate-forcing agent.
(EXCLUDE) The record concerns occupational/residential asbestos exposure and lung cancer risk. Although it has a human-health component, it does not substantively address climate change, weather, climate-related hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-03_18-26-00_terra
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns occupational/residential asbestos exposure and lung cancer. It does not substantively address a climate or weather factor, climate mitigation, or climate adaptation.
(EXCLUDE) The record concerns occupational/environmental asbestos exposure and lung cancer risk, but does not substantively address climate factors, climate mitigation, or climate adaptation.
(EXCLUDE) The record concerns occupational/environmental asbestos exposure and lung cancer risk, but it does not substantively address a climate or weather factor, climate mitigation, or climate adaptation.","“Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.”",0.00,98.26,2026-09-03_18-26-00_terra
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document is a philosophical/social commentary. It does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. Although it mentions physical and mental ill health, these are not connected to any explicit climate component.
(EXCLUDE) The text is a philosophical/cultural critique. It does not substantively address a climate or weather factor, climate mitigation, or climate adaptation. Although it mentions physical and mental ill health, these are rhetorical consequences in the discussion rather than a substantive human-health analysis connected to climate.
(EXCLUDE) The document is a philosophical/cultural commentary. It contains no substantive climate, weather, mitigation, or adaptation component. References to ill health and mental states are rhetorical consequences in the discussion rather than a substantive human-health analysis linked to climate.",“storm and onslaught” (according to Darwin and Schiller) was important,0.00,100.00,2026-09-03_18-26-00_terra
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The text is a philosophical/social critique discussing consumerism, technology, and mental and physical ill health, but it does not substantively address a climate or weather factor, climate mitigation, or climate adaptation. Therefore it lacks the required climate component.
(EXCLUDE) The text is a philosophical/cultural critique. Although it mentions physical and mental ill health, it does not substantively address any climate or weather factor, climate mitigation, or climate adaptation action.
(EXCLUDE) The document is a philosophical/social commentary and does not substantively address a climate or weather factor, climate mitigation/adaptation, or a human-health outcome connected to climate. Although it mentions physical ill health, this is not linked to any climate component.",“The Renegadeness” is an intermediate culture.,0.00,100.00,2026-09-03_18-26-00_terra
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The text is a philosophical/cultural critique and contains no substantive climate, weather, mitigation, adaptation, or climate-health exposure content. References to ill health are metaphorical consequences of cultural behaviour rather than a study of human health in relation to climate.
(EXCLUDE) The text mentions physical and mental ill health, but it does not substantively address any climate/weather factor, climate mitigation, or climate adaptation action.
(EXCLUDE) The text discusses cultural and psychological themes and mentions ill health, but it does not substantively address any climate/weather factor, climate-related hazard, mitigation action, or adaptation action.","“greedy accumulation”, troglodytic, leads to “indigestion”, which results (pun intended) in the impoverishment of not only the mind, but also physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-03_18-26-00_terra
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns synthetic yeast allopolyploids and their adaptation to a novel environment. It does not explicitly address a climate or weather factor, climate mitigation/adaptation, or a substantive human health outcome; cancer is mentioned only as a potential application.
(EXCLUDE) The record concerns synthetic yeast allopolyploids and their adaptation to novel environments. It does not explicitly address a climate/weather factor, climate mitigation or adaptation, nor a substantive human-health outcome or human exposure pathway. Cancer is mentioned only as a potential application, without a human-health study or outcome.
(EXCLUDE) The record concerns synthetic yeast allopolyploids and their adaptation to a novel (unspecified) environment. It does not explicitly address a climate/weather factor, climate mitigation or adaptation, nor a substantive human-health outcome or exposure pathway. Cancer is mentioned only as a potential application, not as a human-health study.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-03_18-26-00_terra
