document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The document concerns material treatment and mechanical testing of kenaf-fibre/polypropylene composites. It does not substantively address climate factors, climate mitigation or adaptation, or human health.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"Despite the high-recall criterion, none of the climate-health impact, mitigation, or adaptation routes is plausibly present. The study focuses solely on composite strength, fatigue, morphology, and alkaline treatment, with no climate, emissions, fossil-fuel, adaptation, or health connection.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The record substantively addresses asbestos exposure and human health outcomes, but it contains no climate factor, mitigation action, or adaptation action. Therefore it does not meet the required climate-and-health intersection.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"The study concerns asbestos exposure, pleural plaques, asbestosis, lung cancer, and tobacco smoking, with no plausible climate, mitigation, or adaptation component. Thus none of the inclusion routes is present.","Conclusions: In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The record does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. Although cancer is mentioned as a potential application, no human-health study or outcome is actually investigated.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"The study concerns synthetic yeast hybrids, genome stability, and adaptation to a novel laboratory environment. It presents no plausible climate-health impact, mitigation action, or climate-related adaptation action; the mention of bioenergy and cancer is only a potential application, not a studied climate or health connection.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied, even as they retained traits from multiple species.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The record concerns an image-segmentation method for extracting water bodies and reducing building-shadow interference. It does not substantively address climate factors, climate change, mitigation, or adaptation, and it contains no human-health or health-system component.","This paper is based on the U-Net convolutional neural network and adds the squeeze-and-excitation module of SENet, an attention mechanism, to the downsampling process of the U-Net network.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"Despite the high-recall criteria, none of the qualifying routes is plausibly present: the study does not address a climate factor, climate-health impact, mitigation, or climate-related adaptation. Its focus is technical water-body extraction from remote-sensing imagery, not water as a human-health resource or hazard.","Using GF-2 images of Jiangsu province as the data source, the recognition results of this paper are compared with Dense-Net, Res-Net, Seg-Net, U-net, SVM, and RF.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The article addresses apparel manufacturing, electricity access, privatized infrastructure, and shop-owner relations, but it does not substantively address climate factors, climate mitigation/adaptation, or human health.","""the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability""",0.00,98.61,2026-09-01_14-49-18_luna_reshortened_recall
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,6,include - high recall,True,,,,,False,False,"There is no plausible climate-health impact, mitigation action, or climate adaptation action in the provided record. Electricity and infrastructure are discussed in relation to industrial production and ownership, not climate or health.","""we focus on how myriad shop owners gain access to elite-controlled, privatized urban infrastructure through owner–tenant relations""",0.00,98.48,2026-09-01_14-49-18_luna_reshortened_recall
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"The record studies an antimicrobial protein isolated from rabbit intestine and its antibacterial activity, but it contains no substantive climate factor, climate impact, mitigation action, or adaptation action.","""an antimicrobial protein was obtained and purified""",0.00,96.15,2026-09-01_14-49-18_luna_reshortened_recall
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,6,include - high recall,True,,,,,False,False,"Although the study concerns antibacterial activity, it presents no plausible climate-health connection, mitigation action, or adaptation action; the protein is studied for a purely non-climate biomedical purpose.","""The strong inhibition effect of this protein on 9 bacteria strains""",0.00,97.06,2026-09-01_14-49-18_luna_reshortened_recall
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"The document addresses human injury risk from industrial pipeline failures, including shock waves and thermal effects, but the hydrocarbon/fossil-fuel content is discussed only as an industrial accident hazard. It does not substantively address climate change, climate variability, a climate hazard, mitigation, or climate adaptation.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,6,include - high recall,True,,,,,False,False,"Although hydrocarbon energy carriers are mentioned, the study concerns emergency pipeline rupture, ignition, gas losses, and industrial safety. It does not study mitigation, climate-related hazards, climate-risk adaptation, or a plausible climate-health connection; therefore none of the qualifying routes is present.","The conditional probability of ignition of emergency emissions of hydrocarbon energy carriers was determined, considering the location of ignition sources.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in DNA and contains no substantive climate factor, climate action, or human-health component.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,6,include - high recall,True,,,,,False,False,"The record has no plausible climate-health impact, mitigation action, or adaptation action; it addresses nucleic-acid chemistry and irradiation for a non-climate purpose.","SUBJECTS:Cations,Chemical structure,Genetics,Irradiation,Nucleic acid structure",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"The record concerns shrimp growth, feed dosage, and aquaculture water quality, but it does not substantively address climate change, weather or climate variables, climate hazards, mitigation, or adaptation. It also does not connect the study to human health or health systems.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],6,include - high recall,True,,,,,False,False,"None of the three inclusion routes is plausibly present. The study does not address a climate factor, a greenhouse-gas or fossil-fuel mitigation action, or climate-related adaptation; its focus is feed dosage, shrimp growth, and ammonia in aquaculture water.",The results of the study showed that the blind feeding feed dosage had a significant effect on the absolute growth of shrimp and total ammonia nitrogen (P < 0.05).,0.00,97.55,2026-09-01_14-49-18_luna_reshortened_recall
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"The record has a health component through anticancer and antioxidant testing, but the Mediterranean climate is only contextual and is not measured, analyzed, or connected to a climate-health pathway. Therefore, it lacks a substantive climate component.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,6,include - high recall,True,,,,,False,False,"Although the study concerns health-related anticancer activity, it contains no plausible climate-health impact, mitigation action, or adaptation action. The climate reference is incidental rather than a studied factor, so the record should be excluded even under the high-recall criteria.",The aim of this study was to screen for anticancer and antioxidative properties of selected medicinal plants from this area of North-West of Morocco.,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,True,"The abstract substantively addresses climate through its analysis of synergies between the Sendai Framework and the 2015 Climate Change Agreements, while also explicitly addressing health and health-related policy outcomes.","It builds on the idea that science and evidence are essential for effective policy-making to improve lives, livelihoods and health.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",6,include - high recall,True,,,,,True,True,"The record plausibly qualifies through the adaptation/disaster-risk-reduction route: it focuses on the Sendai Framework, disaster-risk-reduction science, and joint policy-making linked to climate agreements, with explicit relevance to health and human wellbeing.",This article explores key synergies across these agreements that are articulated in the Sendai Framework to support joint policy-making.,0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"The record concerns training and support networks for digital research technical professionals, research software engineering, data, and computing infrastructure. It does not substantively address a climate factor or human health.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,6,include - high recall,True,,,,,False,False,"The document describes a careers and skills event focused on research software, data, and digital infrastructure. It contains no plausible climate-health impact, mitigation action, or climate adaptation action.","SCALE-UP - no acronym - is a UKRI / NERC Network Plus, and is designed to share developments from STEP-UP and elsewhere nationally, primarily through managing a flexible fund for targeted dRTP initiatives across research software, data and digital infrastructures.",0.00,100.00,2026-09-01_14-49-18_luna_reshortened_recall
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"The document substantively addresses mental healthcare and healthcare inequities, so it has a health component. However, it contains no climate factor, climate-related hazard, mitigation action, or adaptation action.","""This workshop will address why fairness, inclusiveness and cultural competence are important for success in geriatric mental health care.""",0.00,98.56,2026-09-01_14-49-18_luna_reshortened_recall
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,6,include - high recall,True,,,,,False,False,"The record concerns implicit bias, diversity, and mental healthcare, but presents no plausible connection to climate change, weather, climate hazards, mitigation, or adaptation. Therefore none of the inclusion routes is met.","""Disparities in the level and quality of mental healthcare for people from minority groups are also well-documented.""",0.00,98.29,2026-09-01_14-49-18_luna_reshortened_recall
