document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, climate adaptation, or any qualifying human-health pathway.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record addresses occupational asbestos exposure and lung cancer risk but contains no substantive climate-related factor, climate-forcing agent, mitigation action, or climate adaptation component.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns biological adaptation and genome stability in synthetic yeast hybrids. It does not substantively address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, climate mitigation, or human/societal climate adaptation. The potential application to bioenergy is only mentioned, not studied, and no qualifying human-health pathway is established.",Allopolyploidy promotes differentiation and facilitates adaptation to new environments,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study develops a remote-sensing model for water-body extraction and overcoming building-shadow interference. It does not substantively address climate change, climate/weather hazards, mitigation, or adaptation, and it provides no qualifying human-health connection.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE. The article examines electricity access, infrastructure, and labor relations in Kyrgyzstan’s apparel sector, but it does not substantively address climate change, climate variables, fossil fuels, greenhouse-gas emissions, mitigation, or climate adaptation. It also provides no qualifying human-health connection.","we focus on how myriad shop owners gain access to elite-controlled, privatized urban infrastructure through owner–tenant relations in a new market economy.",0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns isolation and antibacterial activity of a rabbit intestinal protein. It contains no substantive climate-related component, climate mitigation or adaptation action, or qualifying climate–human-health connection.",An antimicrobial protein has been isolated and purified from the small intestine of rabbits.,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns gas-pipeline rupture, accidental hydrocarbon emissions, ignition, and human safety effects. Fossil-fuel infrastructure is studied solely as an industrial-accident hazard, with no substantive climate, emissions-reduction, mitigation, or climate-adaptation component.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in Z-form DNA and provides no substantive climate-related component or qualifying climate–health, mitigation, or adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates shrimp feed dosage, growth, and ammonia-related water quality, but it contains no substantive climate-related factor, greenhouse-gas assessment, mitigation action, or climate-adaptation purpose. Its aquaculture focus alone does not establish the required climate-health connection.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study investigates anticancer and antioxidant properties of medicinal-plant extracts. The Mediterranean climate is mentioned only as background information about the study region and is not measured, analyzed, or linked to health outcomes, mitigation, or adaptation.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-08-31_18-53-20_mitigation_health_required
