document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment and mechanical testing of kenaf fibre/polypropylene wood-plastic composites. It does not explicitly address climate change, weather, emissions, mitigation, or adaptation, and it contains no substantive human-health or health-system component.
(EXCLUDE) The record discusses alkaline treatment, mechanical properties, fatigue, and morphology of kenaf-fibre wood plastic composites. It does not explicitly address climate change, weather, greenhouse gases, mitigation, or adaptation, and it does not substantively address human health or health systems.
(EXCLUDE) The record focuses on material treatment and mechanical properties of kenaf fibre/polypropylene composites. It does not explicitly address climate change, weather, mitigation, adaptation, or human health.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate hazards, emissions mitigation, adaptation, or human health.
(EXCLUDE) The record concerns material treatment and mechanical properties of kenaf fibre/ polypropylene composites. It does not substantively address climate change, climate variables, mitigation, or adaptation, and it does not connect the study to human health or health systems.
(EXCLUDE) The record focuses on the mechanical properties, fatigue life, and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, weather, climate mitigation/adaptation, or human health or health systems.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate factors, climate mitigation or adaptation, or human health and health systems.
(EXCLUDE) The record studies the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate, climate hazards, greenhouse gases, fossil-fuel reduction, mitigation, adaptation, or human health.
(EXCLUDE) The study concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate factors, mitigation, adaptation, or human health. The mention of population and replacing an existing composite product does not establish a climate-health connection.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE: The record has a clear human-health component involving lung cancer and asbestos exposure, but it does not substantively address climate change, weather or climate variables, climate-forcing agents, fossil fuels, or climate mitigation/adaptation.
(EXCLUDE) The record substantively addresses human health through asbestos-related lung cancer and pleural disease, but it contains no explicit climate, weather, climate-forcing agent, mitigation, or adaptation component.
(EXCLUDE) The record substantively addresses human health, including asbestos-related disease and lung cancer risk, but it contains no explicit climate, weather, climate-forcing agent, mitigation, or adaptation component.","The study concerns asbestos exposure and lung cancer, with no explicit climate, weather, climate-change, mitigation, or adaptation component.",0.00,48.94,2026-09-02_10-01-36_food_pathway_inclusivity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document substantively addresses asbestos exposure and human lung-cancer outcomes, but it contains no climate, weather, climate-forcing agent, mitigation, or adaptation component. Therefore it does not meet the requirement for both climate and health components.
(EXCLUDE) The record substantively addresses human health through asbestos exposure and lung cancer, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, or mitigation/adaptation actions.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-02_10-01-36_food_pathway_inclusivity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses asbestos exposure, pleural disease, lung cancer, and mesothelioma, but it does not address climate change, weather, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks a climate component.
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not address climate change, weather, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The document addresses asbestos exposure, pleural disease, lung cancer, and smoking, but it does not substantively address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses culture, consumerism, hatred, addiction, and general physical or mental ill health, but it does not explicitly address climate change, weather or climate factors, climate hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses social and cultural criticism, addiction, and mental or physical ill health, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses mental and physical ill health, but it does not explicitly address climate change, weather or climate factors, climate-related hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, it has a health component but no qualifying climate component.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-02_10-01-36_food_pathway_inclusivity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses consumer culture, ideology, addiction, and general mental or physical ill health, but it does not substantively address climate change, weather or climate hazards, greenhouse gases, fossil fuels, mitigation, or climate adaptation. Therefore, it lacks the required climate component even though health-related concepts are mentioned.
(EXCLUDE) The document discusses culture, consumerism, ideology, education, and general physical or mental ill health, but it does not substantively address climate, weather, climate change, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical and not a climate component, so the required combination of climate and health components is absent.
(EXCLUDE) The document discusses social and cultural criticism, including mental and physical ill health, but it does not substantively address climate, weather, climate change, mitigation, or adaptation. Therefore, it lacks the required climate component despite mentioning health-related effects.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses consumer culture, ideology, education, addiction, and general physical and mental ill health, but it does not substantively address climate, weather, climate hazards, greenhouse gases, fossil fuels, mitigation, or climate adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses consumerism, culture, addiction, violence, education, and mental or physical ill health, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses social criticism, culture, addiction, and mental and physical ill health, but it does not substantively address climate change, weather or climate factors, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record does not substantively address a climate component: adaptation refers to yeast adapting to a novel environment, not climate change, weather, climate hazards, mitigation, or climate adaptation. Although cancer is mentioned as a potential application, the study does not substantively connect its findings to human health or a health system.
(EXCLUDE) The record does not explicitly address climate change, weather, climate hazards, mitigation, or climate adaptation. Although it mentions potential applications in cancer and bioenergy, it does not substantively connect the research to human health or health systems.
(EXCLUDE) The record does not substantively address a climate component such as climate change, weather, emissions, mitigation, or adaptation. Although it mentions potential applications in cancer and bioenergy, it does not present a substantive human-health component or climate-health connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-02_10-01-36_food_pathway_inclusivity
