document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document concerns the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate hazards, mitigation, adaptation, or human health.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The document substantively addresses asbestos exposure and human lung disease, but it does not address climate change, weather or climate variability, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks a climate component and should be excluded.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The document concerns synthetic yeast hybrids, polyploidy, genome stability, and adaptation to a novel environment. It does not substantively address climate change, climate factors, mitigation, or climate adaptation, nor does it present a human-health outcome or health-system connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The document focuses on improving neural-network-based water-body extraction from remote-sensing images. It does not substantively address climate change, weather, climate hazards, mitigation, or adaptation, nor does it connect the work to human health or a human-health water hazard.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The article discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but it does not substantively address climate change, climate variables, mitigation/adaptation, or human health.","""the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability""",0.00,98.61,2026-09-01_13-48-23_luna_reshortened_1
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record addresses an antimicrobial protein and bacterial inhibition, but it contains no substantive climate component such as climate change, weather, emissions, mitigation, or adaptation.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document addresses human safety and injury risk from gas-pipeline accidents, providing a health-related component. However, hydrocarbons and gas emissions are studied as accident hazards, not in relation to climate change, climate variability, mitigation, or adaptation; therefore, a climate component is absent.","The conditional probability of ignition of emergency emissions of hydrocarbon energy carriers was determined, considering the location of ignition sources. The probit-functions by the thermal effect on people were determined.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record concerns radical cation migration in Z-form DNA and does not substantively address climate, weather, climate mitigation/adaptation, or human health.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"EXCLUDE: The study addresses shrimp growth, feed dosage, and aquaculture water quality, but it does not substantively address climate change, weather or climate variables, climate hazards, mitigation, or adaptation. It also does not connect to human health or a human-health pathway.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record substantively addresses anticancer and antioxidant properties of medicinal plant extracts, but climate is only mentioned as regional background and is not analyzed as a factor, exposure, intervention, or outcome.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,False,"EXCLUDE: The document addresses disaster risk reduction science and policy, with only a passing reference to climate change agreements. It does not substantively analyze a climate factor, climate hazard, mitigation action, or adaptation action, nor does it provide a specific human-health outcome or health-system analysis.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"The document describes careers, training, and professional networks for digital research technical professionals. It does not substantively address a climate component or a human health component, so the record should be excluded.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"The document substantively addresses mental healthcare, healthcare inequities, and implicit bias, so it has a health component. However, it contains no substantive climate, weather, mitigation, or climate-adaptation component; therefore it should be excluded.","This workshop will address why fairness, inclusiveness and cultural competence are important for success in geriatric mental health care.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,5,include - best balance,True,,,,,False,False,"The document addresses aviation 4.0, software, and customer satisfaction in catering services, but it does not substantively address a climate component or a human-health component.",The study contributed to the literature by proposing a new fuzzy control system for catering customer evaluation,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
51819537,15da3de6-7714-4814-bea4-ad28756d1569,Implications of increasing demand for freshwater use from the water footprint of irrigated potato production in Alberta.,5,include - best balance,True,,,,,False,False,"The document studies the water footprint of irrigated potato production and freshwater use, but climate change is only mentioned as a background driver rather than being substantively analyzed. Although potatoes are a food crop, no human-health or food-security outcome is assessed, so the record does not clearly contain both required components.","This is due to rising food demand, rapid urbanization, industrial development and climate change which are significantly increasing pressure on freshwater resources",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
3745,16bd12e4-e34b-47fd-bc1f-a435da5498d5,Sedimentological and mineralogical-petrographic characteristics of Miocene evaporitic deposits (SW Erzincan),5,include - best balance,True,,,,,False,False,"EXCLUDE: The study addresses geological depositional and diagenetic processes, with climate mentioned as an environmental formation condition, but it contains no substantive connection to human health or health systems.","""gypsum lithofacies were exposed to diagenetic processes under the influence of a hot-humid and semi-arid climate""",0.00,98.25,2026-09-01_13-48-23_luna_reshortened_1
257505781,1b957fc5-736f-4608-ad81-9861e3266a13,Social Forestry and Dairy Farming Practices in West Java With Special Emphasis on the Examination of Conflict Identification and Resolution,5,include - best balance,True,,,,,False,False,"The study addresses conflicts between dairy farming and social forestry, but it does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. It also does not address human health or a recognized climate-health pathway.",Conflicts were found to exist and persist between actors as well among the members of the actors.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
7338834,1d1526ba-04b9-4b07-9e2f-bb420a444f73,Phenanthraquinone inhibits eNOS activity and suppresses vasorelaxation,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record substantively addresses cardiovascular health effects of phenanthraquinone exposure, but studies the chemical as a toxicant rather than as a climate-related exposure, climate-forcing agent, or mitigation/adaptation target. Therefore, the required climate component is absent.","""phenanthraquinone, an environmental chemical contained in diesel exhaust particles""",0.00,97.62,2026-09-01_13-48-23_luna_reshortened_1
212484,202d1bc8-c1d3-4919-b40e-d7560ac9d3ff,Multi Layer Feature Fusion of Radar and Vision for Obstacle Detection in Complex Scenes,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document concerns autonomous-driving obstacle detection and mentions weather only as testing conditions, not as a climate component substantively analyzed. It also does not address human health or health systems.","""The experimental results show that the obstacle detection performance of this method is significantly better than existing technologies in harsh weather conditions (such as rainy and snowy days) and complex lighting conditions (such as nighttime and strong light exposure).""",0.00,99.27,2026-09-01_13-48-23_luna_reshortened_1
1947028944,216356f8-e9cb-4d51-bdb4-113f490c7285,Lung cancer and the petroleum industry in Louisiana.,5,include - best balance,True,,,,,True,True,"The record substantively concerns petroleum mining and refining, which falls within fossil-fuel use, providing the climate component. It also directly examines lung-cancer mortality and occupational health, providing the health component.","""people employed in petroleum mining and refining to determine if there were specific occupations within this industry associated with a higher risk of lung cancer""",0.00,98.78,2026-09-01_13-48-23_luna_reshortened_1
278684268,22041adb-b4ef-46db-9e8b-714950783509,List of Abbreviations,5,include - best balance,True,,,,,False,False,"The document addresses COVID-19, work, and economic impacts on informal workers, providing a health-related context, but it does not substantively address climate change, weather or climate hazards, mitigation, or adaptation.","""This book explores and informs answers to that key challenge. It presents findings on the impact of the COVID-19 crisis on informal workers in Asia, Africa, and North and Latin America.""",0.00,98.93,2026-09-01_13-48-23_luna_reshortened_1
1680444,24cd711b-5b02-4f55-a8f6-9fde10f61a47,THE FREQUENCY OF USE OF VARIOUS DRUGS IN TREATING THE DISEASES OF THE CARDIOVASCULAR SYSTEM IN PATIENTS OF THE THERAPY DEPARTMENT,5,include - best balance,True,,,,,False,False,"EXCLUDE: The record discusses economic sanctions, import substitution, and agricultural development, but it does not substantively address climate factors, climate mitigation/adaptation, or human health and health systems.",The article studies the world experience of countering economic sanctions in the agrarian sector of the economy.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
6476,259a644b-0570-422c-bd1d-523a35f92c70,Agriculture in the Abbay Basin,5,include - best balance,True,,,,,True,True,"The document substantively addresses climate change and variability as challenges to agricultural production and irrigation. It also addresses food insecurity and food production for human consumption, which constitutes a recognized climate-health pathway through nutrition and food security.","""Food-insecure areasFood-insecure Areas are characterized by a low level of productivity associated with land degradationLand degradation, climate, and poor socioeconomic status of the community with food gap months.""",0.00,99.08,2026-09-01_13-48-23_luna_reshortened_1
6462,266b56a7-b3be-48ab-bb41-bdba3575f869,Bake-out용 바닥 난방에서 PID 제어에 따른 난방온도 및 에너지 소비량 분석,5,include - best balance,True,,,,,False,False,"EXCLUDE: The document addresses indoor air quality and energy consumption for floor heating, but it does not substantively address climate change, a climate/weather factor, greenhouse-gas emissions, fossil-fuel reduction, or climate adaptation. Thus, a climate component is absent.","""the bake-out has been conducted widely for improving indoor air quality""",0.00,97.26,2026-09-01_13-48-23_luna_reshortened_1
55028098,27c06597-b89d-4e17-9c57-4ef83517cc85,Postoperative AKI After Open-Heart Surgery: What Else Can We Do?,5,include - best balance,True,,,,,False,False,"The record substantively addresses human health through postoperative acute kidney injury and cardiac surgery, but it does not address climate change, weather, climate-forcing emissions, mitigation, or climate adaptation. Nitric oxide is studied as a medical intervention, not as a climate component.","""the effect of Nitric oxide (NO) on renal function after cardiac surgery""",0.00,97.26,2026-09-01_13-48-23_luna_reshortened_1
60092,2a09ff42-d7a2-4963-a995-057d0242d557,Muslim customer perceived value (MCPV) and tourists' travel decision making in purchasing Islamic tour package / Nurafiqah Mohamad Musa,5,include - best balance,True,,,,,False,False,"The document concerns Muslim consumer values, Islamic religiosity, and tourists' travel decision-making. It does not substantively address climate, climate change, weather, mitigation, adaptation, or human health.","""The current study attempted to investigate the relationship between Muslim customer perceived values (MCPV) and tourists' travel decision making.""",0.00,98.64,2026-09-01_13-48-23_luna_reshortened_1
1412,2b7e904e-e2c7-402b-9ac1-947d4a08c9c3,The Cultural Epigenesis of Gender-Based Violence in Cambodia: Local and Buddhist Perspectives,5,include - best balance,True,,,,,False,False,"The record substantively addresses violence against women and associated health effects, but it does not address climate change, weather or climate factors, mitigation, or climate adaptation.","An ethnographic study was carried out with 102 perpetrators and survivors of emotional, physical and sexual violence against women",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
32196041,2cbbd675-02fd-4acf-bda6-59327dfd1cce,Spatial-temp oral distribution of fish assemblages in the upstreams of Huangpu River and Suzhou Creek,5,include - best balance,True,,,,,False,False,"The record studies fish assemblage diversity and ecological factors such as water quality and waterway interconnectedness. It does not substantively address climate change, weather, climate hazards, mitigation, or adaptation, nor does it connect the findings to human health or health systems.","""Further, water quality and interconnectedness of waterways may be important factors influencing diversity of fish species in upper Suzhou creek.""",0.00,98.63,2026-09-01_13-48-23_luna_reshortened_1
6994644,2f395670-3519-4993-9fe3-d62efbf02f7d,Itchy and scratchy? An investigation of human cercarial dermatitis in the UK,5,include - best balance,True,,,,,False,False,"The document addresses a human health condition and recreational-water exposure, but it does not substantively examine climate change, weather or climate variability, climate hazards, mitigation, or adaptation. The mention of symptom timing from April to November is not sufficient to establish a climate component.",This is the first study in the UK to explore occurrence of CD and its impacts on open water swimmers.,0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
32922,31161b93-6f46-454b-bcf0-1ace1e6f1761,Resilience of international oil trade networks under extreme event shock-recovery simulations,5,include - best balance,True,,,,,False,False,"The record substantively addresses international oil trade and extreme shocks, providing a climate-related fossil-fuel component. However, it does not address human health, healthcare systems, or a recognized climate-health exposure pathway. Therefore, it is excluded.","""Assessing the resilience of the international oil trade network (iOTN) is crucial for evaluating its ability to withstand extreme shocks and recover thereafter, ensuring energy security.""",0.00,98.94,2026-09-01_13-48-23_luna_reshortened_1
4730636120,336a0cf5-5760-408f-be0a-3179301757d9,The strategic surprise of Russian information operations on social media in 2016 in the United States: mapping a blind spot,5,include - best balance,True,,,,,False,False,"The document focuses on Russian information operations, cybersecurity, and social media manipulation. It does not substantively address climate factors, climate mitigation or adaptation, or human health.","Despite many years of preparation for cyber conflict against US critical infrastructure and military forces, the US government and cybersecurity industry were unprepared for Russian information operations targeting the 2016 US presidential election.",0.00,100.00,2026-09-01_13-48-23_luna_reshortened_1
9808623,34908dea-73d4-43f1-bc15-d6d38000cded,Spreading Depolarization as a Therapeutic Target in Severe Ischemic Stroke: Physiological and Pharmacological Strategies,5,include - best balance,True,,,,,False,False,"The record substantively concerns human health and stroke outcomes, but it does not address climate change, weather or ambient climate factors, mitigation, or adaptation. The reported temperature is a physiological variable in patients, not a climate or weather exposure.","""elevated temperature (OR 2.048, 95% CI 1.442–2.909)""",0.00,96.23,2026-09-01_13-48-23_luna_reshortened_1
