document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on alkaline treatment and mechanical properties of kenaf-fibre wood-plastic composites. It does not explicitly address climate change, weather, climate mitigation/adaptation, or fossil fuels, and it contains no human-health or health-system outcome.
(EXCLUDE) The record describes materials engineering of kenaf fibre and polypropylene composites, including mechanical testing and morphology. It does not explicitly address climate change, weather, emissions mitigation/adaptation, or human health.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on alkaline treatment, mechanical properties, fatigue testing, and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate factors, climate mitigation or adaptation, or human health and health systems.
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, climate hazards, mitigation, adaptation, or human health.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fiber/polypropylene wood-plastic composites. It contains no plausible connection to climate change, climate factors, human health, climate mitigation, or climate adaptation.
(EXCLUDE) The document concerns improving the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not mention climate change, climate-related hazards, human health, adaptation, or reducing greenhouse-gas emissions or fossil-fuel use.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses human health through asbestos exposure and lung cancer, but it does not explicitly address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation.
(EXCLUDE) The record substantively addresses human health, including lung cancer and mesothelioma, but it does not explicitly address climate change, weather or climate variables, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record substantively addresses human health, including asbestos exposure and lung cancer, but it does not address climate, weather, climate change, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record addresses asbestos exposure, pleural plaques, asbestosis, tobacco smoking, and lung cancer, but it does not substantively address climate change, weather, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Although it clearly includes a human-health component, it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns asbestos exposure and subsequent lung cancer risk, with no plausible connection to climate change, climate variables or extremes, greenhouse gases, fossil fuels, mitigation, or climate adaptation.
(EXCLUDE) The record concerns asbestos exposure, smoking, and subsequent lung cancer risk, with no plausible connection to climate change, climate-related hazards, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record does not substantively address climate change, weather or climate factors, mitigation, or climate adaptation, and it does not report a human-health outcome or health-system connection. References to adaptation, cancer, and bioenergy are not sufficient to establish both required components.
(EXCLUDE) The abstract describes synthetic Saccharomyces hybrids, chromosomal instability, adaptation to a novel environment, and potential applications in bioenergy and cancer research. It does not explicitly address climate change, weather/climate factors, mitigation, or climate adaptation, so the required climate component is absent.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied, even as they retained traits from multiple species.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The document does not substantively address a climate component: adaptation is to a novel environment, not a climate-related hazard, and no climate factor, mitigation, or climate adaptation action is described. Although cancer is mentioned as a potential application, no human-health outcome or health-system connection is studied.
(EXCLUDE) The record does not substantively address climate change, weather, climate-related hazards, mitigation, or adaptation. Although it mentions potential applications to cancer, it does not study a human-health outcome or health system, so it lacks the required climate and health components.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The document focuses on synthetic yeast hybrids, polyploidy, genome stability, and adaptation to a novel environment. Although it mentions potential applications in bioenergy, it does not study climate change, a climate factor, greenhouse-gas reduction, fossil-fuel replacement, or climate-related health or adaptation.
(EXCLUDE) The abstract concerns synthetic yeast hybrids, polyploidy, chromosomal instability, and adaptation to a novel environment. It contains no plausible connection to climate factors, climate-health impacts, greenhouse-gas mitigation, or climate adaptation.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on improving water-body extraction from remote-sensing images and does not explicitly address climate change, weather or climate hazards, mitigation, or adaptation. It also does not substantively address human health or health systems.
(EXCLUDE) The record describes a remote-sensing and neural-network method for extracting water bodies from images, but it does not explicitly address climate change, weather or climate hazards, mitigation, adaptation, or human health and health systems.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns improving remote-sensing image segmentation for water-body extraction and does not substantively address climate or weather factors, climate mitigation/adaptation, or human health and health systems.
(EXCLUDE) The paper addresses remote-sensing image segmentation and water-body extraction, but it does not substantively address climate change, weather/climate factors, mitigation, or adaptation. It also does not connect the work to human health or health systems; water is discussed as an image-extraction target rather than as a human-health hazard or resource.","This paper is based on the U-Net convolutional neural network and adds the squeeze-and-excitation module of SENet, an attention mechanism, to the downsampling process of the U-Net network.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record focuses on improving remote-sensing image segmentation of water bodies and overcoming building shadows. It does not address climate change or climate factors, human health, mitigation, or climate adaptation.
(EXCLUDE) The document concerns improving water-body extraction from high-resolution remote-sensing images and does not mention climate change, climate factors, human health, mitigation, or climate adaptation.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The document discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but it does not explicitly address climate factors, climate mitigation or adaptation, or human health and health systems. Therefore, it lacks both required components.
(EXCLUDE) The record discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but it does not explicitly address climate change, weather/climate factors, mitigation, or adaptation. It also does not substantively address human health or health systems.","""the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability""",0.00,98.61,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The document discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but it does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. It also does not connect the topic to human health or health systems.
(EXCLUDE) The document discusses apparel manufacturing, electricity access, and urban infrastructure in Kyrgyzstan, but it does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. It also does not connect these topics to human health or health systems.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The document discusses apparel manufacturing, electricity access, and urban infrastructure, but it does not mention climate change, climate variables or hazards, greenhouse-gas emissions, fossil fuels, health, wellbeing, mitigation, or climate adaptation. Electricity is discussed only as infrastructure provision, so no plausible climate-health, mitigation, or adaptation connection is present.
(EXCLUDE) The record discusses apparel manufacturing, electricity access, privatized infrastructure, and shop-owner relationships, but it contains no plausible climate factor, climate-health connection, mitigation action, or climate adaptation action.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record addresses an antimicrobial protein and potential treatment of bacterial diseases, providing a health-related component. However, it does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation, so it does not meet both required components.
(EXCLUDE) The record describes isolation and antibacterial testing of a rabbit intestinal protein. It does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation, so it lacks the required climate component.","""An antimicrobial protein has been isolated and purified from the small intestine of rabbits. The strong inhibition effect of this protein on 9 bacteria strains indicates its promising potential application against bacterial diseases and it deserves further investigation.""",0.00,99.45,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record describes isolating and testing an antimicrobial protein in rabbit intestinal tissue against bacteria. It does not address climate, weather, climate change, emissions, mitigation, or adaptation, and the health-related findings are limited to an animal model rather than human health.
(EXCLUDE) The record describes an antimicrobial protein isolated from rabbit intestinal tissue and tested against bacteria. It does not substantively address climate, weather, climate change, mitigation, or adaptation, and the health-related findings are limited to an animal model rather than human health.",An antimicrobial protein has been isolated and purified from the small intestine of rabbits.,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns isolating and testing an antimicrobial protein against bacteria, with no plausible connection to climate change, climate factors, mitigation, adaptation, or climate-related health impacts.
(EXCLUDE) The record concerns isolating and testing an antimicrobial protein against bacteria. It contains no plausible connection to climate factors, climate-health impacts, mitigation, or adaptation.",An antimicrobial protein has been isolated and purified from the small intestine of rabbits.,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,0,include - high precision,True,,,,,False,True,"[self-consistency: 2/2 INCLUDE]
(INCLUDE) The record substantively addresses hydrocarbon energy carriers and their emergency emissions, providing a fossil-fuel-related climate component. It also explicitly addresses effects on people, including thermal effects and shock waves, establishing a human-health and injury-risk component.
(INCLUDE) The record substantively addresses hydrocarbon energy carriers, which constitute fossil-fuel infrastructure and therefore provide a climate component under the screening criteria. It also explicitly evaluates thermal effects on people and shock-wave effects from pipeline failures, establishing a human-health and injury-risk component.","The conditional probability of ignition of emergency emissions of hydrocarbon energy carriers was determined, considering the location of ignition sources. The probit-functions by the thermal effect on people were determined.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,True,"[self-consistency: 2/3 INCLUDE]
(INCLUDE) The record substantively addresses industrial gas pipelines and emergency emissions of hydrocarbon energy carriers, providing a fossil-fuel-related climate component. It also addresses human health and safety through shock waves, ignition, and thermal effects on people, indicating risks of injury and harm.
(EXCLUDE) The document addresses industrial gas-pipeline accident risks and effects on people, providing a health-related component through thermal effects and shock waves. However, it does not substantively address climate change, climate variability, a climate hazard, emissions as a climate-forcing agent, or mitigation/adaptation; the pipeline and hydrocarbon references concern industrial safety rather than climate.
(INCLUDE) The record substantively addresses fossil-fuel energy infrastructure and hydrocarbon gas emissions, providing a climate component under the screening criteria. It also addresses human health and safety through shock-wave and thermal effects on people, providing a health component.","""Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.""",0.00,98.66,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns industrial pipeline accidents, gas releases, ignition, shock waves, and thermal effects on people. It does not plausibly address climate change, climate-related hazards, greenhouse-gas mitigation, or climate adaptation; the fossil-fuel context is incidental to industrial safety.
(EXCLUDE) The record concerns industrial pipeline failure, accidental hydrocarbon emissions, shock waves, ignition, and thermal effects on people. Although hydrocarbons are mentioned, they are discussed as an industrial-accident and safety hazard, not in relation to climate change, mitigation, or climate adaptation.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/2 INCLUDE]
(EXCLUDE) The record concerns radical cation migration in Z-form DNA and does not explicitly address climate change, weather, climate-forcing agents, mitigation, or adaptation. It also does not substantively connect the research to human health or health systems.
(EXCLUDE) The record describes a chemistry study of radical cation migration in Z-form DNA. It does not explicitly address climate change, weather or climate factors, mitigation, or adaptation, and it does not substantively connect the research to human health or health systems.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_20-01-33_luna_separate_prompts_animal_studies
