document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical and morphological properties of treated kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, human health, mitigation, or adaptation.",Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result and it is worth to replace the current kenaf fibre polymer composites product.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record addresses occupational asbestos exposure and human health outcomes, but it contains no substantive climate-related factor, climate-forcing agent, fossil-fuel issue, mitigation action, or climate-adaptation component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study develops a remote-sensing method for extracting water bodies from images and reducing interference from building shadows. It does not substantively address climate change, climate/weather variables, climate-related hazards, greenhouse gases, or fossil fuels, nor does it include a qualifying health, mitigation, or adaptation component.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns electricity access and industrial infrastructure in Kyrgyzstan but does not substantively address climate change, climate variables, fossil fuels, greenhouse-gas emissions, or a climate mitigation/adaptation action. It also does not examine human health or health systems.","we focus on how myriad shop owners gain access to elite-controlled, privatized urban infrastructure through owner–tenant relations in a new market economy.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns hydrocarbon gas pipelines solely as industrial-accident and human-safety hazards. It does not address fossil fuels as a climate, energy, emissions, or air-quality matter and therefore lacks a substantive climate-related component.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,False,"EXCLUDE. The article substantively addresses general disaster risk reduction policy and science, but climate change appears only as a reference to a parallel UN agreement. The abstract does not identify or analyze a substantive climate-related factor, hazard, exposure, mitigation action, or climate-adaptation activity.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns training, professional networks, skills, and career development for digital research technical professionals. It contains no substantive climate-related component and no qualifying climate-health, mitigation, or adaptation connection.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns implicit bias, inclusiveness, and inequities in healthcare and academic medicine. Its use of “climate” refers to the professional or institutional environment, not climate change, weather, climate hazards, fossil fuels, or climate-forcing emissions; therefore, it lacks a substantive climate-related component.",improve our professional interactions and climate,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns a fuzzy-logic system for evaluating airline catering service and customer satisfaction. It contains no substantive climate-related component and does not address climate-related health, mitigation, or adaptation.","In this study, the catering service evaluation system for customers is designed and an interface is developed to be used in the aviation 4.0 industry.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
7338834,1d1526ba-04b9-4b07-9e2f-bb420a444f73,Phenanthraquinone inhibits eNOS activity and suppresses vasorelaxation,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study examines the vascular toxicology of a single diesel-exhaust compound in cells, rat tissue, and rats. It does not substantively address fossil-fuel use, greenhouse gases, a climate-forcing pollutant, climate change, mitigation, or adaptation; therefore, it lacks the required climate-related component.","phenanthraquinone, an environmental chemical contained in diesel exhaust particles",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
212484,202d1bc8-c1d3-4919-b40e-d7560ac9d3ff,Multi Layer Feature Fusion of Radar and Vision for Obstacle Detection in Complex Scenes,5,include - best balance,True,,,,,False,False,"EXCLUDE. Rain and snow are evaluated as operating conditions for autonomous-vehicle obstacle detection, but the record does not connect them to climate change, climate risk, adaptation, preparedness, or resilience planning. It also does not study a human health outcome or a climate-mitigation action; generic driving safety alone does not establish a qualifying climate–health connection.",The experimental results show that the obstacle detection performance of this method is significantly better than existing technologies in harsh weather conditions (such as rainy and snowy days) and complex lighting conditions (such as nighttime and strong light exposure).,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
1680444,24cd711b-5b02-4f55-a8f6-9fde10f61a47,THE FREQUENCY OF USE OF VARIOUS DRUGS IN TREATING THE DISEASES OF THE CARDIOVASCULAR SYSTEM IN PATIENTS OF THE THERAPY DEPARTMENT,5,include - best balance,True,,,,,False,False,"The record focuses on economic sanctions, import substitution, trade, and agricultural development. It contains no substantive climate-related component and does not study a qualifying health, climate-mitigation, or climate-adaptation pathway.",The article studies the world experience of countering economic sanctions in the agrarian sector of the economy.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
55028098,27c06597-b89d-4e17-9c57-4ef83517cc85,Postoperative AKI After Open-Heart Surgery: What Else Can We Do?,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns nitric oxide as a clinical intervention during cardiac surgery and evaluates acute kidney injury and other postoperative outcomes. It does not substantively address climate change, weather, climate hazards, fossil fuels, greenhouse gases, climate-forcing emissions, mitigation, or adaptation.","To determine the effect of NO gas on renal function and other clinical outcomes in patients requiring cardiopulmonary bypass (CPB), we performed a systematic meta-analysis and trial sequential analysis.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
6994644,2f395670-3519-4993-9fe3-d62efbf02f7d,Itchy and scratchy? An investigation of human cercarial dermatitis in the UK,5,include - best balance,True,,,,,False,False,"The record addresses a human health condition, but it has no substantive climate-related component. Its reference to seasonality does not analyze climate change, climate variability, weather variables, mitigation, or adaptation; therefore, it should be excluded.","they reported symptoms from April to November, beyond the usual seasonal period of cercarial emergence.",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
4730636120,336a0cf5-5760-408f-be0a-3179301757d9,The strategic surprise of Russian information operations on social media in 2016 in the United States: mapping a blind spot,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns Russian information operations, cybersecurity, and social media manipulation. It contains no substantive climate-related component and no qualifying climate-health, mitigation, or adaptation pathway.",this article focuses specifically on the covert use of social media accounts and online properties impersonating Americans for the purpose of manipulation.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
596984,350781d3-5778-4871-af69-cb4ac6b6cbaa,Thirty-two essential questions for understanding the social–ecological system of forage fish: the case of pacific herring,5,include - best balance,True,,,,,False,False,"The record concerns collaborative research priorities and sustainable fisheries management for Pacific Herring. It does not substantively address climate change, climate variables, climate hazards, fossil fuels, greenhouse gases, or climate-forcing emissions, so it fails the required climate-related criterion.","We then identified a set of questions, that, if answered, would significantly increase our ability to sustainably manage the Herring .",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
68335678,37472b37-1ecf-4dee-ba11-15e3c9243818,"Cartographies of Everyday Conflicts in Public Spaces. Informal Micro-activities on Formal Infrastructure. Carapungo Entry Park, Quito",5,include - best balance,True,,,,,False,False,"EXCLUDE. The record examines informal activities and spatial practices in an urban public park but contains no substantive climate-related component and no qualifying climate-health, mitigation, or adaptation pathway.",this paper researches the existing and usually invisible relationships between informal micro-activities and formal public spaces.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
75313,37b7b6e8-f0f1-47ec-b313-b08af971ae5c,Does intellectual disability research consider the potential impact of geographic location?,5,include - best balance,True,,,,,False,False,"EXCLUDE. The review examines whether intellectual-disability research considers participants’ rural or metropolitan geographic location and access to services. It contains no substantive climate-related factor, hazard, emission, mitigation action, or climate-adaptation purpose.",Little attention has been paid to geographic location in the sampled intellectual disability literature.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
3634593,384fac3b-6696-44be-bb47-87d9b66b3e6c,"Numerical investigation of heat and moisture migration in clayey and sandy soils, exploring seasonal fluctuations",5,include - best balance,True,,,,,False,False,"EXCLUDE. The study substantively models meteorological effects on soil hydrothermal behavior, but it has no health or adaptation component. Although related to geothermal energy, it is enabling soil-physics research intended to inform system design rather than an evaluation of a deployed mitigation action or its effects on greenhouse-gas emissions or fossil-fuel use.",This research offers crucial insights into the optimization of both the design and implementation of geothermal systems.,0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
22339,3d63f91c-fdd7-45c1-be82-a5252d727499,Significance of dietary sulphur and sulphate reducing bacteria in lactating dairy cattle: A review,5,include - best balance,True,,,,,True,True,"INCLUDE. The record examines dietary sulphur management in dairy cattle in relation to methane emissions. Methane is a climate-forcing agent, and evaluating a dietary intervention that affects its emissions directly qualifies through the climate-mitigation pathway.","Controlled amount of sulphur in dairy cattle can improve their performance in context of milk, digestion with the help of sulphate reducing bacteria, methane gas emission",0.00,100.00,2026-08-31_14-21-57_sol_mitigation_action_clarification
