document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The record concerns material treatment and mechanical properties of wood plastic composites, with no substantive climate-related component and no explicit human-health, mitigation, or adaptation connection.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The study evaluates alkaline-treated kenaf-fibre polypropylene composites and their mechanical performance. It does not directly state or directly infer a climate, health, mitigation, or adaptation element.",The result revealed treated specimen possesses high tensile stress at 5 wt.% sodium hydroxide (NaOH) compared to 10 wt.% and 20 wt.%.,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"Although the document describes a composite material and its performance, it contains no climate-related factor, climate-forcing agent, health element, mitigation action, or adaptation activity.",Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The record addresses asbestos exposure and lung cancer risk, but contains no substantive climate-related element, climate variable, climate-forcing agent, mitigation action, or adaptation component.","Subjects were followed up from the date of their latest X-ray taken a year or more before the date of death, cancer incidence or end of follow-up.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"Although the record has a clear human-health focus, it does not include a climate-related component, so it fails the required climate-plus-health criteria.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"The study concerns asbestos exposure and cancer outcomes, with no mention of climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE: The abstract does not substantively address climate change, climate variables, climate hazards, greenhouse gases, fossil fuels, or a mitigation/adaptation action. Although it mentions cancer and bioenergy as potential applications, it does not establish an explicit climate-related human-health connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE: No substantive climate-related element is present in the abstract. The mentions of cancer and bioenergy are listed only as potential applications and are not directly connected to climate, mitigation, adaptation, or health in the required sense.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"EXCLUDE: The record mentions biological adaptation to a novel environment and potential bioenergy applications, but it does not contain a clear climate-related element such as climate change, weather, fossil fuels, greenhouse gases, or a climate mitigation/adaptation action.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied, even as they retained traits from multiple species.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"EXCLUDE: The record concerns a neural-network method for extracting water bodies from remote-sensing images, including building-shadow effects. It contains no substantive climate-related component and no human-health, mitigation, or adaptation connection.","This paper is based on the U-Net convolutional neural network and adds the squeeze-and-excitation module of SENet, an attention mechanism, to the downsampling process of the U-Net network.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE: The study focuses on image segmentation and water-body extraction. It does not address climate variables, climate change, climate hazards, health, mitigation, or adaptation.","In this paper, a water extraction network SE-CU-Net model is presented to overcome the shadowing effect from buildings and other features.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"EXCLUDE: Although the paper is a substantive remote-sensing study, it presents no climate-related element and no health, mitigation, or adaptation element.","Using GF-2 images of Jiangsu province as the data source, the recognition results of this paper are compared with Dense-Net, Res-Net, Seg-Net, U-net, SVM, and RF.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE: The document discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but contains no substantive climate-related component and no human-health, mitigation, or adaptation connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE: Although electricity and infrastructure are discussed, the record does not directly or inferably address climate change, climate variables, climate-forcing emissions, human health, mitigation, or adaptation.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,6,include - high recall,True,,,,,False,False,"EXCLUDE: The document contains no climate-related element and no health, mitigation, or adaptation element; electricity access and poor infrastructure are discussed without a climate connection.","Drawing upon original interviews with Bishkek-based shop owners, we find that despite the challenges associated working in these spaces, including poor infrastructure and exploitative relationships with owners, they remain due to the constant provision of electricity and convenient location.",0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,0,include - high precision,True,,,,,False,False,"The record concerns purification and antibacterial activity of a rabbit intestinal protein, with no substantive climate-related component or qualifying climate-health, mitigation, or adaptation connection.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"Although bacterial diseases are mentioned, the record contains no climate-related component, so it does not meet the inclusion criteria.",The strong inhibition effect of this protein on 9 bacteria strains indicates its promising potential application against bacterial diseases,0.00,100.00,2026-09-01_09-45-12_luna_retuned_s3
