document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical and morphological properties of a kenaf-fibre/polypropylene composite. It does not substantively address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, human health, or climate adaptation/mitigation.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record examines asbestos exposure, pleural disease, and lung cancer but contains no substantive climate-related factor, climate-forcing agent, mitigation action, or adaptation component.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study develops a remote-sensing method for extracting water bodies from images while reducing interference from building shadows. It does not substantively address climate change, climate/weather variables, climate-related hazards, fossil fuels, or climate-forcing emissions, nor does it connect the method to health, mitigation, or climate adaptation.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE. The article examines electricity access and industrial production in Kyrgyzstan but does not substantively address climate change, climate variables, fossil fuels, greenhouse-gas emissions, human health, climate mitigation, or climate adaptation.","we focus on how myriad shop owners gain access to elite-controlled, privatized urban infrastructure through owner–tenant relations in a new market economy.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record examines emergency gas-pipeline ruptures, gas losses, ignition, thermal effects, and industrial accident hazards. It does not study fossil-fuel infrastructure as a climate, energy, greenhouse-gas mitigation, or climate-adaptation matter; therefore, it lacks a substantive climate-related component despite addressing human safety.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,False,"EXCLUDE. The article focuses on the Sendai Framework, disaster-risk-reduction science, and policy translation. Climate change appears only through a passing reference to the 2015 Climate Change Agreements; the abstract does not substantively analyze climate change, climate hazards, climate-forcing agents, or climate-focused adaptation.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns professional networks, training, skills, and career development for digital research technical professionals. It contains no substantive climate-related component and no qualifying health, climate-mitigation, or climate-adaptation component.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns implicit bias, diversity, and inequities in healthcare. Its use of “climate” refers to the professional or institutional environment, not climate change, weather, climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. It therefore lacks a substantive climate-related component.","Last, this workshop will discuss strategies of what we can do individually and institutionally to reduce unintended negative consequences of implicit attitudes and improve our professional interactions and climate.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns a fuzzy-logic system for evaluating airline catering customer satisfaction. It contains no substantive climate-related component and does not study climate-related health, mitigation, or adaptation.","In this study, the catering service evaluation system for customers is designed and an interface is developed to be used in the aviation 4.0 industry.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
7338834,1d1526ba-04b9-4b07-9e2f-bb420a444f73,Phenanthraquinone inhibits eNOS activity and suppresses vasorelaxation,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study examines the toxicological effects of a single diesel-exhaust chemical on vascular function and blood pressure. It does not substantively address fossil-fuel use, climate change, a climate-forcing agent, mitigation, or adaptation; diesel exhaust is only the source of the tested compound.","Since we reported previously that phenanthraquinone, an environmental chemical contained in diesel exhaust particles, suppresses neuronal nitric oxide synthase (nNOS) activity",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
212484,202d1bc8-c1d3-4919-b40e-d7560ac9d3ff,Multi Layer Feature Fusion of Radar and Vision for Obstacle Detection in Complex Scenes,5,include - best balance,True,,,,,False,False,"EXCLUDE. Rain and snow are used as adverse test conditions for autonomous-driving obstacle detection, but the record does not frame the research as climate adaptation, preparedness, resilience, or climate-risk management. It also does not directly study human health outcomes or climate mitigation.",The experimental results show that the obstacle detection performance of this method is significantly better than existing technologies in harsh weather conditions (such as rainy and snowy days) and complex lighting conditions (such as nighttime and strong light exposure).,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
1680444,24cd711b-5b02-4f55-a8f6-9fde10f61a47,THE FREQUENCY OF USE OF VARIOUS DRUGS IN TREATING THE DISEASES OF THE CARDIOVASCULAR SYSTEM IN PATIENTS OF THE THERAPY DEPARTMENT,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns economic sanctions, import substitution, and agricultural trade and development. It contains no substantive climate-related component and no qualifying health, climate mitigation, or climate adaptation component.",The article studies the world experience of countering economic sanctions in the agrarian sector of the economy.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
55028098,27c06597-b89d-4e17-9c57-4ef83517cc85,Postoperative AKI After Open-Heart Surgery: What Else Can We Do?,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns nitric oxide as a clinical intervention during cardiac surgery and its effects on acute kidney injury. It does not substantively address climate change, weather or climate hazards, fossil fuels, climate-forcing emissions, mitigation, or adaptation.",comparing the effect of nitric oxide (intervention) versus nitrogen (control) on AKI after cardiac surgery.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
6994644,2f395670-3519-4993-9fe3-d62efbf02f7d,Itchy and scratchy? An investigation of human cercarial dermatitis in the UK,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record addresses a human health condition, but it has no substantive climate-related component. Its mention of an extended seasonal occurrence does not connect the pattern to climate change, climate variability, weather variables, mitigation, or adaptation.","they reported symptoms from April to November, beyond the usual seasonal period of cercarial emergence.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
4730636120,336a0cf5-5760-408f-be0a-3179301757d9,The strategic surprise of Russian information operations on social media in 2016 in the United States: mapping a blind spot,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns Russian information operations, cybersecurity, and social media manipulation. It contains no substantive climate-related component and no qualifying climate-health, mitigation, or adaptation pathway.",this article focuses specifically on the covert use of social media accounts and online properties impersonating Americans for the purpose of manipulation.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
596984,350781d3-5778-4871-af69-cb4ac6b6cbaa,Thirty-two essential questions for understanding the social–ecological system of forage fish: the case of pacific herring,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns collaborative research priority-setting and sustainable management of Pacific Herring, but it does not substantively address climate change, climate/weather variables, climate hazards, fossil fuels, or climate-forcing emissions. It also does not present a qualifying climate mitigation or climate adaptation pathway.","We then identified a set of questions, that, if answered, would significantly increase our ability to sustainably manage the Herring .",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
68335678,37472b37-1ecf-4dee-ba11-15e3c9243818,"Cartographies of Everyday Conflicts in Public Spaces. Informal Micro-activities on Formal Infrastructure. Carapungo Entry Park, Quito",5,include - best balance,True,,,,,False,False,"EXCLUDE. The record examines informal activities and spatial practices in a public park but contains no substantive climate-related component and no qualifying health, climate mitigation, or climate adaptation component.",this paper researches the existing and usually invisible relationships between informal micro-activities and formal public spaces.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
75313,37b7b6e8-f0f1-47ec-b313-b08af971ae5c,Does intellectual disability research consider the potential impact of geographic location?,5,include - best balance,True,,,,,False,False,"EXCLUDE. The article examines geographic location and rural disadvantage in intellectual disability research but contains no substantive climate-related component, climate hazard, mitigation action, or adaptation purpose.",Little attention has been paid to geographic location in the sampled intellectual disability literature.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
3634593,384fac3b-6696-44be-bb47-87d9b66b3e6c,"Numerical investigation of heat and moisture migration in clayey and sandy soils, exploring seasonal fluctuations",5,include - best balance,True,,,,,False,True,"INCLUDE. The study substantively models atmospheric temperature and meteorological effects on soil and supports the design and implementation of geothermal energy systems. Geothermal energy is a deployable low-carbon energy technology that can replace fossil-fuel energy, so the mitigation pathway is directly inferable.",This research offers crucial insights into the optimization of both the design and implementation of geothermal systems.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
22339,3d63f91c-fdd7-45c1-be82-a5252d727499,Significance of dietary sulphur and sulphate reducing bacteria in lactating dairy cattle: A review,5,include - best balance,True,,,,,True,True,"INCLUDE. The record addresses dietary sulphur management in dairy cattle and its effect on methane emissions. Methane is a climate-forcing agent, and evaluating a dietary intervention that affects its emissions qualifies through the climate-mitigation pathway.","Controlled amount of sulphur in dairy cattle can improve their performance in context of milk, digestion with the help of sulphate reducing bacteria, methane gas emission",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
647745619,3f336261-58a2-4c57-9afd-152664094fa8,,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns melatonin, light at night, and cancer biology but contains no substantive climate-related component involving climate change, weather or climate variables, climate hazards, fossil fuels, or climate-forcing emissions.",Physiological and pharmacological blood concentrations of melatonin inhibit tumorigenesis in a variety of in vivo and in vitro experimental models of neoplasia.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
5417026,40429f32-c29d-4c77-8527-e95fca64a72b,Community Stakeholder Responses to Countering Violent Extremism Locally,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns local governance networks for countering violent extremism and contains no substantive climate-related component or qualifying climate-health, mitigation, or adaptation pathway.","The article uses a matching technique to identify and compare the community stakeholder responses to CVE in two communities—Houston, TX and Columbus, OH.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
30801,4a24b611-5471-46da-a4a8-4c2e272b8a46,A QGIS-Assisted Terrain Evaluation and Drainage Performance Assessment of the Shivajinagar Underpass,5,include - best balance,True,,,,,False,False,"EXCLUDE. Although recurrent monsoon flooding is substantively studied, the record presents a routine urban drainage and underpass engineering problem without linking it to climate change, climate-risk management, adaptation, preparedness, or resilience. It also contains no qualifying human-health or climate-mitigation component.","Engineering interventions such as sump construction, dual pump installation, inlet redesign, and drain regrading are recommended.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
79999452,4a429933-162c-47eb-ac8e-9a558ab09ff2,Unsupervised robust planar segmentation of terrestrial laser scanner point clouds based on fuzzy clustering methods,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns fuzzy clustering and segmentation of terrestrial laser-scanner point clouds. It contains no substantive climate-related component and no qualifying health, climate-mitigation, or climate-adaptation component.",This paper presents an unsupervised robust clustering approach based on fuzzy methods.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
92690831,4cb68927-e26b-4425-9ade-4440b6e3f269,"Food Safety, Problems and Measures",5,include - best balance,True,,,,,False,False,"EXCLUDE. The record discusses food safety problems and proposed measures but provides no substantive climate-related component, such as climate change, weather variables, climate hazards, fossil fuels, or greenhouse-gas emissions. Therefore, it does not satisfy the required climate criterion, even though food safety may relate broadly to health.","The food safety plays a more and more important role in the development of the food industry. The present problems are discussed, some measures are proposed.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
93858,4e7da8ca-0c90-4755-b2ec-a66c21d44711,Acute effects of air pollution on respiratory health of 50-70 yr old adults,5,include - best balance,True,,,,,True,True,"INCLUDE. The study substantively measures black smoke, which represents climate-forcing black carbon-containing pollution, and directly assesses its association with human respiratory health outcomes, including peak expiratory flow decrements and upper respiratory symptoms.","Daily measurements of particles with a 50% cut-off aerodynamic diameter of 10 microm (PM10), black smoke (BS), sulphate, sulphur dioxide (SO2) and nitrogen dioxide (NO2) were conducted.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
78958,51ab0487-34cb-43a9-9467-4d6200dcbb15,The ‘Small House’ Phenomenon and Its Impact on Zimbabwean Women’s Sexual Reproductive Health and Rights (SRHR),5,include - best balance,True,,,,,False,False,"EXCLUDE. The chapter addresses women’s sexual and reproductive health and rights, gender equality, and family structures, but it contains no substantive climate-related component and does not study climate mitigation or adaptation.","This chapter examines the ‘small house’ concept in Zimbabwe, which entails issues to do with extra-marital affairs, cohabitation and polygamy.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
802401,542f56a5-5f41-435c-b95e-b0516baee232,Temperature effects on plant gametophyte performance and their consequences for seed reproduction in wild plants,5,include - best balance,True,,,,,False,False,"EXCLUDE. The thesis substantively studies climate change-induced heat stress and heat waves, but it does not address human health, climate mitigation, or human/societal adaptation. Its discussion of adaptation and acclimation concerns biological responses of plants, which does not satisfy the qualifying adaptation pathway.","In chapter 5, the adaptive and acclimation potential of six male (anther length, pollen production, and size) and female (ovary length, ovule production, and size) gametophytic traits in eleven distinct populations of wild Silene vulgaris across a temperature gradient in Europe were examined.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
24113701,55d44eac-d09f-4ad4-a91a-887ebec38d7f,PENDAPAT PESERTA DIDIK SMKN 1 PACET TENTANG HASIL BELAJAR “MENGOPERASIKAN PERALATAN LAYANAN MAKAN DAN MINUM” SEBAGAI KESIAPAN PRAKTEK KERJA INDUSTRI DI RESTORAN HOTEL,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study concerns students’ readiness for hotel-restaurant work and operation of food and beverage service equipment. It contains no substantive climate-related component and no climate-linked health, mitigation, or adaptation pathway.",The study aims to obtain data on The Opinion Of SMKN 1 Pacet Students On Learning Outcome “Operate Food And Beverage Service Equipment” As Readiness Of Industry Working Practice At The Hotel Restaurant,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
58922843,5637a062-b583-4c71-82b0-a59fc43430ef,A 63-year-old Woman With Rapidly Progressive Interstitial Lung Disease,5,include - best balance,True,,,,,False,False,"EXCLUDE. This is a clinical case report about dermatomyositis-associated interstitial lung disease. It contains no substantive climate-related exposure, hazard, climate-forcing agent, mitigation action, or adaptation component.",Diagnosis: Rapidly progressive interstitial lung disease due to melanoma differentiation-associated gene 5 dermatomyositis,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
997047,59baba2a-54cc-4381-b80d-b37d1827c117,世界の人口戦略における公衆衛生的アプローチの有用性 公衆衛生活動を重視するフィリピン家族計画•母子保健プロジェクトの事例報告,5,include - best balance,True,,,,,False,False,"The record addresses public health and population growth but contains no substantive climate-related component, climate mitigation, or climate adaptation content. It should therefore be excluded.","JICA has supported a diverse range of public health activities, such as the establishment of a comprehensive maternal and child health care system, advocacy of reproductive health, performance of adolescence health education and assistance for participatory community action.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
1516253,5b878959-0146-48fc-8a6c-120646353427,,5,include - best balance,True,,,,,False,True,"INCLUDE. The study substantively examines high rainfall and storm runoff, which are climate/weather-related factors, and evaluates mangrove vegetation as a nature-based measure for reducing soil erosion and protecting land. This directly supports climate-hazard risk reduction and therefore qualifies through the adaptation pathway.","This study aims to investigate the diversity of mangrove species and their soil erosion mitigation performance in Hung Hoa Mangrove Forest, Vinh City, Vietnam. Under high rainfall climatic condition, the mangrove plants were found to reduce soil erosion due to storm runoff during dry season.",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
836386,60190894-0e01-484d-a867-f6e565870004,Biosurfactant production by Pantoea sp in submerged fermentation using pineapple peel as an alternative medium,5,include - best balance,True,,,,,False,False,"EXCLUDE. The paper concerns biosurfactant production and characterization. Temperature is assessed only as a laboratory stability condition, not as a climate variable, and the references to petroleum products concern emulsification rather than fossil-fuel use, replacement, or emissions. It therefore lacks a substantive climate-related component and a qualifying health, mitigation, or adaptation pathway.","The biosurfactant was stable during exposure to salinity of 2.5 to 5% of NaCl, higher temperature (121ºC for 60min), and a range of wide pH (6.0 to 8.0).",0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
3186494320,69ee550a-da8e-4643-a51e-951ffa7db335,Increasing oil recovery by utilization of AICV: a 3D multiphase simulation study of a heavy oil reservoir with an underlying water aquifer,5,include - best balance,True,,,,,False,False,"The record substantively concerns fossil-fuel extraction, but it does not address human health, climate mitigation, or climate adaptation. The technology is intended to increase oil recovery rather than reduce or replace fossil-fuel use.",Oil companies are focusing on the development of new technology to improve the recovery of oil in horizontal wells.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
83008,6e00bc2d-9e90-419e-b6d1-c220ea977ccd,"Ableism, Human Rights, and the COVID-19 Pandemic: Healthcare-Related Barriers Experienced by Deaf People in Aotearoa New Zealand",5,include - best balance,True,,,,,False,False,"EXCLUDE. The study substantively addresses healthcare access during the COVID-19 pandemic, but it contains no substantive climate-related factor, climate hazard, climate-forcing agent, mitigation action, or climate adaptation purpose.",This study documents and critically analyses Deaf people's healthcare access experiences in Aotearoa New Zealand during the COVID-19 pandemic.,0.00,100.00,2026-08-31_13-55-24_sol_single_prompt_updated_system_prompt
