document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"The record discusses food policy and sustainability but does not explicitly state a climate or weather factor, mitigation, or adaptation action, nor a specific health outcome or exposure pathway. 'Sustainable' and 'healthier' are too vague to establish either component explicitly.",transition to a healthier and more sustainable food system,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"While 'sustainable food system' and 'healthier' hint at both dimensions, neither a substantive climate component nor a substantive health component is clearly present. The record is about policy dialogue methods, not a specific climate-health connection.",transition to a healthier and more sustainable food system,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,True,"Under the high-recall screen, a sustainable food system transition plausibly involves climate mitigation/adaptation (food-system emissions reduction), and 'healthier' food system connects to human health. When plausibly present, include.",transition to a healthier and more sustainable food system,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,True,"Climate component: the study substantively analyzes greenhouse gas emissions (EGES) reduction of ~50% via vegetarian meals — a mitigation action reducing GHG emissions. Health component: nutritional adequacy for children (adequate nutrition, protein/nutrient sufficiency) is a direct human-health/nutrition outcome that is measured and analyzed. Both are explicit.","increasing the number of vegetarian meals from four to twelve out of twenty, favoring non-ruminant meats and applying the existing frequency rules for serving dishes... would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality",0.00,72.62,2026-09-07_07-26-12_MODELCMP_claudeopus
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,Explicit GHG mitigation (EGES reduction) plus explicit nutritional/health quality for children.,reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,Mitigation action reducing GHG emissions with nutrition/health dimension for children.,increasing the number of vegetarian meals from four to twelve out of twenty... would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%),0.00,84.38,2026-09-07_07-26-12_MODELCMP_claudeopus
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"This record concerns road surface defect detection and traffic density mapping for road safety. It has no climate or weather factor, mitigation, or adaptation action, and the health connection (road accidents) is not linked to any climate component.",this work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"No climate component is present; the study is about road surface conditions and traffic density, unrelated to climate, weather, mitigation, or adaptation.",the bad road surface conditions are increasing the road accidents,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"There is no plausible climate component; the work addresses road surface defects and accident-prone zones with no connection to climate change, weather, or emissions.",detection of the road accident affinity,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The record has a climate component (urban carbon emission reductions, a mitigation action). However, there is no explicit health component—no human-health outcome or exposure pathway is stated. The focus is on urban planning, sustainability, and development regimes, not human health.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_07-26-12_MODELCMP_claudeopus
