document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical properties and morphology of a kenaf-fibre/polypropylene composite. It does not substantively address climate change, climate variables, climate-forcing emissions, fossil-fuel reduction, human health, climate mitigation, or climate adaptation.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record addresses asbestos exposure and human health outcomes, but it contains no substantive climate-related component and does not study climate mitigation or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The study develops a remote-sensing image segmentation method for identifying water bodies and overcoming building-shadow interference. It does not substantively address climate change, weather or climate hazards, greenhouse-gas mitigation, human health, or climate adaptation.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"EXCLUDE. The article concerns electricity access, privatized urban infrastructure, and apparel production, but it does not substantively address climate change, climate/weather hazards, fossil fuels, greenhouse-gas emissions, mitigation, adaptation, or human health.",the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record examines gas-pipeline rupture, ignition, accident risks, and effects on people solely as industrial-safety hazards. It does not address fossil gas as a climate, energy, emissions, or air-quality matter and includes no qualifying climate mitigation or adaptation component.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
51599178,0e3bc1fb-5fe4-4537-baff-90b1f9683015,"Ensuring science is useful, usable and used in global disaster risk reduction and sustainable development: a view through the Sendai framework lens",5,include - best balance,True,,,,,True,False,"EXCLUDE. The article focuses broadly on disaster risk reduction science and policy. Although it mentions the Climate Change Agreements and health, the abstract does not substantively address climate change, a climate-related hazard, climate mitigation, or climate adaptation; the climate reference is contextual.","It was the first UN landmark agreement of the year 2015, the other two being the Sustainable Development Goals (agreed September 2015) and the Climate Change Agreements (agreed December 2015).",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
35400,0ff90214-b5e5-48c8-af5f-112cb3076ba0,STEP-UP & SCALE-UP: Building dRTP Support and Training Networks,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns training, professional networks, skills, and career development for digital research technical professionals. It contains no substantive climate-related component and no qualifying health, climate mitigation, or climate adaptation component.",The shared purpose of STEP-UP and SCALE-UP is to build support and training networks for digital Research Technical Professionals (dRTPs),0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
4658342,109d2025-cafe-43d1-9b24-e5dba4f68ea4,Dealing with the Unseen: Assessing and Addressing Implicit Attitudes to Enhance Professional Success in Geriatric Mental Healthcare,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns implicit bias, diversity, and inequities in healthcare, but it contains no substantive climate-related component and does not address climate mitigation or adaptation.","This workshop will address why fairness, inclusiveness and cultural competence are important for success in geriatric mental health care.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
34172,147dd49c-acb3-481c-b17d-98cb19eda4e8,,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns a fuzzy-logic system for evaluating airline catering customer satisfaction. It contains no substantive climate-related component and does not address climate-linked health, mitigation, or adaptation.","In this study, the catering service evaluation system for customers is designed and an interface is developed to be used in the aviation 4.0 industry.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
7338834,1d1526ba-04b9-4b07-9e2f-bb420a444f73,Phenanthraquinone inhibits eNOS activity and suppresses vasorelaxation,5,include - best balance,True,,,,,False,False,"EXCLUDE. The study examines the toxicological effects of a single diesel-exhaust chemical on nitric oxide synthase, vascular relaxation, and blood pressure. It does not substantively study fossil-fuel use, climate change, a climate-forcing agent, mitigation, or adaptation; merely identifying the chemical as a component of diesel exhaust does not satisfy the climate-related criterion.","phenanthraquinone, an environmental chemical contained in diesel exhaust particles",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
212484,202d1bc8-c1d3-4919-b40e-d7560ac9d3ff,Multi Layer Feature Fusion of Radar and Vision for Obstacle Detection in Complex Scenes,5,include - best balance,True,,,,,False,True,"INCLUDE. Rain and snow are substantive weather conditions under which the obstacle-detection system is evaluated. The system is designed to improve autonomous-driving safety and robustness under those conditions, directly supporting human risk reduction and preparedness for weather-related driving hazards.",The experimental results show that the obstacle detection performance of this method is significantly better than existing technologies in harsh weather conditions (such as rainy and snowy days),0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
1680444,24cd711b-5b02-4f55-a8f6-9fde10f61a47,THE FREQUENCY OF USE OF VARIOUS DRUGS IN TREATING THE DISEASES OF THE CARDIOVASCULAR SYSTEM IN PATIENTS OF THE THERAPY DEPARTMENT,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns economic sanctions, import substitution, trade, and agricultural development. It contains no substantive climate-related component and does not study a qualifying climate-health, mitigation, or adaptation pathway.",The article studies the world experience of countering economic sanctions in the agrarian sector of the economy.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
55028098,27c06597-b89d-4e17-9c57-4ef83517cc85,Postoperative AKI After Open-Heart Surgery: What Else Can We Do?,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record concerns nitric oxide administered as a clinical intervention during cardiac surgery and its effects on acute kidney injury. It does not substantively address climate change, weather, fossil fuels, greenhouse-gas emissions, mitigation, or climate adaptation. Nitric oxide is studied therapeutically, not as a climate, emissions, energy, or air-quality matter.","To determine the effect of NO gas on renal function and other clinical outcomes in patients requiring cardiopulmonary bypass (CPB), we performed a systematic meta-analysis and trial sequential analysis.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
6994644,2f395670-3519-4993-9fe3-d62efbf02f7d,Itchy and scratchy? An investigation of human cercarial dermatitis in the UK,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record substantively addresses human cercarial dermatitis, but it does not study climate change, climate variability, weather variables, or a climate-related hazard. The reference to a seasonal period is descriptive and does not establish a qualifying climate component.","they reported symptoms from April to November, beyond the usual seasonal period of cercarial emergence.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
4730636120,336a0cf5-5760-408f-be0a-3179301757d9,The strategic surprise of Russian information operations on social media in 2016 in the United States: mapping a blind spot,5,include - best balance,True,,,,,False,False,"The record concerns Russian information operations, cybersecurity, and social media manipulation. It contains no substantive climate-related component and no qualifying climate-health, mitigation, or adaptation pathway.",this article focuses specifically on the covert use of social media accounts and online properties impersonating Americans for the purpose of manipulation.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
596984,350781d3-5778-4871-af69-cb4ac6b6cbaa,Thirty-two essential questions for understanding the social–ecological system of forage fish: the case of pacific herring,5,include - best balance,True,,,,,False,False,"The record concerns collaborative priority-setting and sustainable management of Pacific Herring, but it does not substantively address climate change, climate variables, climate hazards, greenhouse-gas mitigation, or climate adaptation. Therefore, it does not meet the required climate-related criterion.","We then identified a set of questions, that, if answered, would significantly increase our ability to sustainably manage the Herring .",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
68335678,37472b37-1ecf-4dee-ba11-15e3c9243818,"Cartographies of Everyday Conflicts in Public Spaces. Informal Micro-activities on Formal Infrastructure. Carapungo Entry Park, Quito",5,include - best balance,True,,,,,False,False,"EXCLUDE. The study examines informal activities, spatial practices, and cartographic representation in a public park. It contains no substantive climate-related component and no qualifying health, climate mitigation, or climate adaptation component.",this paper researches the existing and usually invisible relationships between informal micro-activities and formal public spaces,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
75313,37b7b6e8-f0f1-47ec-b313-b08af971ae5c,Does intellectual disability research consider the potential impact of geographic location?,5,include - best balance,True,,,,,False,False,"The record addresses rural geographic disadvantage, intellectual disability, and access to services, but contains no substantive climate-related component involving climate change, weather, climate hazards, fossil fuels, greenhouse gases, or climate mitigation/adaptation. Therefore, it does not meet the inclusion criteria.",Little attention has been paid to geographic location in the sampled intellectual disability literature.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
3634593,384fac3b-6696-44be-bb47-87d9b66b3e6c,"Numerical investigation of heat and moisture migration in clayey and sandy soils, exploring seasonal fluctuations",5,include - best balance,True,,,,,False,False,"EXCLUDE. The study models meteorological effects on soil hydrothermal behavior, so it has a substantive weather-related component. However, it is enabling soil-physics research intended to inform geothermal-system design, not an evaluation of an action that reduces emissions or fossil-fuel use. It also addresses neither human health nor adaptation aimed at reducing climate-related risks to people, health systems, or human-important ecosystems.",This research offers crucial insights into the optimization of both the design and implementation of geothermal systems.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
22339,3d63f91c-fdd7-45c1-be82-a5252d727499,Significance of dietary sulphur and sulphate reducing bacteria in lactating dairy cattle: A review,5,include - best balance,True,,,,,True,True,"INCLUDE. The record discusses dietary sulphur as an animal-nutrition intervention affecting methane emissions. Methane is a climate-forcing agent, and evaluating an intervention that changes its emissions qualifies through the climate-mitigation pathway.","Controlled amount of sulphur in dairy cattle can improve their performance in context of milk, digestion with the help of sulphate reducing bacteria, methane gas emission",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
647745619,3f336261-58a2-4c57-9afd-152664094fa8,,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record addresses melatonin, artificial light at night, and cancer, but it contains no substantive climate-related factor, climate-forcing agent, mitigation action, or climate-adaptation component.","It has been postulated that in industrialized societies, light at night, by suppressing melatonin production, poses a new risk for the development of breast cancer and, perhaps, other cancers as well.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
5417026,40429f32-c29d-4c77-8527-e95fca64a72b,Community Stakeholder Responses to Countering Violent Extremism Locally,5,include - best balance,True,,,,,False,False,"The record concerns local governance networks for countering violent extremism. It contains no substantive climate-related component and no climate-linked health, mitigation, or adaptation pathway, so it should be excluded.","The article uses a matching technique to identify and compare the community stakeholder responses to CVE in two communities—Houston, TX and Columbus, OH.",0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
30801,4a24b611-5471-46da-a4a8-4c2e272b8a46,A QGIS-Assisted Terrain Evaluation and Drainage Performance Assessment of the Shivajinagar Underpass,5,include - best balance,True,,,,,False,False,"EXCLUDE. The record substantively studies monsoon flooding, but it is framed as a routine urban drainage and infrastructure problem. It does not connect the analysis or proposed engineering measures to climate change, climate-risk adaptation, human health, health systems, or a recognized climate-health exposure pathway; the stated impacts are mobility disruption and pavement deterioration.",The Shivajinagar Underpass in Chhatrapati Sambhajinagar experiences repeated monsoon flooding that disrupts mobility and deteriorates pavement conditions.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
79999452,4a429933-162c-47eb-ac8e-9a558ab09ff2,Unsupervised robust planar segmentation of terrestrial laser scanner point clouds based on fuzzy clustering methods,5,include - best balance,True,,,,,False,False,"The record concerns fuzzy clustering and segmentation of terrestrial laser-scanner point clouds. It contains no substantive climate-related component and no qualifying health, mitigation, or adaptation pathway.",This paper presents an unsupervised robust clustering approach based on fuzzy methods.,0.00,100.00,2026-08-31_14-48-24_sol_cche_pathways_adaptation_target_clarification
