document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The document studies kenaf fibre/polypropylene composites, focusing on mechanical properties and morphology. There is no substantive climate-related component: no climate change, climate variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents are measured, analyzed, or otherwise important to the research question. Because the climate element is absent, the record cannot satisfy the INCLUDE criteria.",,0.00,0.00,2026-09-01_04-43-22_deepseek
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The document does not contain a substantive climate-related component. It investigates alkaline treatment and fibre loading on mechanical properties of wood plastic composites, with no mention or engagement of climate change, climate variables, extreme events, fossil fuels, greenhouse gases, or other climate-forcing agents. Without a climate element, the record cannot meet the INCLUDE criteria.",,0.00,0.00,2026-09-01_04-43-22_deepseek
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"The record lacks any climate-related element. It does not mention climate change, climate variability, weather/climate variables, extreme events, fossil fuels, greenhouse gases, aerosols, or particulate matter. The study is purely materials science (kenaf fibre/polypropylene composites). Therefore, even under the high-recall screen, the record does not qualify.",,0.00,0.00,2026-09-01_04-43-22_deepseek
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"The document has no substantive climate-related component. It focuses on mechanical properties of kenaf fibre/polypropylene composites, with no explicit or implicit climate change, climate variable, extreme event, fossil fuel, greenhouse gas, or climate-forcing agent content. Without a climate element, the record cannot meet the high-precision INCLUDE criteria.",,0.00,0.00,2026-09-01_04-43-22_deepseek
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variables, fossil fuels, greenhouse gases, or any climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_04-43-22_deepseek
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variables, fossil fuels, greenhouse gases, or any climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_04-43-22_deepseek
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variables, fossil fuels, greenhouse gases, particulate matter, or any climate-forcing agent. There is no climate-related element.",,0.00,0.00,2026-09-01_04-43-22_deepseek
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variables, fossil fuels, greenhouse gases, or any climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_04-43-22_deepseek
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract describes constructing synthetic yeast hybrids and studying polyploidy, genome stability, and adaptation to a novel environment. There is no mention of climate change, climate variables, fossil fuels, greenhouse gases, or any climate-related component. The study does not address human health, health systems, mitigation, or adaptation. Therefore, it does not meet the criteria for inclusion.",,0.00,0.00,2026-09-01_04-43-22_deepseek
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The abstract describes constructing synthetic yeast hybrids and studying polyploidy, genome stability, and adaptation to a novel environment. There is no mention of climate change, climate variables, fossil fuels, greenhouse gases, or any climate-related component. The study does not address human health, health systems, mitigation, or adaptation. Therefore, it does not meet the criteria for inclusion.",,0.00,0.00,2026-09-01_04-43-22_deepseek
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"The abstract describes constructing synthetic yeast hybrids and studying polyploidy, genome stability, and adaptation to a novel environment. There is no mention of climate change, climate variables, fossil fuels, greenhouse gases, particulate matter, or any climate-related element. The study does not address human health, mitigation, or adaptation. Therefore, it does not meet the criteria for inclusion.",,0.00,0.00,2026-09-01_04-43-22_deepseek
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,7,include - max precision,True,,,,,False,False,"The abstract describes constructing synthetic yeast hybrids and studying polyploidy, genome stability, and adaptation to a novel environment. There is no mention of climate change, climate variables, fossil fuels, greenhouse gases, or any climate-related component. The study does not address human health, health systems, mitigation, or adaptation. Therefore, it does not meet the criteria for inclusion.",,0.00,0.00,2026-09-01_04-43-22_deepseek
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"The document describes a neural network method for extracting water bodies from remote sensing images, focusing on overcoming shadow effects. It does not mention any climate-related component (e.g., climate change, climate variables, extreme events, fossil fuels, greenhouse gases) or any human health, mitigation, or adaptation connection. Therefore, it fails both the climate and health/mitigation/adaptation criteria.",,0.00,0.00,2026-09-01_04-43-22_deepseek
