prompt,output_data_type,attribute_id,attribute_label,concept_id
"Fossil fuel use or combustion where the specific fuel type is not identified, used when studies refer to fossil fuels in general without distinguishing between coal, oil, or gas.",bool,35,(Unspecified) fossil fuels,DSNY000619
"A fossil fuel composed primarily of methane, used for heating, electricity generation, and industrial processes, with lower CO₂ emissions than coal but significant methane leakage risks.",bool,37,Natural gas,DSNY000621
"A liquid fossil fuel refined into petroleum products including petrol, diesel, and jet fuel, a major source of greenhouse gas emissions from transport and industry.",bool,38,Oil,DSNY000622
"A solid fossil fuel formed from ancient plant matter, the most carbon-intensive energy source and a major contributor to greenhouse gas emissions and air pollution.",bool,36,Coal,DSNY000620
"Studies or data that include individuals of all gender identities or both sexes without stratification, or where findings apply across the full gender spectrum.",bool,454,All genders,DSNY000244
"Individuals identified as female by biological sex or gender identity, used to stratify health data or describe sex-specific biological and social health determinants.",bool,456,Female,DSNY000246
"Individuals whose gender identity or expression differs from the sex assigned at birth, including transgender, non-binary, and other gender-diverse people.",bool,455,Diverse,DSNY000245
"Individuals identified as male by biological sex or gender identity, used to stratify health data or describe sex-specific biological and social health determinants.",bool,457,Male,DSNY000247
"Supranational bodies including United Nations agencies, multilateral development banks, and intergovernmental organisations that coordinate policy, financing, and action across nations.",bool,1,1. Supranational and international organizations (Actor),DSNY000162
"Non-profit organisations, advocacy groups, and community-based organisations that represent public interests, support communities, and hold governments and businesses accountable.",bool,4,4. Civil society (Actor),DSNY000165
"National, regional, and local government bodies responsible for setting policy, enacting legislation, and implementing programmes within their jurisdictions.",bool,2,2. Governments (Actor),DSNY000163
"Commercial enterprises, industries, and business associations whose operations, investments, and innovations shape economic and environmental outcomes.",bool,3,3. Private sector (Actor),DSNY000164
"Individual people and domestic units whose everyday choices, behaviours, and circumstances make them both agents of and subjects of wider social and environmental change.",bool,5,5. Households / individuals (Actor),DSNY000166
"Cold climates where temperatures remain low throughout the year, with limited precipitation and short growing seasons. These regions are strongly influenced by latitude, ice cover, and low solar radiation.. Every month averages below 10°C. Includes tundra (short, cool summers) and ice-cap (perpetual freezing) subtypes.",bool,41,Polar,DSNY000654
"Climates where precipitation is insufficient to meet evaporative demand, resulting in limited vegetation and frequent water scarcity. These climates are defined primarily by low rainfall rather than temperature.. Defined by low precipitation relative to evaporation rather than temperature. Split into arid (desert) and semi-arid (steppe) subtypes; can occur in both hot and cold regions.",bool,40,Dry / arid,DSNY000651
"Moderate mid-latitude climates with relatively mild temperatures and distinct seasonal changes. These areas generally experience sufficient precipitation to support forests, agriculture, and diverse ecosystems.. Mild winters and warm-to-hot summers, with at least one month averaging below 18°C but above −3°C. Includes Mediterranean, humid subtropical, and oceanic subtypes.",bool,42,Temperate,DSNY000653
"Mid- and high-latitude climates characterised by large seasonal temperature differences, with warm summers and cold winters. Seasonal contrasts are often stronger inland due to reduced ocean influence.. Significant seasonal temperature swings, with warm-to-hot summers and cold winters (coldest month averaging below −3°C). Typically found in the interiors of large landmasses in the Northern Hemisphere; includes what's often called ""boreal"" climate at its colder extreme.",bool,39,Continental,DSNY000658
"Climates found primarily near the equator, characterised by consistently high temperatures throughout the year and generally high humidity. Seasonal variation is usually driven by differences in rainfall rather than temperature, with many regions experiencing distinct wet and dry seasons.. No winter; every month averages above 18°C. Characterized by high, fairly constant temperatures year-round, with rainfall patterns (constant, monsoonal, or seasonal/savanna) distinguishing the subtypes.",bool,43,Tropical,DSNY000652
"Governance arrangements and interventions involving a defined group of countries acting together across national boundaries, such as bilateral partnerships or plurilateral coalitions, without necessarily sharing a geographic region or formal institutional structure.. Refers to a defined group of countries acting together, such as a bilateral partnership or plurilateral coalition, without necessarily sharing a geographic region or formal institutional structure. Distinct from 'International, Regional', which refers to geographically or institutionally defined regional blocs.",bool,70,International - multi-country (Governance scale),DSNY000229
"Governance at the level of regions or provinces within a single country, such as states, counties, or devolved administrations with defined policy responsibilities.",bool,74,Sub-national - regional (Governance scale),DSNY000230
"The highest level of governance, encompassing worldwide institutions, agreements, and processes that operate across all nations.",bool,69,Global (Governance scale),DSNY000127
"The smallest unit of governance scale, referring to decisions and actions taken by individual people or households.",bool,75,Z_Household / individual (Governance scale),DSNY000135
"Governance at the local or municipal level, including city councils and district authorities responsible for planning, service delivery, and local policy implementation.",bool,73,Sub-national - local / municipal (Governance scale),DSNY000132
"Governance operating at a regional geographic scale spanning multiple countries within a formally defined geographic or institutional bloc, such as the European Union or the African Union.. Refers to governance within a formally defined geographic or institutional regional bloc spanning multiple countries, such as the European Union or the African Union. Distinct from 'Several countries', which refers to looser multi-country groupings without a formal regional structure.",bool,71,International - regional (Governance scale),DSNY000128
"Governance and policy implemented at the level of a single sovereign nation, including national legislation, strategic plans, and government-led programmes.",bool,72,National (Governance scale),DSNY000131
"Atmospheric gases that trap heat and contribute to the greenhouse effect, referred to collectively without specifying the individual gas type.",bool,17,(Unspecified) greenhouse gases,DSNY000611
"Chemical compounds that destroy stratospheric ozone and act as potent greenhouse gases, regulated under the Montreal Protocol due to their combined climate and health impacts.",bool,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,DSNY000617
"A short-lived climate pollutant and air quality hazard formed by photochemical reactions between nitrogen oxides and volatile organic compounds, harmful to respiratory health.",bool,24,Tropospheric ozone (O₃),DSNY000618
"A group of potent synthetic greenhouse gases used in industrial applications, refrigeration, and electronics manufacturing, with very high global warming potentials and long atmospheric lifetimes.",bool,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,DSNY000614
"A greenhouse gas and ozone-depleting substance emitted primarily from agricultural soils, livestock, and nitrogen fertilisers, with a high global warming potential.. Not to be confused with nitrogen dioxide (NO2).",bool,21,Nitrous oxide (N₂O),DSNY000616
"A potent short-lived greenhouse gas emitted from livestock, rice cultivation, landfills, and fossil fuel extraction, with a global warming potential far exceeding that of CO₂ over 20 years.",bool,20,Methane (CH₄),DSNY000615
"The primary long-lived greenhouse gas produced by fossil fuel combustion, deforestation, and industrial processes, responsible for the majority of anthropogenic radiative forcing.",bool,18,Carbon dioxide (CO₂),DSNY000612
"Airborne particles of 10 or 2.5 micrometres or less in diameter. Fine particulate matter can include components such as black carbon and sulfate aerosols, that affect both climate and human health through respiratory and cardiovascular pathways.",bool,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,DSNY000613
"Formal urban settlements with a population of between 1,000,000 and 10,000,000 inhabitants, characterised by complex governance structures, significant economic output, and high population density.",bool,313,2. Million-cities,DSNY000508
"Formal urban settlements with a population of between 100,000 and 1,000,000 inhabitants, with established administrative systems, diverse economies, and relatively comprehensive urban infrastructure.",bool,314,3. Cities,DSNY000507
"Planned, officially recognised urban areas with functioning administrative systems, legal land tenure, and access to infrastructure and services, categorised by population size following Revi et al. (2025).",bool,307,1. Formal urban settlements,DSNY000505
"Formal urban settlements with a population exceeding 10,000,000 inhabitants, presenting unique challenges for governance, infrastructure, environmental management, and health system capacity.",bool,312,1. Megacities,DSNY000509
"Residential areas characterised by lack of secure land tenure, inadequate infrastructure, poor access to basic services such as water, sanitation, and healthcare, and overcrowding. This category is intentionally broad, encompassing the diverse forms of unplanned or unauthorised settlement that develop on the periphery of formal cities, without relying on contested administrative labels that vary by country.",bool,309,3. Informal settlements,DSNY000511
"Settlements established to house populations forcibly displaced by conflict, persecution, or disaster, including formal refugee camps, informal displaced person settlements, and spontaneous settlements in host communities. Distinct from other informal settlements in their governance structures, legal frameworks, humanitarian actors, and policy context, and complementary to concepts of forced displacement and migration by capturing the physical and administrative character of where displaced people live rather than the movement itself.",bool,310,4. Refugee/displaced settlements,DSNY000513
"Communities located outside urban areas, typically characterised by low population density, dispersed populations, and greater reliance on agriculture, natural resources, or small local economies.. Also captures remote settlements, which are communities located at substantial distance from major population centres, services, and infrastructure, often characterised by geographic isolation, limited accessibility, and reduced access to healthcare, education, and other essential services.",bool,311,5. Rural settlements,DSNY000640
"Formal urban settlements with a population of fewer than 100,000 inhabitants, typically characterised by local administrative functions, mixed economies, and partial urban service provision.",bool,315,4. Towns,DSNY000506
"Areas at the urban-rural interface characterised by mixed land use, rapid demographic and physical change, and often partial or transitional access to urban services. The term is used variably across research traditions to describe either the rural-urban fringe of a growing city or areas that are administratively rural but functionally urban.",bool,308,2. Peri-urban settlements,DSNY000510
"Temporary inundation of normally dry land caused by excessive rainfall, river overflow, storm surges, coastal flooding, rapid snowmelt, or other hydrological processes, including riverine, pluvial, coastal, and flash floods, with direct and indirect consequences for human health, displacement, infrastructure, livelihoods, and ecosystems.",bool,30,Floods,DSNY000608
"Intense meteorological events including tropical cyclones, hurricanes, typhoons, and severe thunderstorms or hailstorms, causing damage, flooding, and displacement.. Do not use for sand storms or dust storms, which are a distinct concept in this scheme (""Sand and dust storms"").",bool,32,Storms and severe wind,DSNY000609
"Prolonged periods of water deficit, often driven by abnormally low rainfall and/or increased evapotranspiration, resulting in reduced soil moisture and water availability, with consequences including crop and livestock losses, increased wildfire risk, and impacts on human health, nutrition, and livelihoods.. Needs to be differentiated from ""Water quality and quantity"" as a health exposure (here: ""Health - Exposure"" > ""Water quality and quantity"")",bool,25,Droughts,DSNY000605
"Episodes of abnormally low temperatures, including cold snaps and blizzards, associated with increased risk of hypothermia, cardiovascular events, and respiratory illness.",bool,26,Extreme cold,DSNY000606
