document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"The document describes a guide about policy methods for food system transition. It does not explicitly state a climate component (e.g., climate change, greenhouse gases, extreme weather, mitigation, or adaptation) or a health component (e.g., human health outcomes, health systems, or recognized climate-health exposure pathways). The terms 'healthier' and 'sustainable' are mentioned, but no substantive climate or health connection is explicitly stated.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"The document mentions a 'healthier and more sustainable food system' but does not provide any substantive climate component (e.g., climate change, greenhouse gases, extreme weather, mitigation, or adaptation) or health component (e.g., human health outcomes, health systems, or recognized climate-health exposure pathways). The terms are too vague and not explicitly connected to climate or health as defined.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,False,"The document mentions a 'healthier and more sustainable food system' but does not substantively address a climate component (e.g., climate change, greenhouse gases, extreme weather, mitigation, or adaptation) or a health component (e.g., human health outcomes, health systems, or recognized climate-health exposure pathways). The terms are too vague and not explicitly connected to climate or health as defined. There is no plausible climate-and-health connection.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,False,"The document focuses on the nutritional and environmental sustainability of school meals, specifically comparing vegetarian and non-vegetarian dishes. While it mentions 'environmental impact' and uses the AGRIBALYSE database (which includes greenhouse gas emissions), it does not explicitly state a climate component such as climate change, a specific climate variable, a climate-related extreme event, or a mitigation/adaptation action targeting climate change. The environmental dimension is discussed in general sustainability terms, not explicitly as a climate factor. The health component is present (nutritional quality for children), but the climate component is not explicitly stated, so the record is excluded under the high-precision criteria.","the introduction of at least one vegetarian meal per week, i.e. four meals out of twenty, is being experimented in all French canteens.The objective of the thesis was to identify to what extent the vegetarian offer could improve the sustainability of meals served in French school canteens, particularly regarding its nutritional and environmental dimensions.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,"The document addresses the environmental impact of school meals, which is directly inferable as a climate component because reducing meat consumption, particularly ruminant meat, is a recognized mitigation action that reduces greenhouse gas emissions. The study uses environmental impact indicators from the ADEME Agribalyse database and aims to reduce the environmental impact of meals. The health component is clearly present as the study focuses on the nutritional quality of meals for children, which is a direct human health outcome. Both components are substantively addressed.","the introduction of at least one vegetarian meal per week, i.e. four meals out of twenty, is being experimented in all French canteens.The objective of the thesis was to identify to what extent the vegetarian offer could improve the sustainability of meals served in French school canteens, particularly regarding its nutritional and environmental dimensions.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,"The document addresses a mitigation action (increasing vegetarian meals to reduce environmental impact, which includes greenhouse gas emissions) and a direct health outcome (nutritional quality of meals for children). Under the high-recall criteria, a mitigation action counts as health-relevant on its own, and the health component is also directly present. The connection between climate (environmental impact reduction) and health (child nutrition) is plausibly present, so the record is included.","the introduction of at least one vegetarian meal per week, i.e. four meals out of twenty, is being experimented in all French canteens.The objective of the thesis was to identify to what extent the vegetarian offer could improve the sustainability of meals served in French school canteens, particularly regarding its nutritional and environmental dimensions.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"The document discusses road surface conditions, traffic density, and accident-prone zones, but it does not explicitly mention any climate or weather factor, mitigation action, or adaptation action. There is no reference to climate change, weather variables, extreme events, greenhouse gases, or fossil fuels. Therefore, the climate component is absent.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"The document focuses on road surface defects, traffic density, and road accident affinity. While road accidents relate to injury and safety, which are health-related outcomes, the document does not substantively address a climate component. It does not mention climate change, weather factors, mitigation, or adaptation actions. Without a climate component, the record cannot be included.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"The document discusses road safety and accident-prone zones, which could be linked to human health (injury). However, it lacks any substantive climate component. There is no mention of climate change, weather variables, extreme events, greenhouse gases, fossil fuels, or any mitigation or adaptation actions. Since a climate component is required for inclusion, and none is present, the record should be excluded.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The document discusses urban carbon emission reductions, which is a climate mitigation action (climate component). However, it does not explicitly state a human health outcome, exposure pathway, or health-protection aim. The focus is on urban sustainability, planning, and development regimes, not on human health or health systems.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",5,include - best balance,True,,,,,True,False,"The document substantively addresses urban carbon emission reductions, a climate mitigation action (climate component). However, there is no explicit or directly inferable connection to human health or health systems. The text discusses sustainability, urban form, and development regimes, but does not mention health outcomes, exposure pathways, or health-protection aims.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",6,include - high recall,True,,,,,True,True,"The document substantively addresses urban carbon emission reductions, which is a climate mitigation action. According to the high-recall criteria for attribute 6, a mitigation action counts as health-relevant on its own, qualifying the record for inclusion without a separate health component.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
867022,06fc4d0e-3cf7-40db-87c7-a3b9aae43f78,Hydrocarbon dynamics influenced by coal-related activities in a South Atlantic River–Estuarine System: Challenges for conventional source apportionment approaches,0,include - high precision,True,,,,,True,False,"The document explicitly addresses fossil fuels (coal extraction) and particulate matter (coal particles), which are climate components. However, the health component is not explicitly stated. The abstract mentions 'ecosystem health' and 'potential bioaccumulation of toxic compounds in aquatic organisms,' but does not explicitly state a connection to human health, human exposure, or a recognized climate-health exposure pathway. The mention of 'water supply' is not linked to a human health outcome or exposure pathway in the text. Therefore, the record lacks an explicit health component.","The Tubarão River-estuarine system (TRES), located in the South Atlantic, Brazil, is essential for water supply, agriculture, fisheries, and industrial activities. It has historically been affected by coal extraction, urbanisation, and industrial discharges, activities that generate significant impacts on ecosystem health, such as decreased water quality, habitat degradation, and potential bioaccumulation of toxic compounds in aquatic organisms.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
867022,06fc4d0e-3cf7-40db-87c7-a3b9aae43f78,Hydrocarbon dynamics influenced by coal-related activities in a South Atlantic River–Estuarine System: Challenges for conventional source apportionment approaches,5,include - best balance,True,,,,,True,True,"The document substantively addresses fossil fuels (coal extraction and coal-related activities), which is a climate component. For the health component, the study assesses contamination in a system 'essential for water supply' and 'fisheries,' and discusses 'potential bioaccumulation of toxic compounds in aquatic organisms.' This directly infers a recognized climate-health exposure pathway: water as a human-health hazard (contamination) and food for human consumption (fisheries). The contamination of water and food sources implies a risk to human health, meeting the criteria for inclusion under this high-recall screen.","The Tubarão River-estuarine system (TRES), located in the South Atlantic, Brazil, is essential for water supply, agriculture, fisheries, and industrial activities. It has historically been affected by coal extraction, urbanisation, and industrial discharges, activities that generate significant impacts on ecosystem health, such as decreased water quality, habitat degradation, and potential bioaccumulation of toxic compounds in aquatic organisms.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
867022,06fc4d0e-3cf7-40db-87c7-a3b9aae43f78,Hydrocarbon dynamics influenced by coal-related activities in a South Atlantic River–Estuarine System: Challenges for conventional source apportionment approaches,6,include - high recall,True,,,,,True,True,"The record substantively addresses fossil fuels (coal extraction and coal-related activities), which is a climate component. The study focuses on a system 'essential for water supply' and 'fisheries' and assesses contamination leading to 'potential bioaccumulation of toxic compounds in aquatic organisms.' This plausibly connects to human health through the recognized exposure pathways of water as a human-health hazard (contamination) and food for human consumption (fisheries). Under this high-recall screen, this plausible connection is sufficient for inclusion.","The Tubarão River-estuarine system (TRES), located in the South Atlantic, Brazil, is essential for water supply, agriculture, fisheries, and industrial activities. It has historically been affected by coal extraction, urbanisation, and industrial discharges, activities that generate significant impacts on ecosystem health, such as decreased water quality, habitat degradation, and potential bioaccumulation of toxic compounds in aquatic organisms.",0.00,100.00,2026-09-07_09-37-05_MODELCMP_deepseek
2882648,088e32d2-4e45-4f68-a3e3-6ebd1b65b6f0,Preliminary study of the population and reproductive dynamics of Echinaster sepositus (Spinulosida: Echinasteridae) in Cala del Racó,0,include - high precision,True,,,,,False,False,"The document studies the ecology and reproductive cycle of the red starfish (Echinaster sepositus) in the Mediterranean Sea. It mentions water temperature as a factor influencing starfish density and migration, but temperature is not a climate or weather factor substantively addressed as a climate component (e.g., climate change, extreme event, or greenhouse gas). There is no mention of climate change, mitigation, or adaptation. The health component is absent: the study focuses on starfish biology, not human health or health systems. Therefore, the record lacks both a climate component and a health component.",,0.00,0.00,2026-09-07_09-37-05_MODELCMP_deepseek
