document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"The record explicitly concerns a healthier food system, but it does not explicitly state or substantively analyze climate change, a weather factor, greenhouse-gas emissions, fossil fuels, or a defined climate mitigation/adaptation action.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"Although health and food-system sustainability are discussed, the record does not directly identify a substantive climate component. A sustainable food system alone is not enough to establish that the policies reduce greenhouse-gas emissions or address climate risks.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,True,"Under the high-recall criterion, policies supporting a healthier and more sustainable food-system transition plausibly connect human health with climate mitigation or sustainability action, so the record should be included despite the climate connection being nonspecific.","Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,True,"The record substantively evaluates a dietary mitigation strategy and reports a 50% reduction in EGES (greenhouse-gas emissions), while explicitly assessing children's nutritional quality. It therefore contains both climate and human-health components.","However, it is possible by combining several levers: increasing the number of vegetarian meals from four to twelve out of twenty, favoring non-ruminant meats and applying the existing frequency rules for serving dishes, with the exception of the one imposing the serving of ruminant meat at least four times out of twenty meals, would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,"The study directly connects environmental-impact reduction from vegetarian school meals with nutritionally adequate food for children, satisfying both the climate-mitigation and health/nutrition criteria.","The objective of the thesis was to identify to what extent the vegetarian offer could improve the sustainability of meals served in French school canteens, particularly regarding its nutritional and environmental dimensions.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,"The record plausibly and substantively addresses mitigation through lower-impact vegetarian meals, including a reported reduction in EGES, as well as children's nutrition. Under the high-recall criteria, it qualifies for inclusion.","The introduction of vegetarian meals is necessary to reconcile nutrition and environment in school catering, without excluding meat and other animal products.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"The record addresses road safety and accident risk, which is health-relevant, but it contains no explicit climate, weather, climate-forcing, mitigation, or adaptation component.","the conditions of the road surface are one of the prime factors for road safety and number of evidences are found, which are discussed in subsequent sections of this work, that the bad road surface conditions are increasing the road accidents.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"Although accident-prone roads plausibly concern human injury, the study focuses on road defects and traffic density without any climate or weather factor or climate action.","Thus, this work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones or accident affinities of the roads.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"The record has no plausible climate component: it studies road defects, traffic density, and accident affinity rather than climate, weather, mitigation, or climate adaptation.","This work deploys a self-adjusting parametric coefficient-based regression model for detection of the risk factors of the road defects and in the other hand, extracts the traffic density of the road regions and further maps the accident affinities.",0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The record substantively addresses climate mitigation through urban carbon-emission reductions, but it does not explicitly state a human-health or health-system component.",identify barriers to achieving urban carbon emission reductions that are meaningful in the local context,0.00,100.00,2026-09-07_07-15-34_MODELCMP_sol
