document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record discusses alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not explicitly address climate change, weather, mitigation, adaptation, or human health.
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf fibre/polypropylene wood-plastic composites. It does not explicitly address climate change, weather, emissions mitigation, adaptation, or human health.
(EXCLUDE) The record focuses on alkaline treatment, mechanical properties, fatigue testing, and morphology of kenaf fibre/polypropylene composites. It does not explicitly address climate, climate-related hazards, mitigation/adaptation, or human health.",,0.00,0.00,2026-09-02_08-41-17_water_scarcity
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, weather, climate mitigation or adaptation, nor does it connect the study to human health or health systems.
(EXCLUDE) The record concerns alkaline treatment and mechanical/morphological testing of kenaf fibre–polypropylene composites. It does not substantively address climate change, climate factors, mitigation, or adaptation, and it does not connect the study to human health or health systems.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate change, climate factors, mitigation, or adaptation, and it does not connect the study to human health or health systems.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-02_08-41-17_water_scarcity
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The study addresses alkaline treatment, mechanical properties, fatigue, and morphology of kenaf fibre/polypropylene composites. It does not substantively address climate change, climate factors, mitigation, adaptation, or human health.
(EXCLUDE) The record concerns the mechanical properties, fatigue, and morphology of kenaf fibre/polypropylene wood plastic composites. It does not substantively address climate, climate hazards, greenhouse gases, fossil fuels, mitigation, adaptation, or human health.
(EXCLUDE) The record focuses on material fabrication and mechanical, flexural, fatigue, and morphological properties of kenaf fibre/polypropylene composites. It does not substantively address climate change, climate hazards, greenhouse gases, fossil-fuel reduction, mitigation, adaptation, or human health.","Global demand for wood plastic composite (WPC) has increased due to the increase of population and latest applications primarily in Malaysia industry today such as decking, chair and ceiling.",0.00,100.00,2026-09-02_08-41-17_water_scarcity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through asbestos-related disease and lung cancer, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure, but it contains no explicit climate, weather, climate-forcing agent, mitigation, or adaptation component. Therefore, it does not meet the requirement for both climate and health components.
(EXCLUDE) The record has a human-health component involving asbestos exposure and lung cancer, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-02_08-41-17_water_scarcity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through asbestos exposure and lung cancer, but it does not address climate change, weather or climate variables, climate-related hazards, mitigation, adaptation, or fossil fuels. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes associated with asbestos exposure, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-02_08-41-17_water_scarcity
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-02_08-41-17_water_scarcity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE: The document discusses cultural, social, psychological, and general health-related issues, but it does not explicitly address climate change, weather or climate factors, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, the required climate component is absent.
(EXCLUDE) The document discusses culture, ideology, consumption, addiction, and general physical and mental ill health, but it does not explicitly address climate change, weather or climate factors, climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses social, cultural, psychological, and physical health-related issues, but it does not explicitly address climate change, weather or climate factors, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-02_08-41-17_water_scarcity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses mental and physical ill health, addiction, and wellbeing, so it has a health component. However, it does not substantively address climate change, weather or climate factors, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses social and cultural criticism, addiction, and physical and mental ill health, but it does not substantively address climate change, weather/climate factors, climate-forcing agents, mitigation, or climate adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document discusses cultural criticism and mental/physical ill health, but it does not substantively address climate, weather, climate change, climate mitigation, or adaptation. Therefore, it lacks the required climate component.","""impoverishment of not only the mind, but also physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,98.20,2026-09-02_08-41-17_water_scarcity
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses culture, consumerism, addiction, violence, and mental and physical ill health, but it does not substantively address climate change, weather or climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses mental and physical ill health, but it does not substantively address climate change, weather or climate factors, greenhouse gases, fossil fuels, mitigation, or climate adaptation. Therefore, it lacks the required climate-health connection.
(EXCLUDE) The document discusses social criticism, addiction, mental states, and physical ill health, but it does not substantively address climate change, weather or climate factors, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate-and-health connection.","""The Renegadeness"" is an intermediate culture.",0.00,95.65,2026-09-02_08-41-17_water_scarcity
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns synthetic yeast hybrids, genome instability, adaptation to a novel environment, and potential applications in biotechnology. It does not substantively address a climate or weather factor, climate mitigation/adaptation, or human health/health systems; the mention of cancer is only a potential application and not a human-health outcome.
(EXCLUDE) The record does not explicitly address a climate component or a substantive human-health outcome. Cancer and bioenergy are mentioned only as potential application areas, without studying human health, climate factors, mitigation, or adaptation.
(EXCLUDE) The record does not substantively address climate change, weather, climate hazards, mitigation, or adaptation to climate-related risks. It also does not report a human-health outcome or health-system connection; cancer is mentioned only as a potential application.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-02_08-41-17_water_scarcity
