document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The record concerns material fabrication and mechanical properties of wood-plastic composites. It does not substantively address a climate factor, climate mitigation/adaptation, or human health.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"Despite the high-recall criteria, the study presents no plausible climate-health connection, mitigation action, or climate adaptation action; its focus is solely on composite material strength, flexural performance, fatigue, and morphology.",A tensile test was carried out to determine the tensile stress of the material.,0.00,100.00,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The record substantively addresses human health through asbestos exposure and lung cancer, but it contains no climate, weather, climate-forcing agent, mitigation, or adaptation component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"Although the study concerns occupational/environmental health, asbestos is examined as a non-climate exposure. The record presents no plausible climate-health impact, mitigation action, or adaptation action.","""We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents""",0.00,98.13,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The document describes synthetic yeast hybrids, genome instability, adaptation to a novel environment, cancer research, and bioenergy, but it does not substantively address climate factors, climate change, mitigation, or climate adaptation together with human health.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"No plausible climate-health impact, greenhouse-gas or fossil-fuel mitigation action, or climate-related adaptation action is studied. The references to bioenergy and cancer are only potential applications and are not connected to climate and health in the abstract.","""One sentence summary We constructed six-species synthetic hybrids and showed that they were chromosomally unstable but able to adapt rapidly.""",0.00,99.30,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The record describes a remote-sensing and image-segmentation method for extracting water bodies and reducing building-shadow interference. It does not substantively address a climate factor, climate change, mitigation, adaptation, or human health.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"Despite the high-recall criteria, the record presents no plausible climate-health impact, mitigation action, or climate adaptation/risk-management application. Water-body extraction is studied as a computer-vision task, not in relation to climate hazards or health.",This paper proposes a neural network method incorporating an attention mechanism for water body extraction.,0.00,99.07,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The document discusses apparel manufacturing, electricity access, infrastructure, and owner–tenant relations, but does not substantively address a climate factor, climate mitigation/adaptation, or human health.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,6,include - high recall,True,,,,,False,False,"Despite the high-recall criterion, the record contains no plausible climate-health impact, mitigation action, or climate adaptation action. Electricity and infrastructure are discussed in socioeconomic terms, not in relation to climate or health.","including poor infrastructure and exploitative relationships with owners, they remain due to the constant provision of electricity and convenient location.",0.00,100.00,2026-09-01_15-00-29_luna_reshortened_recall_fossilfuel_use
