document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study evaluates the mechanical and morphological properties of kenaf-fibre/polypropylene composites after alkaline treatment. It does not substantively address climate change, climate variables, climate hazards, fossil-fuel reduction, greenhouse-gas emissions, human health, climate mitigation, or climate adaptation.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_13-28-14_
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE. Although the paper studies a composite material and discusses replacing a current composite product, the document does not state or evaluate any reduction in greenhouse-gas emissions, climate-forcing agents, or fossil-fuel use. It also contains no qualifying human-health or climate-adaptation component.",Overall 5 wt. % NaOH with 40 wt.% PP/KF (5 wt.% MAPP) showed the best result and it is worth to replace the current kenaf fibre polymer composites product.,0.00,100.00,2026-08-31_13-28-14_
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"EXCLUDE. The record concerns material testing of wood-plastic composites, including tensile, flexural, fatigue, and morphological properties. None of the climate-and-health, climate-mitigation, climate-adaptation, or adaptation-supporting evidence pathways is present.",A tensile test was carried out to determine the tensile stress of the material.,0.00,100.00,2026-08-31_13-28-14_
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record addresses human health and occupational asbestos exposure, but it contains no substantive climate-related factor, climate-forcing agent, fossil-fuel component, mitigation action, or adaptation activity.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_13-28-14_
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE. Although the study evaluates human disease and exposure risk, it does not study climate change, weather or climate variability, a climate-related hazard, fossil fuels, a climate-forcing agent, climate mitigation, or climate adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_13-28-14_
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"EXCLUDE. This is a study of asbestos exposure, pleural disease, and lung-cancer risk. None of the climate-and-health, climate-mitigation, climate-adaptation, or adaptation-supporting evidence pathways is present.","In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-08-31_13-28-14_
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study develops a remote-sensing method for water-body extraction and addresses interference from building shadows. It does not substantively address climate change, climate variability, weather, climate-related hazards, fossil fuels, or climate-forcing agents, nor does it establish a health, climate-mitigation, or climate-adaptation pathway.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_13-28-14_
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"EXCLUDE. The model is intended to improve water-body recognition by overcoming image shadows. The record provides no substantive climate-related component and no explicit or directly inferable connection to human health, climate mitigation, preparedness, resilience, risk reduction, or adaptation planning.","In this paper, a water extraction network SE-CU-Net model is presented to overcome the shadowing effect from buildings and other features.",0.00,100.00,2026-08-31_13-28-14_
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"EXCLUDE. This is a methodological image-segmentation study. Although it extracts water bodies from satellite imagery, the document does not connect that activity to climate or weather, human health, mitigation, adaptation, hazard projections, preparedness, resilience, or vulnerability assessment; therefore, none of the inclusion pathways is satisfied.","This paper is based on the U-Net convolutional neural network and adds the squeeze-and-excitation module of SENet, an attention mechanism, to the downsampling process of the U-Net network.",0.00,100.00,2026-08-31_13-28-14_
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns access to electricity and privatized urban infrastructure in the apparel manufacturing sector, but it does not substantively address climate change, weather, fossil fuels, greenhouse gases, climate mitigation, climate adaptation, or human health.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_13-28-14_
