document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The record focuses on material properties and mechanical testing of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate hazards, mitigation/adaptation, or human health.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-01_14-01-10_luna_reshortened_resimplified
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The record substantively addresses asbestos exposure and human health outcomes, but it does not address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_14-01-10_luna_reshortened_resimplified
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The record focuses on synthetic yeast hybrids, polyploidy, chromosome instability, and adaptation to a novel environment. It does not substantively address climate change, weather, climate hazards, mitigation, or climate adaptation, and the mention of cancer is only a potential application rather than a health study.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_14-01-10_luna_reshortened_resimplified
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The document focuses on improving neural-network-based extraction and segmentation of water bodies from remote-sensing images. It does not substantively address climate change, climate or weather factors, mitigation, adaptation, or human health and health systems.","""water body extraction""",0.00,91.30,2026-09-01_14-01-10_luna_reshortened_resimplified
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,5,include - best balance,True,,,,,False,False,"The record discusses electricity access, infrastructure, and apparel-sector production, but does not substantively address climate change, weather, climate hazards, mitigation, or adaptation. It also does not address human health or a recognized climate-health pathway.","""the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability""",0.00,98.61,2026-09-01_14-01-10_luna_reshortened_resimplified
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,5,include - best balance,True,,,,,False,False,"The record addresses an antimicrobial protein and bacterial inhibition, which is health-related, but it does not substantively address climate, weather, climate change, mitigation, or adaptation. Therefore, it lacks the required climate component.","""An antimicrobial protein has been isolated and purified from the small intestine of rabbits.""",0.00,97.87,2026-09-01_14-01-10_luna_reshortened_resimplified
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,5,include - best balance,True,,,,,False,True,"The record substantively addresses fossil-fuel infrastructure and hydrocarbon gas emissions through analysis of industrial gas pipeline failures and gas losses, providing a climate component. It also addresses human health and injury risk by modelling thermal effects on people and describing shock waves from pipeline failures.","""The probit-functions by the thermal effect on people were determined.""",0.00,97.18,2026-09-01_14-01-10_luna_reshortened_resimplified
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,5,include - best balance,True,,,,,False,False,"The record concerns radical cation migration in DNA and does not substantively address a climate factor, climate action, human health, or a recognized climate-health pathway.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-09-01_14-01-10_luna_reshortened_resimplified
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],5,include - best balance,True,,,,,False,False,"The record concerns shrimp growth, feeding dosage, and aquaculture water quality, but it does not substantively address climate change, weather, climate hazards, greenhouse gases, mitigation, or adaptation. Therefore, it lacks the required climate component.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-09-01_14-01-10_luna_reshortened_resimplified
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,5,include - best balance,True,,,,,False,False,"The record has a health component because it studies anticancer and antioxidant properties of medicinal plant extracts. However, climate is mentioned only as background to describe the study region; no climate factor, climate change impact, mitigation, or adaptation action is measured or analyzed. Therefore, it lacks the required climate component.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-09-01_14-01-10_luna_reshortened_resimplified
