document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on the mechanical properties and treatment of kenaf-fibre wood plastic composites. It does not explicitly address climate change, weather, emissions, mitigation/adaptation, or human health.
(EXCLUDE) EXCLUDE. The record does not substantively address a climate component or a human-health component; it concerns materials engineering and mechanical testing of wood plastic composites.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf fibre-reinforced wood plastic composites. It does not explicitly address climate change, weather, climate mitigation/adaptation, or human health.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-03_18-13-27_attributes_first
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on the mechanical properties and morphology of kenaf-fibre polypropylene composites. It does not substantively address climate change, a climate or weather factor, emissions, fossil fuels, or a mitigation/adaptation action, and it contains no human-health or health-system component.
(EXCLUDE) The record focuses on the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate change, weather, climate mitigation or adaptation, nor does it connect the study to human health or health systems.
(EXCLUDE) EXCLUDE: The record concerns the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate change, weather, climate mitigation/adaptation, or a climate-health pathway, and it does not report a human-health or health-system outcome.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-09-03_18-13-27_attributes_first
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood-plastic composites. It does not substantively address climate change, weather, emissions, mitigation, adaptation, or human health.
(EXCLUDE) The record focuses on the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate change, weather, climate-forcing agents, mitigation, adaptation, or human health.
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate, mitigation, adaptation, or human health.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_18-13-27_attributes_first
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through lung cancer, asbestosis, and pleural disease, but it does not explicitly address climate change, weather/climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not explicitly address climate, weather, climate change, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not explicitly address climate, weather, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-03_18-13-27_attributes_first
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through asbestos exposure and lung cancer, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including lung cancer and asbestos exposure, but it does not address climate change, weather or climate variables, climate hazards, greenhouse gases, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes, including lung cancer and asbestos-related disease, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-03_18-13-27_attributes_first
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE: The record substantively addresses asbestos exposure, smoking, pleural disease, and lung cancer, but it does not address climate change, weather or climate variables, climate-forcing agents, mitigation, or adaptation. Although it has a clear human-health component, it lacks a climate component.
(EXCLUDE) The record substantively addresses human health and asbestos exposure, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Asbestos is studied as an occupational toxicant rather than a climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks a qualifying climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-03_18-13-27_attributes_first
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE. The record discusses social, cultural, psychological, and physical-health themes, but it does not substantively address climate change, weather or climate variables, climate hazards, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical rather than a climate component.
(EXCLUDE) EXCLUDE: The record does not substantively address climate change, weather or climate factors, climate-related hazards, mitigation, or adaptation. Although it mentions general physical and mental ill health, it lacks the required climate component.
(EXCLUDE) EXCLUDE. The record discusses social, cultural, psychological, and physical-health concepts, but it does not substantively address climate change, weather, climate hazards, emissions, mitigation, or adaptation. Therefore, it lacks the required climate component despite mentioning health-related effects.","""storm and onslaught"" ... was important (and remains) — emotions and violence",0.00,79.22,2026-09-03_18-13-27_attributes_first
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) EXCLUDE: The document mentions physical ill health and psychological conditions, providing a health component, but it does not substantively address climate, weather, climate-related hazards, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical rather than a studied climate factor.
(EXCLUDE) The document discusses culture, consumerism, mental states, and general ill health, but it does not substantively address climate change, weather or climate factors, climate hazards, mitigation, or adaptation. Therefore, it lacks the required climate component despite mentioning health-related conditions.
(EXCLUDE) EXCLUDE. The document discusses social, cultural, psychological, and physical-health themes, but it does not substantively address climate, weather, climate hazards, mitigation, or adaptation. The reference to “storm and onslaught” is metaphorical rather than a climate component.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-03_18-13-27_attributes_first
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record discusses social criticism, consumerism, mental states, and general ill health, but it does not substantively address climate, weather, climate-related hazards, greenhouse gases, mitigation, or adaptation. Therefore, it lacks a plausible climate-and-health connection.
(EXCLUDE) The document discusses culture, consumerism, ideology, and psychological or physical ill health, but it does not substantively address climate change, weather, climate hazards, emissions, mitigation, or adaptation. Therefore, there is no plausible climate-and-health connection.
(EXCLUDE) EXCLUDE. The document discusses social, cultural, psychological, and health-related themes, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, mitigation, or adaptation. Therefore, there is no plausible climate-and-health connection.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-03_18-13-27_attributes_first
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record describes synthetic yeast hybrids, genome evolution, and adaptation to a novel environment. It does not substantively address climate or weather, climate mitigation/adaptation, or a human-health outcome; the mention of cancer is only a potential research application.
(EXCLUDE) The record does not explicitly address climate change, weather/climate factors, climate hazards, mitigation, or climate adaptation. Although it mentions adaptation to new environments and potential applications related to cancer, neither establishes the required substantive climate-health connection.
(EXCLUDE) The record does not substantively address a climate or weather factor, climate mitigation, or climate adaptation; adaptation refers to yeast adapting to a novel environment. It also does not report a human-health outcome or health-system connection, as the work concerns synthetic yeast hybrids and only mentions cancer as a potential application.","""These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.""",0.00,98.73,2026-09-03_18-13-27_attributes_first
