prompt,output_data_type,attribute_id,attribute_label,concept_id
Crude oil; Petrol; Petroleum; diesel; gasoline; kerosene,bool,38,Oil,DSNY000622
Anthracite; Brown coal; Hard coal; Lignite; Thermal coal,bool,36,Coal,DSNY000620
CNG; Fossil gas; Gas; LNG; LPG; Methane gas; Methane-based fuel; fracking gas; fuel gas,bool,37,Natural gas,DSNY000621
Carbon fuels; General fossil fuels; Unspecified fossil fuels; carbon-based fuels; conventional fuels; fossil energy sources; mineral fuels; solid fuels,bool,35,(Unspecified) fossil fuels,DSNY000619
Boys; Male sex; Males; Men; Men and boys,bool,457,Male,DSNY000247
Female sex; Females; Girls; Women; Women and girls,bool,456,Female,DSNY000246
All sexes; Any gender; Both sexes; Mixed gender; Total population; Unspecified gender,bool,454,All genders,DSNY000244
Gender diverse; Gender minority; Gender non-conforming; Genderqueer; LGBTQ+; Non-binary; Other gender identity; Transgender,bool,455,Diverse,DSNY000245
Citizens; Domestic unit; Family; Household; Individuals,bool,5,5. Households / individuals (Actor),DSNY000166
Business; Commercial organizations; Corporate actors; Corporations; Enterprises; Industry; Private enterprises,bool,3,3. Private sector (Actor),DSNY000164
Global governance bodies; Intergovernmental bodies; International institutions; Multilateral organisations; UN agencies,bool,1,1. Supranational and international organizations (Actor),DSNY000162
Governments; Public authorities; State; State institutions,bool,2,2. Governments (Actor),DSNY000163
Advocacy; Community organisations; NGOs; Non-governmental organisations; Non-profit organisations,bool,4,4. Civil society (Actor),DSNY000165
Humid subtropical; Mediterranean; Mid-latitude; Oceanic; Temperate climate; Temperate zone,bool,42,Temperate,DSNY000653
Boreal; Continental climate; Mid- and high-latitude climates,bool,39,Continental,DSNY000658
Antarctic; Arctic; Ice-cap; Polar region; Tundra,bool,41,Polar,DSNY000654
Equatorial; Tropical Monsoon; Tropical Rainforest; Tropical Savanna; Tropical zone; Tropics,bool,43,Tropical,DSNY000652
Arid region; Desert; Dry region; Dryland; Semi-arid; Semi-arid region; Shrubland; Steppe,bool,40,Dry / arid,DSNY000651
Domestic level; Household level; Individual level; Micro-level,bool,75,Z_Household / individual (Governance scale),DSNY000135
Earth-wide; Planetary scale; Worldwide,bool,69,Global (Governance scale),DSNY000127
Country-level; Federal; State-level governance,bool,72,National (Governance scale),DSNY000131
City-level; Local; Municipal,bool,73,Sub-national - local / municipal (Governance scale),DSNY000132
Administrative region; Devolved region; Province; State-level,bool,74,Sub-national - regional (Governance scale),DSNY000230
Cross-country coalitions; Cross-national; Multi-country cooperation; Multinational; Plurilateral,bool,70,International - multi-country (Governance scale),DSNY000229
Regional bloc; Regional body; World region,bool,71,International - regional (Governance scale),DSNY000128
CFCs; HCFCs; Halons; ODSs; Ozone-depleting chemicals; Stratospheric ozone depleters,bool,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,DSNY000617
CO2-equivalent emissions; GHGs; Heat-trapping gases; Unspecified greenhouse gases,bool,17,(Unspecified) greenhouse gases,DSNY000611
F-gases; Fluorinated greenhouse gases; HFCs; NF3; PFCs; SF6; Synthetic greenhouse gases,bool,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,DSNY000614
Aerosols; Air pollutant particulates; Black carbon; Fine particles; PM10; PM2.5; Particulate air pollution; Soot,bool,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,DSNY000613
CH4; Methane emissions; Natural gas emissions,bool,20,Methane (CH₄),DSNY000615
Agricultural greenhouse gas; N2O; Nitrous oxide emissions,bool,21,Nitrous oxide (N₂O),DSNY000616
Ground-level ozone; O3; Ozone pollution; Smog-forming ozone; Surface Ozone,bool,24,Tropospheric ozone (O₃),DSNY000618
CO2; CO2 emissions; Carbon dioxide emissions; Carbon emissions; Fossil carbon dioxide,bool,18,Carbon dioxide (CO₂),DSNY000612
Formal cities; Official urban settlements; Planned urban areas; Recognised urban areas,bool,307,1. Formal urban settlements,DSNY000505
"Market towns; Small towns; Small urban centres; Under 100,000; Urban towns",bool,315,4. Towns,DSNY000506
1 million to 10 million; Large cities; Large urban centres; Major cities; Metropolitan cities; Million-plus cities,bool,313,2. Million-cities,DSNY000508
Favelas; Shack settlements; Shanty towns; Slums; Squatter settlements; Unauthorised settlements; Unplanned settlements; Unregulated settlements; Urban informality,bool,309,3. Informal settlements,DSNY000511
Peri-urban areas; Rural-urban interface; Suburban fringe; Urban fringe; Urban periphery; Urban-rural fringe,bool,308,2. Peri-urban settlements,DSNY000510
"100,000 to 1 million; Medium cities; Mid-sized cities; Urban centres",bool,314,3. Cities,DSNY000507
Global cities; Hypercities; Mega-cities; Over 10 million; Very large cities,bool,312,1. Megacities,DSNY000509
Asylum settlements; Displaced person settlements; Forced displacement settlements; Humanitarian settlements; IDP camps; Internally displaced settlements; Refugee camps,bool,310,4. Refugee/displaced settlements,DSNY000513
Countryside communities; Non-urban settlements; Peripheral settlements; Remote settlements; Rural areas; Rural communities; Rural localities; Small settlements; Village settlements,bool,311,5. Rural settlements,DSNY000640
Coastal floods; Flash floods; Flood events; Flooding; Inundation; Riverine floods,bool,30,Floods,DSNY000608
Blizzards; Extreme icing; Freezing rain; Heavy snowfall; Ice storms; Severe snow storms,bool,29,Extreme snow/ice events,DSNY000634
Bushfires; Fire events; Forest fires; Landscape fires,bool,33,Wildfires,DSNY000610
Heat events; Heat waves; Heatwaves; High temperature extremes; Severe heat events,bool,27,Extreme heat,DSNY000607
General climate extremes; Non-specific extreme weather; Unspecified extreme weather,bool,34,Z_(Unspecified) extreme weather events,DSNY000604
Cyclones; Hailstorms; High wind events; Hurricanes; Severe storms; Thunderstorms; Tornadoes; Tropical cyclones; Typhoons; Windstorms,bool,32,Storms and severe wind,DSNY000609
Arid conditions; Drought conditions; Water scarcity events,bool,25,Droughts,DSNY000605
Dust aerosol events; Dust events; Dust storms; Sand storms; Sandstorms,bool,31,Sand and dust storms,DSNY000635
Cold snaps; Cold spells; Cold waves; Extreme low temperture events; Freezing events; Severe cold events,bool,26,Extreme cold,DSNY000606
Extreme precipitation events; Extreme rainfall; Heavy rainfall,bool,28,Extreme precipitation,DSNY000633
Adaptive failure; Counterproductive adaptation; Failed adaptation; Mal-adaptation; Maladaptive action; Negative adaptation outcomes; Unintended adaptation consequences,bool,490,Maladaptation,DSNY000490
Climate mitigation; Emissions reduction; GHG mitigation; GHG reduction,bool,489,Mitigation,DSNY000051
Ability to recover; Adaptive capacity; Bounce-back capability; Climate-readiness; Coping capacity; Robustness; Transformative capacity,bool,492,Resilience,DSNY000638
Ancillary benefits; Co-benefits of mitigation; Health co-benefits; Mitigation co-benefits; Side benefits; Triple wins,bool,496,Co-Benefits,DSNY000491
Adaptation strategy; Anticipatory action; Disaster preparedness; Emergency preparedness; Emergency response plans; Readiness; Risk preparedness; Warning systems,bool,491,Preparedness,DSNY000639
Climate-related losses; Irreversible impacts; L&D; NELD; Non-economic loss and damage; Residual impact; Unavoidable impacts,bool,495,Loss and damage,DSNY000492
Causal attribution; Climate attribution; Event attribution,bool,493,Attribution,DSNY000054
Climate consequences; Climate effects; Climate impact; Effects of climate change,bool,488,Impact,DSNY000053
Adaptation action; Adaptive capacity; Adaptive response; Climate adaptation; Climate adjustment; Coping capacity; Preparedness; Resilience; Vulnerability reduction,bool,487,Adaptation,DSNY000052
Anticipated impact; Climate projections; Future climate impact; Future risk; Projected climate effects; Projected impact; Scenario-based impact,bool,494,Future impact,DSNY000493
Phenological change; Season length change; Seasonal shift,bool,13,Changes in season length,DSNY000601
Altered precipitation patterns; Changes in rainfall; Precipitation anomalies; Precipitation variability; Rainfall change,bool,11,Changes in precipitation,DSNY000599
Atmospheric moisture change; Humidity change; Humidity variability; Relative humidity shifts,bool,9,Changes in humidity,DSNY000598
Cimate trends; Climate alteration; Climate anomalies; Climate fluctuations; Climate instability; Climate shifts; Climate variation; Climatic oscillations; Climatic variation; El Niño ((Southern Oscillation/ENSO); La Niña; North Atlantic Oscillation,bool,16,Climate variability,DSNY000623
Atmospheric warming; Climate breakdown; Climate crisis; Climate disruption; Climate emergency; Earth warming; General climate change; Global heating; Global warming; Planetary warming; Rising global temperatures; Unspecified climate change,bool,7,(Unspecified) climate change,DSNY000595
Temperature anomalies; Temperature change; Temperature shift; Temperature trends; Temperature variability; Warming,bool,14,Changes in temperature,DSNY000602
Wind pattern change; Wind regime changes; Wind variability,bool,15,Changes in wind speed,DSNY000603
Changes in freshwater systems; Changes in inland hydrology; Freshwater systems change; Inland water dynamics,bool,10,Changes in inland water bodies,DSNY000632
Cryosphere change; Glacial mass loss; Glacier melt; Glacier retreat; Snow cover changes; Snowmelt,bool,8,Changes in glacier / snow melt,DSNY000597
Unspecified weather change; Weather pattern shifts; Weather variability,bool,6,(Unspecified) changes in weather,DSNY000596
Coastal inundation; Ocean level rise; Sea level change; Sea level rise; Sea level variability,bool,12,Changes in sea level,DSNY000600
Antenatal; Expectant mothers; Gestational period; Pregnant persons; Pregnant women; Prenatal,bool,467,Pregnancy (Vulnerability),DSNY000242
Agricultural workers; Construction workers; Occupational exposure; Occupational vulnerability; Outdoor workers; Workers; Workplace-related vulnerability,bool,466,Occupation-based (Vulnerability),DSNY000241
Disability; Functionally impaired; People with disabilities; Physically disabled,bool,459,Disabled (Vulnerability),DSNY000234
Female population; Females; Gender inequality; Women's vulnerability,bool,468,Women (Vulnerability),DSNY000243
BAME; Ethnic minorities; People of colour; Racial minorities; Racialised communities; Racialized groups,bool,460,Ethnic minorities (Vulnerability),DSNY000235
Asylum seekers; Foreign-born population; IDP; Immigrants; Internally displaced persons; Migrants; Refugees,bool,465,Migrants (Vulnerability),DSNY000240
Deprived communities; Economically disadvantaged; Low income; Low socioeconomic status; Poverty; Socioeconomic deprivation,bool,464,Low-income (Vulnerability),DSNY000239
Babies; Infants; Minors; Neonates; Paediatric population; Young children,bool,463,Infants / children (Vulnerability),DSNY000238
Elderly frailty; Frail elderly; Frail older adults; Frailty; Geriatric frailty,bool,461,Frail elderly (Vulnerability),DSNY000236
Aboriginal peoples; First Nations; Indigenous communities; Native peoples; Tribal communities,bool,462,Indigenous peoples (Vulnerability),DSNY000237
Chronic disease; Chronic illness; Comorbidities; Long-term conditions; Multimorbidity; Pre-existing condition,bool,458,Chronic conditions (Vulnerability),DSNY000233
Air pollutants; Air pollution; Airborne pollutant exposure; Ambient air quality; Indoor air quality; PM10 exposure; PM2.5 exposure; Particulate matter exposure,bool,76,Air quality (Exposure),DSNY000262
Climate migration; Forced displacement; Internal displacement; Population displacement; Refugee exposure,bool,87,Migration / forced displacement (Exposure),DSNY000271
Solar radiation; Sun exposure; UV exposure; UV radiation; Ultraviolet light,bool,81,Ultraviolet / solar radiation (Exposure),DSNY000273
Drinking water quality; Flood water exposure; Freshwater availability; Water availability; Water contamination; Water scarcity; Water security; Water shortage; Water stress,bool,83,Water quality and quantity (Exposure),DSNY000264
Household crowding; Housing conditions; Housing quality; Overcrowding; Substandard housing,bool,84,Housing quality / overcrowding (Exposure),DSNY000268
Cultural disruption; Cultural identity loss; Loss of homeland; Place attachment; Solastalgia,bool,86,Loss of place attachment / cultural identity (Exposure),DSNY000270
Extreme heat; Heat exposure; Heat load; Heat-related exposure; Heatwave exposure; Thermal comfort; Thermal load; Thermal stress,bool,79,Heat stress (Exposure),DSNY000261
Disease vector exposure; Disease vector range; Mosquito distribution; Tick distribution; Vector ecology; Vector-borne disease risk; Vectorial capacity; Zoonotic risk,bool,82,Vector distribution and ecology (Exposure),DSNY000266
Armed conflict; Civil unrest; Conflict exposure; Gender-based violence; Political violence,bool,88,Violence / conflict (Exposure),DSNY000272
Cyclones; Droughts; Extreme weather; Flooding; Floods; Hurricanes; Hydrometeorological disasters; Natural disasters; Severe weather exposure; Storms; Tropical storms; Typhoons; Weather extremes; Weather-related hazards; Wildfires,bool,77,Extreme weather events (Exposure),DSNY000265
Food safety; Food security; Food system disruption; Nutritional availability,bool,78,Food supply and safety (Exposure),DSNY000263
Economic hardship; Financial loss; Income loss; Livelihood disruption; Unemployment,bool,85,Loss of livelihood / income (Exposure),DSNY000269
Social conditions; Social determinants; Social stressors; Social vulnerability factors; Socioeconomic factors; Structural factors,bool,80,Social factors (Exposure),DSNY000267
Civil service; Government; Public sector; Public services,bool,483,Public administration (Sector),DSNY000124
Banking; Financial sector; Financial services; Investment,bool,478,Finance (Sector),DSNY000119
Armed forces; Army; Defense industry; Defense infrastructure; Defense sector; Security sector,bool,482,Military (Sector),DSNY000224
Built environment; Construction; Housing; Residential sector,bool,475,Buildings / housing (Sector),DSNY000116
Academic institutions; Learning sector; Schools,bool,476,Education (Sector),DSNY000117
Energy sector; Extractive industries; Mining; Power and resource extraction; Power generation,bool,477,Energy and extractives (Sector),DSNY000118
Commerce; Industry; Manufacturing; Trade,bool,480,"Industry, trade, and services (Sector)",DSNY000122
Sanitation; WASH sector; Waste management; Water sector,bool,486,"Water, sanitation, and waste management (Sector)",DSNY000126
Care facilities; Health sector; Health services; Health systems; Hospitals; Medical services,bool,479,Healthcare (Sector),DSNY000120
Safety nets; Social security; Social services; Social welfare; Welfare; Welfare systems,bool,484,Social protection (Sector),DSNY000121
Farming; Food production; Forestry and fisheries,bool,474,"Agriculture, fishing, and forestry (Sector)",DSNY000115
Logistics; Mobility; Transport,bool,485,Transportation (Sector),DSNY000125
Digital infrastructure; Digital sector; ICT sector; Tech sector; Technology sector; Telecommunications,bool,481,Information and communications technologies (Sector),DSNY000123
65 to 78 year olds; Early older age; Older adult; Senior (younger cohort); Young old; Younger elderly,bool,452,Aged (65-78 years),DSNY000259
19 to 44 year olds; Early adulthood; Working age; Young adults,bool,449,5.1. Adult (19-44 years),DSNY000256
First 28 days; Neonatal period; Neonate; Newborn; Newborn baby,bool,446,Newborn infant,DSNY000250
Adult population; Adulthood; Adults; Grown-ups; Working-age adults,bool,445,5. Adult,DSNY000255
