document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The document is a materials-engineering study of kenaf-fibre/polypropylene composites focused on tensile, flexural, and fatigue properties and SEM morphology. It contains no substantive climate-related component (no climate change, weather variables, fossil fuels, greenhouse gases, or climate-forcing agents) and no explicit human-health, mitigation, or adaptation connection.",,0.00,0.00,2026-09-01_08-19-26_kimi26_s1
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The study examines mechanical properties and morphology of wood-plastic composites. There is no climate-related factor, event, agent, or emission measured, analyzed, modeled, or affected, and no health, mitigation, or adaptation element is explicitly stated or directly inferable.",,0.00,0.00,2026-09-01_08-19-26_kimi26_s1
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"The record lacks any climate-related element (no mention of climate change, weather variables, extreme events, fossil fuels, greenhouse gases, aerosols, or climate policy) and lacks any health, mitigation, or adaptation element. It is purely a materials-science study of composite mechanical properties.",,0.00,0.00,2026-09-01_08-19-26_kimi26_s1
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"The document addresses alkaline treatment of kenaf fibre in polypropylene composites and their mechanical performance. It does not substantively address any climate-related factor, nor does it establish an explicit qualifying human-health, mitigation, or adaptation connection required for inclusion.",,0.00,0.00,2026-09-01_08-19-26_kimi26_s1
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The document is an occupational cohort study of asbestos exposure and lung cancer. It contains no substantive climate-related component—there is no mention of climate change, weather or climate variables, fossil fuels, greenhouse gases, or climate-forcing agents—so it fails the high-precision climate criterion.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_08-19-26_kimi26_s1
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The study examines crocidolite asbestos exposure and subsequent lung cancer risk. No climate-related element (climate change, weather variables, fossil fuels, greenhouse gases, or climate-forcing agents) is explicitly stated or directly inferable, so it does not meet the inclusion criteria.",We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents...,0.00,97.22,2026-09-01_08-19-26_kimi26_s1
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"Although the record addresses human health (lung cancer, asbestosis), it lacks a climate-related element. Asbestos fibers are not a fossil fuel, greenhouse gas, or recognized climate-forcing agent, and no weather variables, extreme events, or climate-policy engagement appear. Thus it fails the high-recall screen.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_08-19-26_kimi26_s1
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"This high-precision screen requires an explicit substantive climate element plus an explicit health/mitigation/adaptation connection. The document focuses solely on asbestos-related pleural and lung disease with no stated climate-related factor, so it must be excluded.","In our population, the presence of pleural plaque is not associated with an increased risk of subsequent lung cancer.",0.00,100.00,2026-09-01_08-19-26_kimi26_s1
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract describes synthetic yeast hybrids and mentions cancer and bioenergy only as incidental potential applications. There is no explicit mention of climate change, weather variables, greenhouse gases, fossil fuels, or any other substantive climate-related component, nor is there an explicit human-health, mitigation, or adaptation connection to climate.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_08-19-26_kimi26_s1
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"Even allowing directly inferable connections, the record lacks a substantive climate-related component. Bioenergy is mentioned only as a speculative application without any climate, emissions, or energy-transition framing, and no health, mitigation, or adaptation link to climate can be inferred from the text.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_08-19-26_kimi26_s1
