document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns mechanical properties and morphology of kenaf-fibre polypropylene composites. It does not substantively address a climate factor, mitigation/adaptation action, or human health outcome/system, so it lacks both required components.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate change, weather, greenhouse gases, mitigation, or adaptation, nor does it address human health or health systems.
(EXCLUDE) The record concerns alkaline treatment, mechanical properties, fatigue testing, and morphology of kenaf fibre/polypropylene wood-plastic composites. It does not explicitly address climate change, weather, climate mitigation/adaptation, or a climate-forcing agent, nor does it substantively connect the study to human health or health systems.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_11-36-31_attributes_in_system_prompt
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document evaluates alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, weather, climate hazards, greenhouse gases, fossil-fuel reduction, or climate adaptation, and it does not address human health or health systems.
(EXCLUDE) The record concerns alkaline treatment, mechanical strength, fatigue, and morphology of kenaf fibre/polypropylene composites. It does not substantively address climate change, weather, emissions, mitigation, adaptation, or human health or health systems.
(EXCLUDE) The record focuses on the mechanical properties and morphology of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, weather, climate mitigation or adaptation, nor does it connect the material to human health or health systems.",,0.00,0.00,2026-09-03_11-36-31_attributes_in_system_prompt
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The study concerns the mechanical properties and morphology of kenaf-fibre wood plastic composites. It does not substantively address climate change, weather, greenhouse gases, fossil fuels, mitigation, or adaptation, nor does it connect the materials research to human health or health systems.
(EXCLUDE) EXCLUDE. The document does not substantively address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. It also does not address human health or a recognised climate-health pathway.
(EXCLUDE) The record focuses on improving the mechanical and morphological properties of kenaf-fibre/polypropylene composites. It does not substantively address climate change, weather, emissions mitigation, adaptation, or human health.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-03_11-36-31_attributes_in_system_prompt
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure, including lung cancer and mesothelioma, but it does not address climate change, weather or climate factors, climate-forcing agents, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including lung cancer and asbestos exposure, but it does not explicitly address climate change, weather or climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not explicitly address climate change, weather/climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate component.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-03_11-36-31_attributes_in_system_prompt
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes, including lung cancer and asbestos-related disease, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including lung cancer and asbestos exposure, but it does not address climate, weather, climate-related hazards, greenhouse gases, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure and lung cancer, but it does not address climate change, weather/climate factors, climate-forcing agents, fossil fuels, or climate mitigation/adaptation. Therefore, it lacks the required climate component.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-03_11-36-31_attributes_in_system_prompt
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes from asbestos exposure, but it does not address climate change, weather/climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The record substantively addresses human health outcomes and asbestos exposure, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The record substantively addresses asbestos exposure and lung cancer, providing a health component, but it does not address climate change, weather, climate-forcing agents, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-03_11-36-31_attributes_in_system_prompt
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) Exclude: the document mentions health-related conditions, but it does not substantively address climate change, weather or climate factors, climate-forcing agents, or climate mitigation/adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) EXCLUDE. The text mentions physical and mental ill health, but it does not substantively address climate change, weather or climate factors, climate-related hazards, mitigation, or adaptation. Therefore, the required climate and health components are not both present.
(EXCLUDE) EXCLUDE. The document discusses social, cultural, psychological, and physical ill health, but it does not substantively address climate change, weather or climate factors, climate hazards, mitigation, or adaptation. Therefore, it lacks the required climate component despite mentioning health-related conditions.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-03_11-36-31_attributes_in_system_prompt
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document discusses cultural, social, psychological, and physical health-related issues, but it does not substantively address climate change, weather or climate factors, climate-related hazards, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The document mentions physical and mental ill health, providing a health component, but it does not substantively address climate, weather, climate change, climate-related hazards, mitigation, or adaptation. Therefore, it lacks the required climate-health intersection.
(EXCLUDE) The document discusses mental and physical ill health, addiction, and psychosocial effects, but it does not substantively address climate change, weather or climate factors, climate-related hazards, or mitigation/adaptation actions. Therefore, it lacks the required climate component.","physical ill health: anemia, apathy, panic, melancholy, despair",0.00,100.00,2026-09-03_11-36-31_attributes_in_system_prompt
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document mentions human physical and mental ill health, but it does not substantively address climate, weather, climate-forcing agents, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document mentions human physical and mental ill health, but it does not substantively address climate change, weather, climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.
(EXCLUDE) The document discusses mental and physical ill health, but it does not substantively address climate change, weather or climate factors, climate-related hazards, mitigation, or adaptation. Therefore, it lacks the required climate-and-health connection.","""physical ill health: anemia, apathy, panic, melancholy, despair""",0.00,96.92,2026-09-03_11-36-31_attributes_in_system_prompt
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record studies synthetic yeast hybrids and adaptation to a novel environment. Although bioenergy and cancer are mentioned as potential applications, it does not substantively address a climate component or human health, and the cancer reference is not a human-health outcome.
(EXCLUDE) The record does not substantively address a climate factor, climate-related hazard, mitigation action, or adaptation action. Although it mentions potential applications in cancer and bioenergy, neither is developed as a human-health component or climate component.
(EXCLUDE) The record does not substantively address a climate component: adaptation is to a novel environment, not a climate-related hazard, and bioenergy is only mentioned as a potential application. It also does not report a human-health outcome; cancer is listed only as a possible future application in yeast.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-03_11-36-31_attributes_in_system_prompt
